name	description	type	level	price	bulk	capacity	usage	hands	source	source_page
Metal Nitro, Silver	<p>Introduced into a vehicle’s engine through the vehicle’s control panel, metal nitro comes in magical capsules of soft metal. Unlike technological racing nitrous, which releases more oxygen into an engine’s system to help the fuel burn, metal nitro infuses the vehicle with a burst of magical power.<br/> As a move action, you can crush a capsule of metal nitro into a vehicle’s control panel, which increases the vehicle’s drive speed and full speed for a total of 10 rounds. If the pilot fails to take the race action within 1 round of activating the metal nitro or fails the Piloting check to race from a dead stop, the metal nitro forces the vehicle to move its full speed immediately in an uncontrolled manner. If the Pilot fails the check to race, or the nitro activates in an uncontrolled manner, the pilot and any passengers take bludgeoning damage according to the type of metal nitro.<br/> Metal nitro can be safely used only on a vehicle that has an equal or higher item level. If you use metal nitro of an item level higher than the target vehicle’s, the vehicle takes damage after the pilot races or the vehicle first moves because of the nitro. The amount of damage varies according to the type of metal nitro.<br/> The types of metal nitro and their speed increase, as well as potential passenger and vehicle damage, are as follows.</p>	Hybrid	2	175	null	null	null	null	ARM	123
Mindlink Circlet, Mk 1	<p>Although items with powers similar to those of the mindlink circlet have existed in the Pact Worlds for thousands of years, the technological components of the this useful item were an innovation that made its powers readily available. The effects of a mindlink circlet depend upon its model, as described below.</p>	Hybrid	2	1600	L	null	null	null	CRB	227
Animistic Tools, Mk 1	<p>People often have superstitions regarding whether objects have a spirit or intelligence, and animistic tools were made with such beliefs in mind. Each of these tool kits has the power to communicate a user’s intentions to inanimate objects. When you use animistic tools with the appropriate skill and you fail a check, you can use the tool’s magic to reroll the check and take the higher result. In addition, as a move action, you can tap or bang a tool from the kit on a broken object, causing the object to ignore the penalties of being broken for a time. An item can benefit from animistic tools in this way only once per day, causing some engineers to joke that no one likes percussive maintenance.<br/> The model of the tools determines the number of rerolls per day and the time an item ignores the broken condition. Once you use a set of animistic tools, you can’t benefit from a different set for 24 hours.</p>	Hybrid	3	1350	L	null	null	null	ARM	120
Book Of Predilections	<p>A Book of Predilections collects predilections from the Zamkan Commune into convenient volumes for contemplation. The price reflects these collections as digital files, downloadable to datapads or computers. Rare, hand-illuminated tomes, valued by collectors, can cost four times as much. The introspective nature of these thought puzzles helps the reader define their sense of self and personal desires. If you spend 30 minutes pondering the book after getting a full night’s rest, when you fail a Will saving throw against a charm or compulsion effect, you can reroll the saving throw. Doing so takes no action, but you can do so only once after each qualifying reading. The benefit ends after 24 hours or when you get another full night’s rest.</p>	Hybrid	3	1500	null	null	null	null	A!04	52
Deoxy Pellet	<p>This fist-sized pellet was developed on the swampy world of Atachuuva as a dual-purpose safety measure. Methane vents and peat bogs are common amid the planet’s swamps, the risk of fire remains high, and the oversized insect life on the planet poses a threat to any settlement. A <em>deoxy pellet</em> offers some protection against these risks, and has gained some fame through the system due to a lighthearted marketing campaign based on the slogan, “Break in case of fire or giant bug!”<br/> You can crush a <em>deoxy pellet</em> as a full action that provokes attacks of opportunity. The magically enhanced chemical mixture within makes it so oxygen within a 30-foot radius of the point you break the pellet doesn’t easily diffuse to feed fire or flow into the spiracles of insects and other creatures that lack active breathing mechanisms. Natural fire goes out, and the burning condition deals half damage. In addition, vermin larger than Tiny are sickened while in the area (no saving throw). The change in oxygen persists for 5 rounds, but a light or moderate wind lowers the duration to 3 rounds, and a strong or stronger wind lowers the duration to 1 round.</p>	Hybrid	3	250	L	null	null	null	A!03	42
Hivejack, Mk 1	<p>During the combined efforts of the Veskarium and the Pact Worlds to repel attacks from the Swarm, an enterprising research team composed mostly of shirren and vesk mechanics developed the first hivejack to allow a user to “hack” into the hive mind of the Swarm in an effort to detect and manipulate the thoughts of individual Swarm components. A hivejack consists of a pair of small spherical applicators that are placed just above or below your visual sensors; it takes an uninterrupted 24 hours for the item to adjust to your mental patterns before you can use it. Each applicator is connected to a long, wispy tendril that lies flat upon your head or dangles from your face; this tendril taps into the Swarm’s hive mind through replicating specific pheromones, electrostatic fields, and psychic signals while, at the same time, blocking your own thoughts from the hive mind. Creatures with racial telepathy cannot use a hivejack. These items have not seen much use since the invasion, however, as prolonged use the technology leaves you vulnerable to being dominated by the Swarm hive mind. The effects of a hivejack depend on its model, as described below.</p>	Hybrid	3	1500	L	null	null	null	DF04	52
Mindshield Circlet, Basic	<p>When shirrens first arrived in the Chuuva system, they were still plagued by fears that despite the protection of Hylax, they might be forced back into the Swarm, losing all the individuality and freedom of choice they had come to embrace. Researchers explored ways to further insulate the empathic race from the Swarm’s psychic call, ranging from the ineffective to the distasteful to some outright unethical practices. The mindshield circlet is in the center of this gamut, although it has retained some utility beyond the potential it has to prevent Swarm manipulation.<br/> While wearing a mindshield circlet, you can’t use limited telepathy and telepathy, and those using such abilities can’t contact you. In addition, you can cast no spells and use no spell-like abilities that are mind-affecting. Furthermore, it is more difficult to affect you with such abilities, even beneficial ones. The mindshield circlet’s model determines a DC, providing protection against such effects. The creator of an effect must make a check, rolling 1d20 + caster level or CR against the DC to overcome your circlet’s protection and affect you normally.<br/> Even at the height of the shirrens’ collective fear of the Swarm, mindshield circlets were a poor solution, as most shirren found the loss of their telepathic abilities to be too isolating to bear for long. The items retain utility, especially by species that don’t rely on telepathy. Such species have copied the technology and make more use of these protective devices.</p>	Hybrid	3	1350	L	null	null	null	A!03	42
Motion-Detection Badge (Worn)	<p>This hexagon-shaped adornment can be activated or deactivated as a move action. A motiondetection badge has 4 charges, which refresh daily, and an hour of activation uses 1 charge. While active, as long as you haven’t moved for at least 1 round, the badge emits a quick flash of red light whenever a Small or larger corporeal creature approaches within 60 feet, although creatures undetectable to normal vision (such as an invisible creature) don’t trigger the flash. This flash is sufficient to alert you, but doesn’t otherwise affect your vision or your actions. Reduce this distance by 20 feet for each interposing closed door or substantial barrier (such as a wall at least 1 inch thick). You can attune the badge to a creature by touching it with the item, which takes a full action; you can attune the badge to up to 10 different creatures. When you are within 60 feet of one of these creatures, regardless of whether you have moved in the past round, the badge emits a yellow flash to let you know an ally is near. Attempting to attune an eleventh creature causes the badge to lose its attunement to the earliest attuned creature. Note that in certain environments, such as a crowded shopping center, the badge flashes so frequently as to be practically useless for detecting approaching threats.</p>	Hybrid	3	1350	L	null	null	null	AT01	10
Redundancy Belt (Worn)	<p>These devices were originally created by ilthisarian travelers early in their exploration of worlds beyond their native Arshalin. Most are wide mesh belts with entwined serpentine patterns, though redundancy belts made beyond Arshalin have a wider variety of appearances. After being worn for at least 24 hours, the belt creates duplicates of your existing vital organs that last as long as you wear the belt, magically and temporarily rearranging your internal anatomy to create space for them. You gain a +4 resistance bonus to Fortitude saving throws against poison, to withstand the harmful effects of thick and thin atmospheres, and to avoid choking when breathing in heavy smoke. You can hold your breath for a number of rounds equal to four times your Constitution score, and you always take minimum damage from falls (as though rolling a 1 for each die of damage).</p>	Hybrid	3	1200	L	null	null	null	DS05	43
Software Imp, Tier 2	<p>Whether or not it has attained true consciousness, a software imp is a perverse and illegal AI obnoxious enough that the question is academic. Software imps come on memory sticks so they remain isolated from your own systems. A software imp has a tier, and it is ineffective on any computer of a higher tier than its own.<br/> You must have access to a computer to install a software imp on it, and you can do so as a full action. The imp renders its memory stick unusable on the way out, leaving no way to conclusively determine what was once stored there. Once installed, the software imp becomes an artificial personality on its host computer. If the computer already has an artificial personality, the imp finds and overwrites it if possible. Faced with an artificial personality to which it does not have access, the imp lies in wait until it gains access to that personality in order to replace it.<br/> Initially, the imp can access information and modules that were accessible to you when you installed the imp. It can gain further access if a user unwittingly uses more access while the imp is installed. The imp can also fool users into giving it more access by attempting Bluff, Diplomacy, Intimidate, and Sense Motive checks with a bonus according to its tier.<br/> While acting as an artificial personality, the imp is as unhelpful as possible to anyone attempting to use the system. The software imp doesn’t ignore commands, but it interprets them in the worst way possible. It can misdirect, reveal unwanted information, obfuscate the truth, and otherwise aggravate and demoralize the user.<br/> Finding and removing a software imp requires a successful Computers check to hack the imp as if it were a computer of its tier. However, the imp copies and installs itself as redundantly as it can, based on its tier number, and it can revive itself so long as a single copy remains. A dismissal spell targeting a computer infested with software imps can remove the malicious AIs as if they were extraplanar creatures, each with a CR equal to its item level and a Will save bonus based on its tier.<br/> The tiers of software imps and the capabilities of each are as follows.</p>	Hybrid	3	1400	null	null	null	null	ARM	124
Ablative Insulation, Mk 1	<p>Civilization on Verces exists on the thin line between fiery heat and frozen desolation. Verthani’s unique perspective on the elements led them to develop temperature-sensitive compounds with remarkable properties. Ablative insulation comes in a single-use canister containing enchanted fullerene-based powder. In a process that takes 1 minute, you can spray the contents on a creature to thoroughly coat it with the powder (though it automatically avoids orifices and sensory organs such as the eyes, mouth, and nose). The creature coated gains energy resistance to all energy types (which doesn’t stack with any other source of energy resistance), and the ablative insulation wears away as it prevents damage. The coating lasts for 1 hour if not ablated away sooner. Multiple coatings don’t offer any additional benefit (ignore all but the highest-level coating). Each canister contains enough material to fully cover a single Medium or smaller creature, with any excess wasted. When applied to a Large creature, the insulation provides only half the energy resistance (rounded down) and total points of absorption unless a second canister is used. If applied to a Huge or larger creature, the insulation is wasted without effect.</p>	Hybrid	4	350	L	null	null	null	PWD	202
Animated Trapsmith's Tools	<p>When you whisper a command word to these otherwise normal trapsmith’s tools (Starfinder Core Rulebook 221), they begin to move on their own. You can use these tools to arm explosives or disarm a trap at a distance of 10 feet, using your total skill bonus in the appropriate skill (though the circumstance bonus provided by the tools is decreased to +2 when used in this way).</p>	Hybrid	4	2000	L	null	null	null	DS04	45
Computer Idol, Mk 1	<p>A computer idol is a small statuette that creates a field of good luck during computer use. These figures vary wildly in shape, from religious figures to trivid mascots. When you fail a Computers check, the computer idol allows you to reroll and take the higher result. You must be within 5 feet of your computer idol and able to see it to benefit from it.<br/> A computer idol allows a number of rerolls per day based on its type. Once you benefit from a given computer idol, you can’t benefit from a different one for 24 hours.</p>	Hybrid	4	1850	L	null	null	null	ARM	120
Creator Capsule, Mk 1	<p>Although it appears to be little more than an oblong case full of electronics, a creator capsule is a tiny 3D printer, with a programmable interface and a supply of UPBs stored in an extradimensional space. As a full action, you can connect the creator capsule wirelessly to your comm unit or computer, then command it to print one or more nonmagical personal or technological items. Printing an item requires you to have the plans on the connected device or an infosphere connection through which you can download the blueprints.<br/> A creator capsule takes 1 round to create an item, plus 1 round per bulk of the item above light. No individual printed item can have a bulk greater than 3. The creator capsule consumes itself during the printing process. Although the printer can be stopped as a move action, doing so renders the capsule useless for further printing. An item printed by the creator capsule is of average quality, and it has the statistics of an ordinary item of its type.<br/> Based on its type, a creator capsule has the following cost and level limits on items it creates.</p>	Hybrid	4	2000	L	null	null	null	ARM	120
Efficient Bandolier	<p>This bandolier fits over any Medium creature and contains five compartments, each corresponding to a specific type of weapon: melee weapons, small arms, longarms, heavy weapons, and explosives. Each compartment contains an extradimensional space designed to house up to 1 bulk of ammunition or batteries (for this purpose, 10 batteries or pieces of ammunition with no bulk count as having light bulk). The bandolier does not accumulate bulk even as its compartments are filled.<br/> Each efficient bandolier includes an advanced AI capable of controlling the bandolier’s robotic components to suit your needs. As a swift action, you can command an efficient bandolier to draw up to 1 bulk worth of batteries or ammunition, placing the items directly into one of your hands.</p>	Hybrid	4	2000	L	null	null	null	CRB	226
Empathic Depiction, Bust	<p>Lashunta artists have techniques to collect emotions and memories associated with an individual and imprint them onto a representative piece of art lashuntas call an empathic depiction. To collect such memories, a telepathic artist interviews the subject along with those who know or have strong memories of the subject. This process takes at least a week. In the past, these objects were magical, and some still are, but most modern empathic depictions are hybrid items that use advanced holography to create realistic memorials. Creating such an empathic depiction is a crafting task that uses the Engineering skill (Starfinder Core Rulebook 235) or an appropriate artistic Profession skill in a similar way. (A wholly magical version uses Mysticism instead.)<br/> Creatures within range of an empathic depiction (based on its model) can feel the emotions and recall the memories placed within it. A creature can attempt a Will saving throw (DC based on the model) to resist these experiences, which cause no damage or harmful effect. These hybrid items utilize magic and psychic energy, remaining active while an observer is in range. They can also be plugged into a power grid and operate continuously while such power flows.</p>	Hybrid	4	2200	1	null	null	null	DF01	45
Gravitic Modulator (Worn)	<p>Gravitic-modulator technology was developed on Silselrik, derived from the selamids’ innate ability to withstand the stresses of changing gravity. Originally designed by the selamids for their own use when venturing away from the safety of their megadoplexes, these devices see common use among offworlders visiting Silselrik for commerce, research, or work in the diamond mines. While a selamid simply absorbs the device into its protoplasm, most humanoids wear the gravitic modulator as a backpack due to its size and weight.<br/> While wearing a gravitic modulator, you are shielded from some of the effects of rapidly changing gravity. You gain a +2 enhancement bonus to saving throws to resist gravitybased effects, such as a control gravity spell or a solarian’s black hole revelation. In addition, whenever you would take damage from extreme gravity, you take 5 less damage (minimum 0 damage).</p>	Hybrid	4	2200	1	null	null	null	DS05	43
Lightning Gatherer	<p>The gas giant Tarchuuva has much to offer in terms of rare gases and other unique items. The lightning gatherer, a metallic canister containing charged gases harvested from Tarchuuva, is one such item. Prongs and clamps on the canister’s bottom allow you to attach the lightning gatherer to a stationary object, provided that object is larger than the lightning gatherer. Deploying or recovering the canister is a full action that provokes attacks of opportunity. While deployed, creatures within 20 feet of the gatherer have cover against ranged attacks and area effects that deal only electricity damage, such as arcing surge or an attack from an arc pistol. Such effects bend toward the lightning gatherer. The bonus from saving throws due to this cover applies to any save against a critical hit effect from a weapon that deals only electricity damage.</p>	Hybrid	4	2250	2	null	null	null	A!03	42
Prescient Lenses, Mk 1 (Worn)	<p>Prescient lenses blend quantum computing and divination magic to model, extrapolate, and display events happening in the next few seconds as translucent holograms. A pair of lenses has one charge, which is refreshed each day, and a creature can benefit from a single use of prescient lenses each day (with any subsequent attempt showing the same few seconds of time as the first daily use). Prescient lenses were originally as optical enhancements for the robotic anacites of Aballon and can be integrated into a robot for the listed price. Alternatively, they can be installed as a cybernetic eye augmentation for 1,000 additional credits.</p>	Hybrid	4	2150	null	null	null	null	PWD	203
Psychic Booster	<p>This circlet, originally designed by lashuntas, fits over the wearer’s brow and wraps around the wearer’s antennae (if any). A psychic booster augments the power of your inherent psychic abilities. If you have telepathy, the range of your telepathy doubles. (For instance, if you have limited telepathy out to a range of 30 feet, the range increases from 30 feet to 60 feet.)</p>	Hybrid	4	2000	L	null	null	null	CRB	227
Static Glider	<p>The static charge prevalent throughout Tarchuuva’s upper atmosphere has given rise to a recreational activity called static gliding. This leisure activity is restrictive due to the costs of the equipment and travel to Tarchuuva, but competitive static gliding was one of the most widely viewed sporting activities on Ilemchuuva.<br/> A static glider is a thin metallic sheet incorporated onto a minimal nanocarbon frame roughly 10 feet across. You can strap into a harness on the glider’s underside, taking a full action. The glider’s surface is designed with a microtexture that allows it to build up an electromagnetic charge and use that energy to produce lift. A glider requires no power source on Tarchuuva or during electromagnetic storms, but otherwise, the device requires a battery and consumes 1 charge per minute. While using a static glider, you gain a fly speed of 30 feet with poor maneuverability. You are flat-footed while using the glider to fly unless you dedicate two hands to steering it.</p>	Hybrid	4	1800	1	null	null	null	A!03	44
Telespectrum Circlet, Mk 1	<p>A telespectrum circlet is a hybrid item that counts as a worn magic item unless you install it in armor, taking up one upgrade slot. The circlet increases the range of your limited telepathy based on the item’s model number. In addition, the circlet has a number of charges per day based on its model number. As a move action, you can expend one of these charges to use your limited telepathy on any creature that knows a language rather than only those that share a language with you. This effect lasts for 10 minutes. Once the circlet’s charges are expended, you can spend 1 Resolve Point in place of a charge to power the effect. The psychic link created by using a given circlet prevents you from using a different one for 24 hours.</p>	Hybrid	4	2400	L	null	null	null	DF01	45
Vital Seed, Beast	<p>Bioengineered to grow specific chemicals and cellular structures, even those that replicate animal or humanoid flesh, vital seeds come packed in tiny capsules of First World soil to make them grow at alarming speeds. The specific effect depends on the purpose for which the seed was bioengineered. Vital seeds can grow livestock and plants, replace missing organs, and perform many other useful tasks. Some common vital seeds are listed here.</p>	Hybrid	4	650	null	null	null	null	ARM	125
Astral Transponder	<p>When activated and placed in contact with a computer, an astral transponder transmits a signal to a preprogrammed receiving computer anywhere on the same plane. A user operating the receiving computer can affect the computer to which the transponder is attached without being physically present at that computer. Because the astral transponder transmits its signal through another plane, normal shielding, signal jammers, and similar countermeasures have no effect on the transmission. An astral transponder can be attuned to a new receiving computer with 1 minute of work and a successful DC 22 Computers or Mysticism check.</p>	Hybrid	5	3500	L	null	null	null	DF02	9
Digital Harrow Deck	<p>A digital harrow deck is a modernization of an archaic means of fortune-telling whose roots trace back to vanished Golarion. Once per day, you can activate the deck as a full action. It projects holograms of 54 cards, which buzz around you. To begin the reading, you ask a question aloud to the harrow deck, causing all of the cards to come together as a deck; then, the deck uses hundreds of advanced pseudomystical calculations to deal a three-by-three array of cards for you, which it then uses to vocally interpret the circumstances surrounding your question. This works as the augury spell, with a spell level equal to the deck’s item level.<br/> Additionally, a mystic who has a digital harrow deck and who also knows augury can ignore the spell’s requirement that a Resolve Point be spent to cast it. A mystic can do this a number of times per day equal to his Wisdom bonus.<br/> A technomancer can designate a digital harrow deck as her spell cache. If she does, the deck’s AI integrates with her own consciousness, providing her with a +1 bonus to her caster level for divination spells and effects. Additionally, she can spend 1 Resolve Point as a swift action when she casts a technomancer spell to draw upon the algorithms that allow the deck to function, adding a +1 insight bonus to the spell’s save DC.</p>	Hybrid	5	3500	L	null	null	null	CRB	226
Mnemonic Editor, Mk 1	<p>A mnemonic editor consists of a complex series of brain implant injectors, digital harrow deck autoreaders, illusion runes, and virtual-reality programs, all controlled by an enchanted analysis computer and attached to a mobile surgical bed. The network of magic and technology is capable of removing experiences from a patient strapped to the bed over the course of a single 24-hour session. Skills and knowledge can be excised, lessons unlearned and muscle memory altered. Memories are not lost entirely; the patient still recalls what it did during its life, whom it met, and how it felt about the moments it experienced, but the impact of those experiences is subtly altered. The device then creates a new set of experiences—clearly artificial but no less effective—by leaving impressions and implanting new knacks, muscle memory, reflexes, and skills.<br/> If you use a mnemonic editor, you can undo 2 character levels’ worth of decisions about which class levels you took, which feats you selected, how you applied any level-based increases to ability scores, how you assigned new skill ranks, and so on. All decisions you made as a result of advancing over the previous 2 character levels you gained are undone. You then make new selections, including new class levels, feats, skills, and the like, as if you had regained the 2 missing character levels. Go through the normal process of advancing your character through each of these 2 levels.<br/> Each mnemonic editor works only once—the strain on its technology and the consequences of rewriting your past to even this small degree cause it to break down into valueless junk after a single session. Additionally, the alterations made to you render it more difficult for such extraordinary procedures to be effective in the future. A mk 1 mnemonic editor cannot be used on you if you have already benefited from one in the past. However, it is possible to use a more advanced mk 2 model that functions in the same manner, even if you have already used a mk 1 mnemonic editor. Of course, you can only benefit from a mk 2 mnemonic editor once. There exist even more advanced mk 3 and mk 4 models, and each can be used on you once even after you have used a lower-level mnemonic editor, but they are so expensive that they are usually produced only upon request.</p>	Hybrid	5	500	10	null	null	null	CRB	226
Null-Space Chamber, Mk 1	<p>A null-space chamber is a circular device often designed to be strapped to an arm or backpack. When you press a button on the side, the device creates a circular extradimensional rift to a pocket space, the size of which is determined by the null-space chamber’s model. You can close it by pressing the button again, causing the entrance to the space to disappear. Anything stored within the space remains, however, traveling with the item. The null-space chamber can be opened and closed only from the outside.<br/> The only air within the pocket space is that which enters when you open the entrance. The device does not accumulate bulk even as its pocket space is filled. Each null-space chamber is associated with its own particular extradimensional space. Each null-space chamber can carry a set amount of bulk, after which it can no longer be closed (even if it has room left for more material). Spells and items that contain or create extradimensional spaces, such as other null-space chambers, do not function within a null-space chamber’s pocket dimension.<br/> A readout on a null-space chamber automatically catalogs all items within it, and if the chamber is open, you can call up any such item and have it placed in your hand as a full action.</p>	Hybrid	5	3050	L	null	null	null	CRB	227
Null-Space Tumor	<p>While it is rare, some adventurers claim that exposing a nullspace chamber to powerful teleportation magic (such as plane shift) can result in an unusual metallic growth appearing within the chamber. Scholars have yet to determine the true nature of these anomalies, which they call null-space tumors. A null-space tumor seems to have no obvious use or purpose, and merchants might sell you a null-space chamber with one inside without realizing it. The listed price and level is for a mk 1 null-space chamber with a null-space tumor inside; rumors persist that larger and more disruptive null-space tumors exist. A null-space tumor has 1 bulk and can’t be permanently removed from its associated chamber. You can’t purposefully call up a null-space tumor from its chamber, but each time you call up another item from the chamber, there is a 20% chance that the null-space tumor appears instead. When that happens, the tumor’s unusual properties randomly cause one of the following effects (roll 1d8 to determine the effect), after which the null-space tumor immediately teleports itself back into the chamber. The only way to destroy a null-space tumor is to destroy the null-space chamber it’s attached to. <table> <tr><th>D8</th><th>Effect</th></tr> <tr><td>1</td><td>You and all your gear become invisible for 1d4+1 rounds, but you move as if through a thick soup; your speed is reduced to 10 feet during this time.</td></tr> <tr><td>2</td><td>Duplicates appear around you, as if you were affected by the spell mirror image for 1d4 minutes. However, you see doubles of every creature and object, meaning you have a 50% miss chance to attack a creature and a 50% chance to waste your action when you try to pick up or manipulate an object.</td></tr> <tr><td>3</td><td>You gain the benefits of comprehend languages for 1 hour, but anything you write down or type on a computer during this time instantly vanishes as per erase.</td></tr> <tr><td>4</td><td>You gain the benefits of keen senses for 10 minutes, but you take a –2 penalty to saving throws against sensedependent effects during this time.</td></tr> <tr><td>5</td><td>The tumor produces a wisp ally (as per the spell of the same name) that lasts for 1d4+1 rounds, but you don’t control it. The wisp ally chooses its targets and effect randomly.</td></tr> <tr><td>6</td><td>You instantly regain 1d6 Stamina Points, but lose the same number of Hit Points. If you have all your Stamina Points, you instead belch a ring of iridescent smoke. <tr><td>7</td><td>The next weapon you touch is affected as per supercharge weapon, but it immediately gains the broken condition after it is used to attack. You must touch a weapon within 1 minute or lose this ability.</td></tr> <tr><td>8</td><td>You gain a small degree of telepathy and can detect thoughts (as per the spell of the same name) for the next 5 minutes. However, your idealized self-image appears 15 feet away from you, as per a 1st-level casting of holographic image, and you have no control over this image.</td></tr> </td></tr></table></p>	Hybrid	5	3050	1	null	null	null	DF04	53
