id	name	description	type	price	bulk	source	source_page
12	Intoxicant, minor	<p>Table 7–36: Food and Drinks shows the price and bulk of a single serving of an intoxicating beverage or inhaled substance, which in the Pact Worlds is most often alcohol or tobacco. An intoxicant’s potency can be minor or superior. A minor intoxicant might be beer or wine, which takes a few servings to cause any physiological effects. A superior intoxicant is usually a strong spirit, such as whiskey, that can start producing effects after a single serving. Unlike drugs, intoxicants are usually not addictive, although a GM might rule that a PC who partakes of too much of an intoxicant on a regular basis might begin to suffer the effects of an addictive drug (as described in Afflictions on page 417).</p>	Food and Drink	1	L	CRB	233
13	Intoxicant, superior	<p>Table 7–36: Food and Drinks shows the price and bulk of a single serving of an intoxicating beverage or inhaled substance, which in the Pact Worlds is most often alcohol or tobacco. An intoxicant’s potency can be minor or superior. A minor intoxicant might be beer or wine, which takes a few servings to cause any physiological effects. A superior intoxicant is usually a strong spirit, such as whiskey, that can start producing effects after a single serving. Unlike drugs, intoxicants are usually not addictive, although a GM might rule that a PC who partakes of too much of an intoxicant on a regular basis might begin to suffer the effects of an addictive drug (as described in Afflictions on page 417).</p>	Food and Drink	10+	L	CRB	233
14	Meal, common	<p>A meal is usually purchased close to the time it is consumed, often at a restaurant or from a street vendor. Most such meals are mass produced in the Pact Worlds, and it is relatively cheap and easy to get food in just about any remotely civilized area. Poor-quality meals are either nutritious but bland, or tasty but unhealthy. Common-quality meals are both tasty and nourishing. Good meals are gourmet in taste and offer higherquality nutrition.</p>	Food and Drink	3	L	CRB	233
15	Meal, good	<p>A meal is usually purchased close to the time it is consumed, often at a restaurant or from a street vendor. Most such meals are mass produced in the Pact Worlds, and it is relatively cheap and easy to get food in just about any remotely civilized area. Poor-quality meals are either nutritious but bland, or tasty but unhealthy. Common-quality meals are both tasty and nourishing. Good meals are gourmet in taste and offer higherquality nutrition.</p>	Food and Drink	5	L	CRB	233
16	Meal, poor	<p>A meal is usually purchased close to the time it is consumed, often at a restaurant or from a street vendor. Most such meals are mass produced in the Pact Worlds, and it is relatively cheap and easy to get food in just about any remotely civilized area. Poor-quality meals are either nutritious but bland, or tasty but unhealthy. Common-quality meals are both tasty and nourishing. Good meals are gourmet in taste and offer higherquality nutrition.</p>	Food and Drink	1	L	CRB	233
17	Poor chain	<p>Options for dining out can be divided into two broad categories: chain restaurants and independent venues. Chain restaurants are ubiquitous and tend to be cheaper, but they have less variety and the food is lower quality. Independent venues are more expensive, but they often employ master chefs who create the highest-quality food in all the Pact Worlds. The prices listed in Table 1–33 are averages, and the quality of the restaurant corresponds to the quality of the meals served (Core Rulebook 233). Dining at independent venues with well-known or famous chefs can be even more expensive, with prices equal to the head chef’s total skill bonus in Life Science multiplied by 10.</p>	Food and Drink	2	null	ARM	134
18	R2E	<p>These self-contained “Ready-to-Eat” pouches contain a day’s worth of nourishing entrees and side dishes, plus a portable snack or dessert. Each R2E also includes disposable utensils, a single-use flameless ration heater, and an accessory pack containing breath freshener, a disposable cup, a napkin, seasonings, and drink powder. Each R2E has a shelf life of one century, and the pouch is made of a durable, easy-seal material.</p>	Food and Drink	1	L	CRB	233
19	Lodgings, effciency	<p>An efficiency is a small living quarters designed for one or two people, normally no bigger than 250–300 square feet. Beds fold down from the walls and may serve double duty as sofas. A restroom and shower are common, as is a minimal kitchen.</p>	Lodgings	3 per night	null	CRB	234
20	Lodgings, sleep pod	<p>A sleep pod has an area not much bigger than that of a bed, and is available as a stand-alone pod in a public area or as the smallest room or apartment available in a hotel or living complex. Frequently, 3–5 sleep pods are stacked atop each other in each section, and a hallway may have hundreds of such units. Showers and restroom facilities are often communal, and no allowance is made for cooking or cleaning.</p>	Lodgings	1 per night	null	CRB	234
21	Lodgings, suite 1-2 beds	<p>A suite forms a complete set of living quarters with multiple rooms, including a kitchen and full bathroom, plus laundry facilities either within the suite or available nearby.</p>	Lodgings	5 per night per bed	null	CRB	234
22	Lodgings, suite 3-4 beds	<p>A suite forms a complete set of living quarters with multiple rooms, including a kitchen and full bathroom, plus laundry facilities either within the suite or available nearby.</p>	Lodgings	10 per night per bed	null	CRB	234
23	Communications	<p>Those without access to a starship’s comms system can send and receive messages at system-wide or unlimited range (see page 272) by paying an individual or business. System-wide communications cost 5 credits per minute, and unlimited-range communications cost 10 credits per minute.</p>	Professional Services	5 or 10 per minute	null	CRB	234
24	Grooming, exotic	<p>Grooming practices vary widely from species to species, but all generally involve various methods to keep a creature’s body neat and clean. Examples of standard grooming services include haircuts, fur trimming, feather preening, claw or nail trimming, nail and scale buffing, parasite removal, tooth cleaning and dentistry, and the like. Exotic grooming services are usually considered luxuries rather than necessities, and include hair, fur, or scale coloring; body modifications; permanent and temporary tattoos; and wellness services such as massages, medicinal baths, and spa treatments.</p>	Professional Services	75	null	ARM	135
25	Grooming, standard	<p>Grooming practices vary widely from species to species, but all generally involve various methods to keep a creature’s body neat and clean. Examples of standard grooming services include haircuts, fur trimming, feather preening, claw or nail trimming, nail and scale buffing, parasite removal, tooth cleaning and dentistry, and the like. Exotic grooming services are usually considered luxuries rather than necessities, and include hair, fur, or scale coloring; body modifications; permanent and temporary tattoos; and wellness services such as massages, medicinal baths, and spa treatments.</p>	Professional Services	3	null	ARM	135
26	Laundry, magical	<p>Standard laundry services include both washing and drycleaning, and the listed price is for up to 1 bulk of clothing. Clean laundry is usually ready the next day. Magical laundry service is usually provided by a spellcaster using token spell to instantly clean up to one outfit or 10 items at once.</p>	Professional Services	10	null	ARM	135
27	Laundry, standard	<p>Standard laundry services include both washing and drycleaning, and the listed price is for up to 1 bulk of clothing. Clean laundry is usually ready the next day. Magical laundry service is usually provided by a spellcaster using token spell to instantly clean up to one outfit or 10 items at once.</p>	Professional Services	1	null	ARM	135
28	Medical treatment, long-term care	<p>While technological medical equipment and magical healing are readily available for purchase in most areas, many people have neither the funds nor the skill to use such methods. Fortunately, three types of facilities provide medical treatment services to the general public: clinics, hospitals, and trauma centers. Each of these facilities is usually equipped with multiple medical labs (Core Rulebook 220) and can perform some or all of the tasks of the Medicine skill (Core Rulebook 143), detailed below. Prices depend on the service provided, as listed in Table 1–34, though most facilities will perform first aid for no cost. These are average prices; medical treatments at a high-end or luxury facility can cost 2 to 10 times more.<br/> Clinics are small outpatient facilities that provide only basic medical treatments: first aid, treat deadly wounds, treat disease, and treat drugs or poison. Hospitals are larger institutions that offer all medical treatments and include room and board for the duration of your stay. Trauma centers provide emergency care for traumatic injuries and can offer the following medical treatments: first aid, treat deadly wounds, long-term stability, and treat drugs or poison.<br/> An average doctor at a clinic is a CR 6 expert with Life Science and Medicine as master skills (+16 skill bonus for both), while a typical doctor at a hospital or trauma center is a CR 7 expert with a +19 skill bonus in Life Science and Medicine.</p>	Professional Services	100 per day	null	ARM	135
29	Medical treatment, long-term stability	<p>While technological medical equipment and magical healing are readily available for purchase in most areas, many people have neither the funds nor the skill to use such methods. Fortunately, three types of facilities provide medical treatment services to the general public: clinics, hospitals, and trauma centers. Each of these facilities is usually equipped with multiple medical labs (Core Rulebook 220) and can perform some or all of the tasks of the Medicine skill (Core Rulebook 143), detailed below. Prices depend on the service provided, as listed in Table 1–34, though most facilities will perform first aid for no cost. These are average prices; medical treatments at a high-end or luxury facility can cost 2 to 10 times more.<br/> Clinics are small outpatient facilities that provide only basic medical treatments: first aid, treat deadly wounds, treat disease, and treat drugs or poison. Hospitals are larger institutions that offer all medical treatments and include room and board for the duration of your stay. Trauma centers provide emergency care for traumatic injuries and can offer the following medical treatments: first aid, treat deadly wounds, long-term stability, and treat drugs or poison.<br/> An average doctor at a clinic is a CR 6 expert with Life Science and Medicine as master skills (+16 skill bonus for both), while a typical doctor at a hospital or trauma center is a CR 7 expert with a +19 skill bonus in Life Science and Medicine.</p>	Professional Services	15 per hour	null	ARM	135
30	Medical treatment, treat deadly wounds	<p>While technological medical equipment and magical healing are readily available for purchase in most areas, many people have neither the funds nor the skill to use such methods. Fortunately, three types of facilities provide medical treatment services to the general public: clinics, hospitals, and trauma centers. Each of these facilities is usually equipped with multiple medical labs (Core Rulebook 220) and can perform some or all of the tasks of the Medicine skill (Core Rulebook 143), detailed below. Prices depend on the service provided, as listed in Table 1–34, though most facilities will perform first aid for no cost. These are average prices; medical treatments at a high-end or luxury facility can cost 2 to 10 times more.<br/> Clinics are small outpatient facilities that provide only basic medical treatments: first aid, treat deadly wounds, treat disease, and treat drugs or poison. Hospitals are larger institutions that offer all medical treatments and include room and board for the duration of your stay. Trauma centers provide emergency care for traumatic injuries and can offer the following medical treatments: first aid, treat deadly wounds, long-term stability, and treat drugs or poison.<br/> An average doctor at a clinic is a CR 6 expert with Life Science and Medicine as master skills (+16 skill bonus for both), while a typical doctor at a hospital or trauma center is a CR 7 expert with a +19 skill bonus in Life Science and Medicine.</p>	Professional Services	75	null	ARM	135
31	Medical treatment, treat disease	<p>While technological medical equipment and magical healing are readily available for purchase in most areas, many people have neither the funds nor the skill to use such methods. Fortunately, three types of facilities provide medical treatment services to the general public: clinics, hospitals, and trauma centers. Each of these facilities is usually equipped with multiple medical labs (Core Rulebook 220) and can perform some or all of the tasks of the Medicine skill (Core Rulebook 143), detailed below. Prices depend on the service provided, as listed in Table 1–34, though most facilities will perform first aid for no cost. These are average prices; medical treatments at a high-end or luxury facility can cost 2 to 10 times more.<br/> Clinics are small outpatient facilities that provide only basic medical treatments: first aid, treat deadly wounds, treat disease, and treat drugs or poison. Hospitals are larger institutions that offer all medical treatments and include room and board for the duration of your stay. Trauma centers provide emergency care for traumatic injuries and can offer the following medical treatments: first aid, treat deadly wounds, long-term stability, and treat drugs or poison.<br/> An average doctor at a clinic is a CR 6 expert with Life Science and Medicine as master skills (+16 skill bonus for both), while a typical doctor at a hospital or trauma center is a CR 7 expert with a +19 skill bonus in Life Science and Medicine.</p>	Professional Services	1000	null	ARM	135
32	Medical treatment, treat drugs or poison	<p>While technological medical equipment and magical healing are readily available for purchase in most areas, many people have neither the funds nor the skill to use such methods. Fortunately, three types of facilities provide medical treatment services to the general public: clinics, hospitals, and trauma centers. Each of these facilities is usually equipped with multiple medical labs (Core Rulebook 220) and can perform some or all of the tasks of the Medicine skill (Core Rulebook 143), detailed below. Prices depend on the service provided, as listed in Table 1–34, though most facilities will perform first aid for no cost. These are average prices; medical treatments at a high-end or luxury facility can cost 2 to 10 times more.<br/> Clinics are small outpatient facilities that provide only basic medical treatments: first aid, treat deadly wounds, treat disease, and treat drugs or poison. Hospitals are larger institutions that offer all medical treatments and include room and board for the duration of your stay. Trauma centers provide emergency care for traumatic injuries and can offer the following medical treatments: first aid, treat deadly wounds, long-term stability, and treat drugs or poison.<br/> An average doctor at a clinic is a CR 6 expert with Life Science and Medicine as master skills (+16 skill bonus for both), while a typical doctor at a hospital or trauma center is a CR 7 expert with a +19 skill bonus in Life Science and Medicine.</p>	Professional Services	1000	null	ARM	135
33	Professional freelancer	<p>Entertainers, experts, porters, and tradesfolk often lack time or interest in taking jobs outside of their normal work. Those who do are freelancers, who build a circle of regular clients and get paid directly by those to whom they provide services.<br/> The price of hiring a freelancer is based on the typical total bonus she has in a specific relevant skill (often Profession), representing her skill level. However, the GM can determine a specific freelancer actually has a bonus much higher or lower than the norm for someone at her pay rate.<br/> Even professional freelancers won’t generally take work that places them in serious danger, and those few who do are likely to insist on pay rates two to 10 times higher than those listed.</p>	Professional Services	Skill bonus × 2 per day	null	CRB	234
34	Spellcasting, 0-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	20	null	CRB	234
35	Spellcasting, 1st-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	100	null	CRB	234
36	Spellcasting, 2nd-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	350	null	CRB	234
37	Spellcasting, 3rd-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	1000	null	CRB	234
38	Spellcasting, 4th-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	3000	null	CRB	234
39	Spellcasting, 5th-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	9000	null	CRB	234
40	Spellcasting, 6th-level spell	<p>Professional spellcasters are common only in major settlements and often require advance appointments and insist on security measures when dealing with new clients. Many are associated with a church, guild, or major corporation, and they may only work for groups and individuals associated with such organizations. It’s generally not possible to convince a professional spellcaster to travel to an unsecured location to cast spells, and any who do agree to it will insist on much higher payment rates (anywhere from 10 to 100 times the normal price).<br/> If a spell requires an expenditure of credits, add that price to the price of having a professional spellcaster cast it. If a spell requires an expenditure of Resolve Points to be cast, increase the price of having it performed by a professional spellcaster by 50%; most professional spellcasters will only cast one such spell each day.</p>	Professional Services	30000	null	CRB	234
41	Starship crew, officer	<p>Although most starships require crews of only half a dozen or fewer to fly, larger vessels can require 20 or more crew members to operate successfully. Standard crew members usually don’t have a stat block, but they are generally characters of CR 1 or lower. They cannot fill roles in starship combat, but they can serve on teams supporting an officer in a role.<br/> Officers are NPCs who can be hired to fill unoccupied starship combat roles on a starship. Officer stat blocks can be created using the monster creation rules beginning on page 126 of the Alien Archive, with the skill most associated with their starship role as a master skill. They can be any CR, but few officers will serve on a starship of a lower tier than their CR. Officers can have any class graft, but it’s generally easier to find envoys, mechanics, operatives, and soldiers interested in serving aboard starships than mystics, solarians, or technomancers.<br/> The price of hiring a starship officer is based on the typical total bonus she has in a specific skill relevant to her starship role, representing her skill level. However, the GM can determine that a specific officer actually has a bonus much higher or lower than the norm for someone at her pay rate. At the GM’s discretion, NPCs that the PCs have helped or allied with can choose to become crew members on the PCs’ starship, possibly reducing the price to hire them by half, one-third, or even to zero for exceptionally grateful NPCs.</p>	Professional Services	Skill bonus × 5 per week	null	ARM	135
42	Starship crew, standard	<p>Although most starships require crews of only half a dozen or fewer to fly, larger vessels can require 20 or more crew members to operate successfully. Standard crew members usually don’t have a stat block, but they are generally characters of CR 1 or lower. They cannot fill roles in starship combat, but they can serve on teams supporting an officer in a role.<br/> Officers are NPCs who can be hired to fill unoccupied starship combat roles on a starship. Officer stat blocks can be created using the monster creation rules beginning on page 126 of the Alien Archive, with the skill most associated with their starship role as a master skill. They can be any CR, but few officers will serve on a starship of a lower tier than their CR. Officers can have any class graft, but it’s generally easier to find envoys, mechanics, operatives, and soldiers interested in serving aboard starships than mystics, solarians, or technomancers.<br/> The price of hiring a starship officer is based on the typical total bonus she has in a specific skill relevant to her starship role, representing her skill level. However, the GM can determine that a specific officer actually has a bonus much higher or lower than the norm for someone at her pay rate. At the GM’s discretion, NPCs that the PCs have helped or allied with can choose to become crew members on the PCs’ starship, possibly reducing the price to hire them by half, one-third, or even to zero for exceptionally grateful NPCs.</p>	Professional Services	20 per week	null	ARM	135
43	Unskilled labor	<p></p>	Professional Services	4 per day or 1 per hour	null	CRB	234
44	Recharging stations	<p>Most settlements of any significant size have public recharging stations for batteries and power cells. To recharge the full capacity of a spent battery or power cell takes 1 round per charge and costs half the price of the battery or cell. You can recharge a partially depleted battery or cell, but the price for doing so is the same as if it were fully spent. At the GM’s discretion, some larger starships might have onboard recharging stations. These might offer recharging at low or no cost, but they typically take 1 minute per charge to recharge a battery or power cell.</p>	Recharging Stations	1/2 price of battery or cell	null	CRB	234
45	Colossal creature, rent	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	3000 per day	null	ARM	135
46	Colossal creature, ride	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	100 per mile	null	ARM	135
47	Gargantuan creature, rent	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	650 per day	null	ARM	135
48	Gargantuan creature, ride	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	30 per mile	null	ARM	135
49	Grav-train passage	<p>A grav-train is a hovering, multisection mass transport that runs a specific ground route, generally over a metal or ceramic rail. It is the cheapest way to move overland, but it requires significant infrastructure to operate and only runs to set locations on a (sometimes unreliable) schedule.</p>	Transportation	1 per 100 miles	null	CRB	234
50	Huge creature, rent	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	125 per day	null	ARM	135
51	Huge creature, ride	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	10 per mile	null	ARM	135
52	Large creature, rent	<p>Most civilized planets rely on technological transportation, but less-developed worlds often utilize living creatures for travel. Such creatures are as varied in size, shape, color, and features as the planets they inhabit. Typically, biological transport is slower and more expensive than automated travel, but in frontier regions, it may be the only option available. Biological transport can be rented on a daily basis, with prices determined by the size of the creature. The listed price does not include the cost of feeding and maintaining the creature. Generally, rented biological transport requires riders to control and direct the creatures, using the ride a creature task of the Survival skill.<br/> Alternatively, you can simply purchase a ride on biological transport, with prices determined by the size of the creature and the distance traveled. For Large or larger creatures, the listed price typically includes a trained handler for that animal who directs it toward your destination.</p>	Transportation	25 per day	null	ARM	135
