name	description	level	price	damage	critical	bulk	special	source	source_page
Electron crystal, lesser	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	9	12100	+1d6 E	null	null	Stun	ARM	49
Gluon crystal, minor	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	9	11500	+1d6	Severe wound	null	null	CRB	186
Muon crystal, lesser	<p>Theoretically kin to the electron crystal, a muon crystal turns its user’s solar weapon into a wispy glow in shimmering colors, closer to the auroras certain worlds experience than the unadulterated light of a star. This diffuse weapon slides easily through most matter, making it easier to tear through living creatures and inanimate objects alike. Muon crystals are available in least, minor, lesser, standard, and greater varieties.</p>	10	18100	+2d4	null	null	Penetrating	ARM	49
Photino crystal, lesser	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	10	17000	+2d4 F	Burn 1d6	null	null	AA2	117
Tauon crystal, standard	<p>A tauon crystal helps a solarian overwhelm the senses of foes with intense flashes of light and electricity. When this crystal is set to stun, the damage dealt by the solar weapon is nonlethal.</p>	10	17500	+2d4 E	Staggered	null	Stun	PWD	194
Z-boson crystal, lesser	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	10	17500	+1d8	Push (10 ft.)	null	null	ARM	49
Apocalypse crystal, lesser	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	11	24900	+2d6	Corrode 1d6	null	null	AA2	81
Graviton crystal, lesser	<p>Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.</p>	11	24000	+2d6	Knockdown	null	null	CRB	186
Photon crystal, lesser	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	11	25100	+2d6 F	Burn 1d6	null	null	CRB	186
W-boson crystal, lesser	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	11	26200	+2d6	Bleed 2d6	null	null	CRB	186
Electron crystal, standard	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	12	30500	+3d4 E	null	null	Stun	ARM	49
Gluon crystal, lesser	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	12	30800	+2d6	Severe wound	null	null	CRB	186
Photino crystal, standard	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	13	46000	+3d4 F	Burn 2d6	null	null	AA2	117
Positron crystal, minor	<p>A positron crystal’s interactions with matter release both heat and radiation, causing a solar weapon it enhances to roar with flame as it strikes enemies. This adds fire damage to the weapon’s strikes and adds the irradiate critical hit effect to critical hits scored with the weapon. Unlike many radioactive weapons, a solar weapon enhanced by a positron crystal does not pose any particular risk to its user, although the reason behind this remains unknown. Research into precisely how to preserve these crystals is ongoing; currently only least, minor, and lesser versions remain stable for more than a few seconds, though these are quite powerful.</p>	13	47700	+2d8 F	Irradiate	null	null	ARM	49
T-quark crystal, standard	<p>T-quark crystals have a rapid rate of decay that a solarian can manipulate a limited number of times per day to charge his solar weapon for a more powerful strike. When the t-quark crystal is active, the solar weapon is surrounded by a chaotic storm of particles, the spiraling results of the crystal’s decay. T-quark crystals are available in least, minor, lesser, standard, greater, and true varieties.</p>	13	45000	+1d12	null	null	Variant boost 2d6 (4/day)	ARM	49
Tauon crystal, greater	<p>A tauon crystal helps a solarian overwhelm the senses of foes with intense flashes of light and electricity. When this crystal is set to stun, the damage dealt by the solar weapon is nonlethal.</p>	13	48400	+3d4 E	Staggered	null	Stun	PWD	194
Z-boson crystal, standard	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	13	47500	+2d8	Push (20 ft.)	null	null	ARM	49
Apocalypse crystal, standard	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	14	74000	+3d6	Corrode 2d6	null	null	AA2	81
Graviton crystal, standard	<p>Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.</p>	14	69800	+3d6	Knockdown	null	null	CRB	186
Photon crystal, standard	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	14	71200	+3d6 F	Burn 2d6	null	null	CRB	186
W-boson crystal, standard	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	14	81300	+3d6	Bleed 3d6	null	null	CRB	186
Electron crystal, greater	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	15	93000	+4d4 E	null	null	Stun	ARM	49
Gluon crystal, standard	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	15	94200	+3d6	Severe wound	null	null	CRB	186
Muon crystal, standard	<p>Theoretically kin to the electron crystal, a muon crystal turns its user’s solar weapon into a wispy glow in shimmering colors, closer to the auroras certain worlds experience than the unadulterated light of a star. This diffuse weapon slides easily through most matter, making it easier to tear through living creatures and inanimate objects alike. Muon crystals are available in least, minor, lesser, standard, and greater varieties.</p>	16	166000	+6d4	null	null	Penetrating	ARM	49
Photino crystal, greater	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	16	145000	+4d4 F	Burn 3d6	null	null	AA2	117
T-quark crystal, greater	<p>T-quark crystals have a rapid rate of decay that a solarian can manipulate a limited number of times per day to charge his solar weapon for a more powerful strike. When the t-quark crystal is active, the solar weapon is surrounded by a chaotic storm of particles, the spiraling results of the crystal’s decay. T-quark crystals are available in least, minor, lesser, standard, greater, and true varieties.</p>	16	175000	+3d6	null	null	Variant boost 3d6 (5/day)	ARM	49
Tauon crystal, true	<p>A tauon crystal helps a solarian overwhelm the senses of foes with intense flashes of light and electricity. When this crystal is set to stun, the damage dealt by the solar weapon is nonlethal.</p>	16	161000	+3d8 E	Staggered	null	Stun	PWD	194
Z-boson crystal, greater	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	16	177500	+3d8	Push (25 ft.)	null	null	ARM	49
Apocalypse crystal, greater	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	17	265000	+4d6	Corrode 3d6	null	null	AA2	81
Graviton crystal, greater	<p>Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.</p>	17	251000	+4d6	Knockdown	null	null	CRB	186
Photon crystal, greater	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	17	246200	+4d6 F	Burn 3d6	null	null	CRB	186
W-boson crystal, greater	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	17	274100	+4d6	Bleed 4d6	null	null	CRB	186
Electron crystal, true	<p>While in use, an electron crystal causes a solar weapon to crackle with electricity and dance with magnetic distortions. The user can control these distortions to dull a blow to the target, which many solarians consider to be a useful feature for incapacitating foes. An electron crystal polarizes the energy of a solar weapon, adding electricity damage and allowing you to convert all damage dealt to nonlethal. These crystals are available in shard, least, minor, lesser, standard, greater, and true versions.</p>	18	332000	+6d4 E	null	null	Stun	ARM	49
Gluon crystal, greater	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	18	330300	+4d6	Severe wound	null	null	CRB	186
Photino crystal, true	<p>In their travels, solar wisps sometimes shed portions of themselves, which cool rapidly into a glittering stream of beautiful bright-orange jewels called photino crystals that are used throughout the Pact Worlds (and beyond) as naturally occurring solarian weapon crystals. A few small starship crews make a dangerous living by following wisps— at a great distance—and waiting for this molting, scooping up the resulting jewels until their cargo holds are full, and then returning to a safer location to sort them by quality. Despite the danger inherent in collecting the gems, these solarian weapon crystals are widely available, especially in the sun’s Burning Archipelago in the Pact Worlds; aboard the kasathan worldship the Idari; and in Fullbright, Verces’s scorched, sun-facing hemisphere.</p>	19	495000	+6d4 F	Burn 4d6	null	null	AA2	117
Positron crystal, lesser	<p>A positron crystal’s interactions with matter release both heat and radiation, causing a solar weapon it enhances to roar with flame as it strikes enemies. This adds fire damage to the weapon’s strikes and adds the irradiate critical hit effect to critical hits scored with the weapon. Unlike many radioactive weapons, a solar weapon enhanced by a positron crystal does not pose any particular risk to its user, although the reason behind this remains unknown. Research into precisely how to preserve these crystals is ongoing; currently only least, minor, and lesser versions remain stable for more than a few seconds, though these are quite powerful.</p>	19	528000	+5d6 F	Irradiate	null	null	ARM	49
Z-boson crystal, true	<p>This specialized weapon crystal causes a solar weapon to twist energy, momentum, and even stranger forces around it. A weapon enhanced with a z-boson crystal deals increased damage and can sometimes give a target unexpected momentum, hurling it backward. Z-boson crystals are fairly esoteric and can be found in shard, least, minor, lesser, standard, greater, and true versions. </p>	19	561000	+4d8	Push (30 ft.)	null	null	ARM	49
Apocalypse crystal, true	<p>Regions ravaged by a living apocalypse’s radioactivity sometimes develop a form of natural solarian weapon crystal known as an apocalypse crystal. While no one is foolish enough to oppose a living apocalypse to search its environs for these crystals, when a living apocalypse moves away from a devastated area it dwelt in for a long period, there is often a “crystal rush.” Representatives of solarian academies and other prospectors in environmental suits risk exposure to lingering radiation in hopes of finding any apocalypse crystals before anyone else—and before the malevolent nuclear ooze returns.<br/> An apocalypse crystal causes the damage dealt by your solarian weapon to function as a force effect. On a critical hit, your target’s molecules begin to lose cohesion, inflicting terrible damage.</p>	20	776000	+6d6	Corrode 5d6	null	null	AA2	81
Gluon crystal, true	<p>Gluon crystals create an entropic field along the weapon that creates traumatic wounds.</p>	20	916200	+6d6	Severe wound	null	null	CRB	186
Graviton crystal, true	<p>Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.</p>	20	727100	+6d6	Knockdown	null	null	CRB	186
Muon crystal, greater	<p>Theoretically kin to the electron crystal, a muon crystal turns its user’s solar weapon into a wispy glow in shimmering colors, closer to the auroras certain worlds experience than the unadulterated light of a star. This diffuse weapon slides easily through most matter, making it easier to tear through living creatures and inanimate objects alike. Muon crystals are available in least, minor, lesser, standard, and greater varieties.</p>	20	760000	+10d4	null	null	Penetrating	ARM	49
Photon crystal, true	<p>Photon crystals add compressed photonic energy to a weapon strike, adding fire damage and the potential to burn the target.</p>	20	729500	+6d6 F	Burn 5d6	null	null	CRB	186
T-quark crystal, true	<p>T-quark crystals have a rapid rate of decay that a solarian can manipulate a limited number of times per day to charge his solar weapon for a more powerful strike. When the t-quark crystal is active, the solar weapon is surrounded by a chaotic storm of particles, the spiraling results of the crystal’s decay. T-quark crystals are available in least, minor, lesser, standard, greater, and true varieties.</p>	20	750000	+6d6	null	null	Variant boost 6d6 (5/day)	ARM	49
W-boson crystal, true	<p>W-boson crystals amplify the sheer amount of damage a weapon deals.</p>	20	806000	+6d6	Bleed 6d6	null	null	CRB	186
