id	name	sub_race_name	description	ability	avg_height_or_length	avg_weight	age_of_maturity	maximum_age	hit_points	size	type	subtype	source	source_page
28	Dwarves	Alternate	<p>Dwarves are a stocky race, roughly a foot shorter than humans, with broad, heavy frames. Dwarves trace their heritage to the missing planet of Golarion, yet for them, this is not merely a matter of history, but identity—they were forged in the furnace of Golarion’s subterranean passages, and many dwarves born long after the planet’s disappearance still feel the sting of its loss, kept alive in dwarven song and legend. Dwarven history also claims that they once had a different racial god, Torag, who left his worshipers in the hands of his brother Angradd during the Gap so he could stand guard over Golarion, wherever it is now.<br/> Dwarves are most commonly found on Absalom Station, where their guilds and clans wield significant power, or on city-sized Star Citadel ships. Significant dwarven communities on other worlds are rare, though small groups can be found throughout the Pact Worlds’ extrasolar colonies. Many dwarves are attracted to asteroid mining, with Star Citadels common in the Diaspora.<br/> Larger dwarven communities often focus on tradition and fight to keep ancient crafts, laws, and enmities alive. This traditionalism sometimes causes other races to see dwarves as old fashioned, or even backward. Dwarves are certainly cautious in adopting new technologies and slow to change their way of life, but once a new technology has proven safe and effective, it’s quickly adapted to dwarven needs. Dwarves are often mechanics, mystics, and soldiers. They tend to get along best with gnomes, halflings, humans, and other races with ties to Golarion, though they have a sometimes impolite appreciation for androids’ elegant construction and find much in common with kasathas and korasha lashuntas.<br/> Among the strongest dwarven traditions is the Quest for Sky, a belief that Torag commanded his people to leave their underground homes on Golarion and fight a generations-long war to reach the surface. While many dwarves feel the Quest for Sky was fulfilled, some explore far from the Pact Worlds in the belief that the original journey was only the first stage of the quest and that Torag now wants them to find some specific alien sky for which they’re destined.<br/> Most dwarves stand 4 to 4-1/2 feet tall and weigh 150–200 pounds. They’re considered adults at 40 and live up to 450 years.</p>	+2 DEX, +2 INT, -2 STR	4 to 4-1/2 ft.	150–200 lbs.	40 years	250+2d% years	6	Medium	Humanoid	Dwarf	COM	30
29	Elebrian	null	<p>Elebrians, the native race of Eox, were nearly wiped out in the calamity that ravaged the planet. Only a tiny population of living elebrians now remain.<br/> Elebrians are very humanlike, and it has been suggested that they and humanity may share a common ancestor in the ancient past. A typical elebrian stands slightly over 6 feet tall and has pale skin and large, dark eyes. They have oversized craniums with slightly distended foreheads to house their large brains. Most elebrians are entirely hairless, but a small minority grow wispy hair on their scalps and thin eyebrows.<br/> Elebrians have quick wits and a natural desire to accumulate both knowledge and power. They are driven to undertake tasks that provide either a valued insight or a significant personal advantage.</p>	+2 CON, +2 INT, -2 WIS	null	null	null	null	2	Medium	Humanoid	Elebrian	DS03	53
30	Elves	null	<p>Lithe, long-lived humanoids, elves are easily recognized by their pointed ears and pupils so large that their eyes seem to be all one color. Possessed of an inherent bond with the natural world, they tend to subtly take on the coloration of their surroundings over the course of many years and have a deep spiritual regard for nature.<br/> Of all the races common to the solar system, elves were perhaps the hardest-hit by the Gap, and the slowest to adapt and recover. Where shorter-lived races quickly gave birth to children who had never known any other way of life, and thus were personally unaffected by the loss of history, the elven generation whose lives extended back into the Gap continued on, broken and confused by the blank centuries in their own lives and memories. What’s more, those leaders charged with trying to piece together their social history from scraps soon came to a grim conclusion: during the Gap, their race had been betrayed by another—yet exactly which race was involved remains unclear, all suggestions of the answer scrubbed by malicious intent or the Gap itself.<br/> Reeling and angry, elves from across the system retreated to their ancestral homeland of Sovyrian on Castrovel and dug in, determined to never again be caught unprepared by disaster. Even this was a fraught endeavor, however, as many of the established elven families already on Castrovel resented the chaos and upheaval caused by the sudden flood of refugees.<br/> Today, the elves are a reclusive, xenophobic race, little understood by their neighbors and uninclined to remedy that situation. Though their starships still travel the void, trading with other worlds, they largely carry all-elven crews, and most elves choose to live among their own kind either in Sovyrian or in predominantly elven enclaves on other worlds. Those adventurous or rebellious individuals who choose to live among other races are called the Forlorn, due both to their loss of elven companionship and to their tendency to outlive friends of other races. Most are viewed with pity and suspicion by their kindred.<br/> Within their borders, elves tend to be whimsical and passionate, yet when dealing with outsiders their laughter disappears quickly, replaced by a cold, unyielding wall. Elven warriors and diplomats operating outside of Sovyrian on government business sometimes even choose to go masked, hiding their identities around other races in order to better represent a united elven state.<br/> While elves have embraced technology and the security it brings, they also maintain a deep affinity for magic, seeing in its practice a continuity with their ancestors. Elves are most often mystics, operatives, and technomancers, and when they go adventuring, it’s often to recover bits of magical lore lost to history, or else to find ways to ensure Sovyrian’s strength in the centuries to come. The primary exception to all of these tendencies are the drow—purple-skinned elves who reject the company of their brethren to live on Apostae and mine alien tech from that world’s interior, making them some of the most feared and respected arms dealers in the system. Ordinary elves and drow despise one another, and while Sovyrian’s leadership generally tries to distance itself from political entanglements, supposedly rogue elven fleets have launched several surprise assaults on Apostae in an effort to “cleanse the corruption.” The fact that these attacks have resulted in sanctions from the Pact Council has somehow done little to deter the elves.<br/> Most elves stand 5-1/2 to 6-1/2 feet tall and weigh 100–150 pounds. They’re considered adults at 100 and naturally live up to 750 years.</p>	+2 DEX, +2 INT, -2 CON	5-1/2 to 6-1/2 ft.	100–150 lbs.	100 years	350+4d% years	4	Medium	Humanoid	Elf	CRB	507
31	Elves	Alternate	<p>Lithe, long-lived humanoids, elves are easily recognized by their pointed ears and pupils so large that their eyes seem to be all one color. Possessed of an inherent bond with the natural world, they tend to subtly take on the coloration of their surroundings over the course of many years and have a deep spiritual regard for nature.<br/> Of all the races common to the solar system, elves were perhaps the hardest-hit by the Gap, and the slowest to adapt and recover. Where shorter-lived races quickly gave birth to children who had never known any other way of life, and thus were personally unaffected by the loss of history, the elven generation whose lives extended back into the Gap continued on, broken and confused by the blank centuries in their own lives and memories. What’s more, those leaders charged with trying to piece together their social history from scraps soon came to a grim conclusion: during the Gap, their race had been betrayed by another—yet exactly which race was involved remains unclear, all suggestions of the answer scrubbed by malicious intent or the Gap itself.<br/> Reeling and angry, elves from across the system retreated to their ancestral homeland of Sovyrian on Castrovel and dug in, determined to never again be caught unprepared by disaster. Even this was a fraught endeavor, however, as many of the established elven families already on Castrovel resented the chaos and upheaval caused by the sudden flood of refugees.<br/> Today, the elves are a reclusive, xenophobic race, little understood by their neighbors and uninclined to remedy that situation. Though their starships still travel the void, trading with other worlds, they largely carry all-elven crews, and most elves choose to live among their own kind either in Sovyrian or in predominantly elven enclaves on other worlds. Those adventurous or rebellious individuals who choose to live among other races are called the Forlorn, due both to their loss of elven companionship and to their tendency to outlive friends of other races. Most are viewed with pity and suspicion by their kindred.<br/> Within their borders, elves tend to be whimsical and passionate, yet when dealing with outsiders their laughter disappears quickly, replaced by a cold, unyielding wall. Elven warriors and diplomats operating outside of Sovyrian on government business sometimes even choose to go masked, hiding their identities around other races in order to better represent a united elven state.<br/> While elves have embraced technology and the security it brings, they also maintain a deep affinity for magic, seeing in its practice a continuity with their ancestors. Elves are most often mystics, operatives, and technomancers, and when they go adventuring, it’s often to recover bits of magical lore lost to history, or else to find ways to ensure Sovyrian’s strength in the centuries to come. The primary exception to all of these tendencies are the drow—purple-skinned elves who reject the company of their brethren to live on Apostae and mine alien tech from that world’s interior, making them some of the most feared and respected arms dealers in the system. Ordinary elves and drow despise one another, and while Sovyrian’s leadership generally tries to distance itself from political entanglements, supposedly rogue elven fleets have launched several surprise assaults on Apostae in an effort to “cleanse the corruption.” The fact that these attacks have resulted in sanctions from the Pact Council has somehow done little to deter the elves.<br/> Most elves stand 5-1/2 to 6-1/2 feet tall and weigh 100–150 pounds. They’re considered adults at 100 and naturally live up to 750 years.</p>	+2 DEX, +2 CHA, -2 WIS	5-1/2 to 6-1/2 ft.	100–150 lbs.	100 years	350+4d% years	4	Medium	Humanoid	Elf	COM	31
32	Embri	null	<p>The embri are highly evolved mollusks with an exceptionally rigid social order. Every embri knows its place among the hierarchy of embri society and performs the duties of its station without complaint. The society’s few rebels or free thinkers, when discovered, are exiled or executed. This rigid order has allowed embri society to excel in technological and magical development, although outsiders view embri creations as soulless or downright gruesome— their vast, fiery factory-forges ring with the rhythmic clang of machinery, and blood-fueled vermicular vessels heave across their world with peristaltic contractions.<br/> Embri evolved from aquatic ancestors long ago, and their four strong limbs have sharp claws at the end allowing them to walk upright on land. These claws have significant flexibility, so embri can use tools and weapons. The average embri is 4 feet tall with a trailing tail that’s slightly longer, and most weigh around 200 pounds. Embri reproduce asexually, and while they once would bud young based on the seasons of their home world, budding is now rigidly controlled by embri bureaucracy and allowed only on schedules set by the office of the spawning administrator. Young embri are raised in institutional academies where they’re trained to be diligent and compliant and are rewarded for informing on classmates who demonstrate deviant thinking or “anomalous independence.”<br/> Embri have a highly developed brain-sac at the top of their heads, and their faces consist of two small, closely set eyes above a slit that functions as a combination of nose and ears— they exhale from this orifice to produce a whistling speech. Embri mouths are used solely for eating and are tucked away on the underside of their bodies. Embri consider eating a private, embarrassing function, and they are repulsed at how openly and communally other races eat.<br/> Culturally, embri long ago mastered social conditioning to eliminate all displays of emotion; they consider expressiveness to be barbaric, and the occasional embri who shows feelings openly is considered primitive and dangerous. As a side effect of keeping their own feelings in check, embri easily pick up on signs of emotions. To prevent inadvertent displays of emotion, embri wear ornate masks. These masks also denote social standing, civic responsibilities, and other designators that allow embri to immediately assess one another by sight. Embri wear their masks at all times, even when sleeping, and to be without a mask is a profound embarrassment—it evidences a gross exposure of an embri’s thoughts and feelings, rendering it unable to effectively protect its own emotions and too distracted to effectively read the expressions of others.<br/> Few embri realize their rigid social hierarchy is controlled by the forces of Hell—scheming devils direct all embri activities from the secret tunnels beneath the mollusks’ home world. These dictates are conveyed by the small group of embri, known as Speakers, who communicate with the devils directly and enact their infernal designs. In exchange for this service, Speakers are granted magical powers and the secrets of diabolical manipulation. Some Speakers also serve as diplomats and envoys from the embri to the Pact Worlds. In these roles, they both shield their people from dangerously individualistic thinking and extend their masters’ designs to the rest of the galaxy. Speakers usually travel with a coterie of devoted embri servants who, in their uniquely expressionless way, idolize the Speaker as a celebrity.<br/> The diabolic taint on embri society is pervasive, yet subtle. For example, the embri language now contains several Infernal words and phrases, and though embri shun symbols of deific obedience as an overemotional expression of connection to the divine, stylized iconography of infernal origin features prominently in modern embri architecture.</p>	+2 CON, +2 INT, -2 CHA	3-1/2 to 4-1/2 ft.	150–250 lbs.	8 years	60+1d20 years	6	Medium	Aberration	null	AA2	49
33	Embri	Emissary	<p>The embri are highly evolved mollusks with an exceptionally rigid social order. Every embri knows its place among the hierarchy of embri society and performs the duties of its station without complaint. The society’s few rebels or free thinkers, when discovered, are exiled or executed. This rigid order has allowed embri society to excel in technological and magical development, although outsiders view embri creations as soulless or downright gruesome— their vast, fiery factory-forges ring with the rhythmic clang of machinery, and blood-fueled vermicular vessels heave across their world with peristaltic contractions.<br/> Embri evolved from aquatic ancestors long ago, and their four strong limbs have sharp claws at the end allowing them to walk upright on land. These claws have significant flexibility, so embri can use tools and weapons. The average embri is 4 feet tall with a trailing tail that’s slightly longer, and most weigh around 200 pounds. Embri reproduce asexually, and while they once would bud young based on the seasons of their home world, budding is now rigidly controlled by embri bureaucracy and allowed only on schedules set by the office of the spawning administrator. Young embri are raised in institutional academies where they’re trained to be diligent and compliant and are rewarded for informing on classmates who demonstrate deviant thinking or “anomalous independence.”<br/> Embri have a highly developed brain-sac at the top of their heads, and their faces consist of two small, closely set eyes above a slit that functions as a combination of nose and ears— they exhale from this orifice to produce a whistling speech. Embri mouths are used solely for eating and are tucked away on the underside of their bodies. Embri consider eating a private, embarrassing function, and they are repulsed at how openly and communally other races eat.<br/> Culturally, embri long ago mastered social conditioning to eliminate all displays of emotion; they consider expressiveness to be barbaric, and the occasional embri who shows feelings openly is considered primitive and dangerous. As a side effect of keeping their own feelings in check, embri easily pick up on signs of emotions. To prevent inadvertent displays of emotion, embri wear ornate masks. These masks also denote social standing, civic responsibilities, and other designators that allow embri to immediately assess one another by sight. Embri wear their masks at all times, even when sleeping, and to be without a mask is a profound embarrassment—it evidences a gross exposure of an embri’s thoughts and feelings, rendering it unable to effectively protect its own emotions and too distracted to effectively read the expressions of others.<br/> Few embri realize their rigid social hierarchy is controlled by the forces of Hell—scheming devils direct all embri activities from the secret tunnels beneath the mollusks’ home world. These dictates are conveyed by the small group of embri, known as Speakers, who communicate with the devils directly and enact their infernal designs. In exchange for this service, Speakers are granted magical powers and the secrets of diabolical manipulation. Some Speakers also serve as diplomats and envoys from the embri to the Pact Worlds. In these roles, they both shield their people from dangerously individualistic thinking and extend their masters’ designs to the rest of the galaxy. Speakers usually travel with a coterie of devoted embri servants who, in their uniquely expressionless way, idolize the Speaker as a celebrity.<br/> The diabolic taint on embri society is pervasive, yet subtle. For example, the embri language now contains several Infernal words and phrases, and though embri shun symbols of deific obedience as an overemotional expression of connection to the divine, stylized iconography of infernal origin features prominently in modern embri architecture.</p>	+2 INT, +2 CHA, -2 STR	3-1/2 to 4-1/2 ft.	150–250 lbs.	8 years	60+1d20 years	6	Medium	Aberration	null	NSP	128
34	Embri	Preceptor	<p>The embri are highly evolved mollusks with an exceptionally rigid social order. Every embri knows its place among the hierarchy of embri society and performs the duties of its station without complaint. The society’s few rebels or free thinkers, when discovered, are exiled or executed. This rigid order has allowed embri society to excel in technological and magical development, although outsiders view embri creations as soulless or downright gruesome— their vast, fiery factory-forges ring with the rhythmic clang of machinery, and blood-fueled vermicular vessels heave across their world with peristaltic contractions.<br/> Embri evolved from aquatic ancestors long ago, and their four strong limbs have sharp claws at the end allowing them to walk upright on land. These claws have significant flexibility, so embri can use tools and weapons. The average embri is 4 feet tall with a trailing tail that’s slightly longer, and most weigh around 200 pounds. Embri reproduce asexually, and while they once would bud young based on the seasons of their home world, budding is now rigidly controlled by embri bureaucracy and allowed only on schedules set by the office of the spawning administrator. Young embri are raised in institutional academies where they’re trained to be diligent and compliant and are rewarded for informing on classmates who demonstrate deviant thinking or “anomalous independence.”<br/> Embri have a highly developed brain-sac at the top of their heads, and their faces consist of two small, closely set eyes above a slit that functions as a combination of nose and ears— they exhale from this orifice to produce a whistling speech. Embri mouths are used solely for eating and are tucked away on the underside of their bodies. Embri consider eating a private, embarrassing function, and they are repulsed at how openly and communally other races eat.<br/> Culturally, embri long ago mastered social conditioning to eliminate all displays of emotion; they consider expressiveness to be barbaric, and the occasional embri who shows feelings openly is considered primitive and dangerous. As a side effect of keeping their own feelings in check, embri easily pick up on signs of emotions. To prevent inadvertent displays of emotion, embri wear ornate masks. These masks also denote social standing, civic responsibilities, and other designators that allow embri to immediately assess one another by sight. Embri wear their masks at all times, even when sleeping, and to be without a mask is a profound embarrassment—it evidences a gross exposure of an embri’s thoughts and feelings, rendering it unable to effectively protect its own emotions and too distracted to effectively read the expressions of others.<br/> Few embri realize their rigid social hierarchy is controlled by the forces of Hell—scheming devils direct all embri activities from the secret tunnels beneath the mollusks’ home world. These dictates are conveyed by the small group of embri, known as Speakers, who communicate with the devils directly and enact their infernal designs. In exchange for this service, Speakers are granted magical powers and the secrets of diabolical manipulation. Some Speakers also serve as diplomats and envoys from the embri to the Pact Worlds. In these roles, they both shield their people from dangerously individualistic thinking and extend their masters’ designs to the rest of the galaxy. Speakers usually travel with a coterie of devoted embri servants who, in their uniquely expressionless way, idolize the Speaker as a celebrity.<br/> The diabolic taint on embri society is pervasive, yet subtle. For example, the embri language now contains several Infernal words and phrases, and though embri shun symbols of deific obedience as an overemotional expression of connection to the divine, stylized iconography of infernal origin features prominently in modern embri architecture.</p>	+2 DEX, +2 WIS, -2 CON	3-1/2 to 4-1/2 ft.	150–250 lbs.	8 years	60+1d20 years	6	Medium	Aberration	null	NSP	128
35	Endiffian	null	<p>Endiffians have humanoid skeletons, with two arms and two legs, but their flesh is incredibly elastic, allowing them to re-form their appearances at a cellular level. They can even modify the shape of individual cells to absorb or reflect visible light, allowing them to reproduce a wide variety of colors. This allows endiffians to reshape themselves into simulacra of virtually any humanoid. Endiffian hands are also extremely malleable, allowing them to easily mold their grip to suit their purposes, whether scaling a cliff face or maintaining a solid grip on a favorite pistol.<br/> Endiffians often find employment as agents of subterfuge, while also pursuing schemes of their own. Particularly mischievous endiffians especially enjoy appearing as reptoids, stirring anxieties about the mysterious race while providing a distraction from the disguised endiffian’s own clandestine plots.<br/> Toward the end of her life, an endiffian’s pliant flesh turns pale and brittle, networks of cracks forming in the places that she reshaped most often. Elders often take pride in this fine latticework that represents their lifetime of change, but the rare aged endiffian with exceptionally smooth skin can easily find work as a trusted advisor or diplomat.<br/> The average endiffian is 6 feet tall and weighs 280 pounds.</p>	+2 INT, +2 CHA, -2 DEX	null	null	null	null	4	Medium	Humanoid	Endiffian/Shapechanger	AT01	56
36	Espraksa	null	<p>The avian espraksas originated from the Near Space planet of Neeroon. A small, frigid planetoid at the farthest reaches of its star system, Neeroon is a rugged world with a variety of biomes, from taigas to rocky badlands, and sky-scraping mountains to ice-filled canyons. The coloration of espraksas varies depending on the environment in which their ancestors evolved. Espraksas who adapted to the taigas of Neeroon developed deep-brown or russet feathers, while those who live in the snowy peaks have white or gray feathers lightly speckled with black or a mossy green. Espraksas have a thick collar of feathers to keep their long, slender necks warm. They also have lengthy antennae-like feathers that extend from the inner corners of their eyes. Males have crests of feathers that extend from the crowns of their heads and are expressive enough to communicate emotion. Espraksas stand about 7 feet tall and weigh 175 pounds.<br/> Espraksas consider themselves the offspring of the deities Desna and Weydan, unified in a pairing called the Wings. Their open, sociable, and free-spirited society reflects this origin story. Though the rule of law is important to espraksas, the application of wisdom and compassion is equally so. Espraksa settlements often have shrines dedicated to the Wings.<br/> Espraksa settlements also emphasize harmony with nature. They avoid razing the environment to make way for their settlements, instead incorporating their towns and homes high up in the surrounding trees and terrain. This architecture has left few means for land-bound creatures to enter from the ground. As tourism to Neeroon has grown more common, the espraksas have had to accommodate flightless creatures.<br/> Wanderlust and gregariousness are intrinsic to espraksa society on Neeroon despite individual regions having many quirks, which it seems their peoples took pains to preserve. Espraksas revel in exploration, whether literal, interpersonal, or spiritual. They often embark on a journey of self-discovery in an unofficial coming-of-age ceremony, traveling the galaxy and immersing themselves in other cultures. Espraksas love to make friends, even with the surliest of folk, establishing positive emotional connections that are passionate and enduring. Most espraksas can proudly recollect every friend made on their journeys and find enemies only under extreme circumstances. However, once an espraksa has decided another creature is a foe, the hostility can be just as fervent and lasting.<br/> Due to their exposure to many cultures and fields, espraksas fill many vocations. They take whatever odd jobs are available to fund their ongoing adventures. Many seek occupations that facilitate exploration, from field scientists to mercenaries. Diversity in skill is a virtue among espraksas, so much so that being good at one skill at the expense of others is seen as a character flaw.<br/> An espraksa’s journey can last decades. Most return to Neeroon when they feel their travels have provided enough novelty. Then, such espraksas settle down on their icy world, find mates, and start families. Older espraksas are highly valued leaders, philosophers, and teachers, their know-how honed over a lifetime of exploration. Some elder espraksas are celebrated experts even beyond Neeroon, renowned across the galaxy for their breadth of experience.</p>	+2 WIS, +2 CHA, -2 CON	7 to 8 ft.	125 to 200 lbs.	20 years	90+2d20 years	4	Medium	Humanoid	Espraksa	AA3	33
37	Ferran	null	<p>Ferrans are the native inhabitants of Ferrantus-4, a highgravity world that disappeared into a massive black hole several decades ago. The surviving ferrans live in a sprawling complex on the moon Ratheren (see page 62), which once orbited their home world but is now held in place just outside of the black hole’s event horizon. Though the Ratheren moon base is self-sufficient, ferrans are just another disaster away from becoming completely wiped out.<br/> Ferrans are short, squat humanoids with constantly furrowed brows and bald heads. Much of ferran tradition is rooted in science, and as such, they tend to be agnostics and atheists. Compared to other species, the ferran population is relatively small; they will eventually need to do something to grow their numbers if they wish to secure their continuation as a species.</p>	+2 CON, +2 INT, -2 DEX	null	null	null	null	4	Small	Humanoid	Ferran	DS02	55
38	Formian	null	<p>Formians resemble giant ants with humanoid upper bodies, and carve their chitinous plates with insignias reflecting their individual names and achievements. Members of a hive all share a telepathic link, allowing them to coordinate efficiently.<br/> Within a hive are castes specialized to particular tasks. The queen leads the hive and is its sole means of propagation, while castes like the aristocratic myrmarchs and mercantile taskmasters direct lower castes like warriors and workers.<br/> Formian workers are the backbone of hive labor and hatched in large clutches—many workers never gain a name beyond their number within the clutch. While strong, they typically flee combat unless ordered to fight. Formian warriors, by contrast, are fierce sterile females, each with a stronger individual identity to allow for more effective battle tactics. This individualism makes warriors more likely to chafe under strict hive hierarchies, and these are the formians most likely to set out on their own.<br/> Formians are most common on Castrovel. For millennia they sought to eradicate the lashunta, their traditional foes, but their queens now instead focus on adopting other species’ technology to industrialize their traditional hive societies.</p>	+2 STR, +2 CON, -2 WIS	6–8 ft.	150–250 lbs.	1 year	15+1d10 years	4	Medium	Monstrous Humanoid	null	AA1	51
39	Ghibrani	Husk	<p>Ghibranis are beetle-like humanoids native to the planet Elytrio (see page 46). After the ghibranis devastated their world with nuclear war, some of the survivors fended for themselves in the wastes, while the rest lived comfortably in a city protected by a bubble of force. The lingering radiation (even within the city) caused a rapid change in their biology, leading to two subspecies: husks, who have lost the use of their wings, and membranes, who have grown idle in their luxury.</p>	+2 CON, +2 WIS, -2 INT	null	null	null	null	4	Medium	Humanoid	Ghibrani	DS05	55
40	Ghibrani	Membrane	<p>Ghibranis are beetle-like humanoids native to the planet Elytrio (see page 46). After the ghibranis devastated their world with nuclear war, some of the survivors fended for themselves in the wastes, while the rest lived comfortably in a city protected by a bubble of force. The lingering radiation (even within the city) caused a rapid change in their biology, leading to two subspecies: husks, who have lost the use of their wings, and membranes, who have grown idle in their luxury.</p>	+2 DEX, +2 WIS, -2 STR	null	null	null	null	4	Medium	Humanoid	Ghibrani	DS05	55
41	Ghoran	Oakling	<p>Originally created by an obsessive druid from lost Golarion long before the Gap, ghorans are an ancient race whose ancestry is steeped in tragedy. Every aspect of ghoran physiology was designed to be perfect; unfortunately, that included “perfect taste”—their flesh-like rinds were so delicious that humans hunted them nearly to extinction. Worse, each was able to produce only one seed, adding to the precariousness of their species. Over hundreds of generations, they evolved from shambling, vine-like creatures into their current humanoid forms, but they still found themselves ostracized by humanity. While the first humans took to the stars, Golarion’s ghorans abandoned what is now the Pact Worlds to forge a new identity for their people. They discovered a planet they named Ghorus Prime and terraformed it from a barren rock to a lush floral paradise. The ghorans have flourished in this new world. Through genetic engineering, they have expanded their reproductive abilities, leading to the development of two ghoran subraces— the lithe and springy saplings and the tall and dense oaklings.<br/> Ghorans are roughly the same size as humans, and are nearly as diverse physically, though unlike humans, ghorans can adjust their bodies’ shapes within their frames’ limits. Their “skin” is a complex layer of fibrous vines and rinds with a texture like moss-covered bark, while their faces consist of hundreds of layered petals that flush and flutter at a whim.<br/> Each ghoran has a ghorus seed within its navel. As a full action, a ghoran can expel this seed. If planted in fertile soil and left undisturbed for 1d6 days, the seed grows into a sapling ghoran who physically mirrors the original. If left undisturbed for an additional 2d6 days, the seed grows into an oakling ghoran instead. After a sapling ghoran has been fully grown for 2d20 months, they can choose to grow into an oakling ghoran, a process that takes 1d6 weeks. Every 20 years or so, a ghoran develops a new seed, allowing the race to slowly grow its numbers.<br/> Many ghorans are withdrawn around flesh-and-blood creatures. They often prefer the company of vesk to humans— in fact, a popular conspiracy holds that ghorans fed information about humans to the vesk during the Silent War between the Pact Worlds and the Veskarium. Thus, ghoran-colonized planets and the Pact Worlds view each other with distrust. Despite these grounds for suspicion, ghoran society emphasizes the importance of community life, friendship, and companionship—all luxuries most ghorans could only dream of when they were few and hunted.</p>	+2 CON, +2 CHA, -2 INT	5–6 ft.	120–180 lbs.	2 years	200+1d% years	6	Medium	Plant	null	AA2	57
42	Ghoran	Oakling/Willower	<p>Originally created by an obsessive druid from lost Golarion long before the Gap, ghorans are an ancient race whose ancestry is steeped in tragedy. Every aspect of ghoran physiology was designed to be perfect; unfortunately, that included “perfect taste”—their flesh-like rinds were so delicious that humans hunted them nearly to extinction. Worse, each was able to produce only one seed, adding to the precariousness of their species. Over hundreds of generations, they evolved from shambling, vine-like creatures into their current humanoid forms, but they still found themselves ostracized by humanity. While the first humans took to the stars, Golarion’s ghorans abandoned what is now the Pact Worlds to forge a new identity for their people. They discovered a planet they named Ghorus Prime and terraformed it from a barren rock to a lush floral paradise. The ghorans have flourished in this new world. Through genetic engineering, they have expanded their reproductive abilities, leading to the development of two ghoran subraces— the lithe and springy saplings and the tall and dense oaklings.<br/> Ghorans are roughly the same size as humans, and are nearly as diverse physically, though unlike humans, ghorans can adjust their bodies’ shapes within their frames’ limits. Their “skin” is a complex layer of fibrous vines and rinds with a texture like moss-covered bark, while their faces consist of hundreds of layered petals that flush and flutter at a whim.<br/> Each ghoran has a ghorus seed within its navel. As a full action, a ghoran can expel this seed. If planted in fertile soil and left undisturbed for 1d6 days, the seed grows into a sapling ghoran who physically mirrors the original. If left undisturbed for an additional 2d6 days, the seed grows into an oakling ghoran instead. After a sapling ghoran has been fully grown for 2d20 months, they can choose to grow into an oakling ghoran, a process that takes 1d6 weeks. Every 20 years or so, a ghoran develops a new seed, allowing the race to slowly grow its numbers.<br/> Many ghorans are withdrawn around flesh-and-blood creatures. They often prefer the company of vesk to humans— in fact, a popular conspiracy holds that ghorans fed information about humans to the vesk during the Silent War between the Pact Worlds and the Veskarium. Thus, ghoran-colonized planets and the Pact Worlds view each other with distrust. Despite these grounds for suspicion, ghoran society emphasizes the importance of community life, friendship, and companionship—all luxuries most ghorans could only dream of when they were few and hunted.</p>	+2 STR, +2 CHA, -2 INT	5–6 ft.	120–180 lbs.	2 years	200+1d% years	6	Small	Plant	null	NSP	129
43	Ghoran	Sapling	<p>Originally created by an obsessive druid from lost Golarion long before the Gap, ghorans are an ancient race whose ancestry is steeped in tragedy. Every aspect of ghoran physiology was designed to be perfect; unfortunately, that included “perfect taste”—their flesh-like rinds were so delicious that humans hunted them nearly to extinction. Worse, each was able to produce only one seed, adding to the precariousness of their species. Over hundreds of generations, they evolved from shambling, vine-like creatures into their current humanoid forms, but they still found themselves ostracized by humanity. While the first humans took to the stars, Golarion’s ghorans abandoned what is now the Pact Worlds to forge a new identity for their people. They discovered a planet they named Ghorus Prime and terraformed it from a barren rock to a lush floral paradise. The ghorans have flourished in this new world. Through genetic engineering, they have expanded their reproductive abilities, leading to the development of two ghoran subraces— the lithe and springy saplings and the tall and dense oaklings.<br/> Ghorans are roughly the same size as humans, and are nearly as diverse physically, though unlike humans, ghorans can adjust their bodies’ shapes within their frames’ limits. Their “skin” is a complex layer of fibrous vines and rinds with a texture like moss-covered bark, while their faces consist of hundreds of layered petals that flush and flutter at a whim.<br/> Each ghoran has a ghorus seed within its navel. As a full action, a ghoran can expel this seed. If planted in fertile soil and left undisturbed for 1d6 days, the seed grows into a sapling ghoran who physically mirrors the original. If left undisturbed for an additional 2d6 days, the seed grows into an oakling ghoran instead. After a sapling ghoran has been fully grown for 2d20 months, they can choose to grow into an oakling ghoran, a process that takes 1d6 weeks. Every 20 years or so, a ghoran develops a new seed, allowing the race to slowly grow its numbers.<br/> Many ghorans are withdrawn around flesh-and-blood creatures. They often prefer the company of vesk to humans— in fact, a popular conspiracy holds that ghorans fed information about humans to the vesk during the Silent War between the Pact Worlds and the Veskarium. Thus, ghoran-colonized planets and the Pact Worlds view each other with distrust. Despite these grounds for suspicion, ghoran society emphasizes the importance of community life, friendship, and companionship—all luxuries most ghorans could only dream of when they were few and hunted.</p>	+2 DEX, +2 CHA, -2 INT	5–6 ft.	120–180 lbs.	2 years	200+1d% years	6	Small	Plant	null	AA2	57
