id	name	subtype	hands	description
26	Longarms	cryo	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
27	Longarms	dimensional disruption	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
28	Longarms	disintegrator	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
29	Longarms	flame	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
30	Longarms	laser	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
31	Longarms	plasma	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
32	Longarms	projectile	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
33	Longarms	shock	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
34	Longarms	sonic	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
35	Longarms	uncategorized	2	<p>Longarms are handheld, long-ranged weapons that must be held and operated with two hands. Various rifles are the most common type, though many types of longarms exist. Some longarms support automatic fire as well. Longarms require a battery or ammunition of the proper size and type to function.</p>
36	Heavy Weapons	cryo	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
37	Heavy Weapons	disintegrator	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
38	Heavy Weapons	flame	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
39	Heavy Weapons	laser	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
40	Heavy Weapons	plasma	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
41	Heavy Weapons	projectile	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
42	Heavy Weapons	shock	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
43	Heavy Weapons	sonic	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
44	Heavy Weapons	uncategorized	2	<p>Heavy weapons are military-grade, high-damage weapons that require specialized training to use. Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential. Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function.</p>
45	Snipers	flame	2	<p>Sniper weapons are handheld, long-ranged weapons that must be held and operated with two hands. They are similar to long arms, but they are designed to emphasize range and accuracy, even if this requires some sacrifice in damage potential. Sniper weapons require a battery or ammunition of the proper size and type to function.</p>
46	Snipers	laser	2	<p>Sniper weapons are handheld, long-ranged weapons that must be held and operated with two hands. They are similar to long arms, but they are designed to emphasize range and accuracy, even if this requires some sacrifice in damage potential. Sniper weapons require a battery or ammunition of the proper size and type to function.</p>
47	Snipers	plasma	2	<p>Sniper weapons are handheld, long-ranged weapons that must be held and operated with two hands. They are similar to long arms, but they are designed to emphasize range and accuracy, even if this requires some sacrifice in damage potential. Sniper weapons require a battery or ammunition of the proper size and type to function.</p>
48	Snipers	projectile	2	<p>Sniper weapons are handheld, long-ranged weapons that must be held and operated with two hands. They are similar to long arms, but they are designed to emphasize range and accuracy, even if this requires some sacrifice in damage potential. Sniper weapons require a battery or ammunition of the proper size and type to function.</p>
49	Snipers	uncategorized	2	<p>Sniper weapons are handheld, long-ranged weapons that must be held and operated with two hands. They are similar to long arms, but they are designed to emphasize range and accuracy, even if this requires some sacrifice in damage potential. Sniper weapons require a battery or ammunition of the proper size and type to function.</p>
50	Special	uncategorized	1	<p></p>
51	Special	uncategorized	2	<p></p>
52	Grenades	uncategorized	1	<p>Grenades are thrown weapons that detonate in an explosive radius when they reach the target. A grenade’s listing below shows its explosion radius. Some grenades have additional effects, such as blinded or entangled, that apply only to creatures in the explosion radius that fail a Reflex save against the grenade. The DC of the save is equal to 10 + half the grenade’s item level + your Dexterity modifier. Any penalty you take to your attack roll also applies to this save DC.</p>
