id	class_features_id	name	level	description
61	4	Convincing Liar (Ex; Bluff)	3	<p>When you attempt a Bluff check, you can choose not to roll your expertise die until later. After you determine what the check&rsquo;s result would be, you can choose to either roll your expertise die and add the result to the total or forgo the expertise die and reroll the check (see page 243). At 9th level, you can spend 1 Resolve Point to reroll the check and add the result of your expertise die.</p>
62	4	Create Diversion (Ex; Bluff)	3	<p>When you attempt a Bluff check to create a diversion, you can forgo rolling your expertise die. If you succeed at the check, all your allies within 60 feet also count as having succeeded at creating a diversion until the beginning of your next turn.</p>
63	4	Cultural Savant (Ex; Culture)	3	<p>As long as you have enough time, you can take 20 on Culture checks to recall knowledge, even if you don&rsquo;t have access to a computer terminal or other means of research.</p>
64	4	Cunning Disguise (Ex; Disguise)	3	<p>When you attempt an initial Disguise check, you can forgo rolling your expertise die. Instead, the first time a creature would pierce your disguise with a Perception check, treat its result as if it had rolled a natural 1 on its Perception check. This benefit applies only once per disguise. At 9th level, this ability also applies against the second creature who pierces your disguise.</p>
65	4	Demolition Expert (Ex; Engineering)	3	<p>When you attempt an Engineering check to arm or disable an explosive, you can forgo your expertise die to attempt the check as a full action (rather than the normal required time of 1 minute to arm an explosive or 2d4 rounds to disarm an explosive).</p>
66	4	Effortless Innuendo (Ex; Bluff)	3	<p>When you attempt a Bluff check to pass a secret message, you can forgo rolling your expertise die to pass your secret message to all allies within 60 feet, instead of just to a single ally. In addition, anyone overhearing your message must roll their Sense Motive checks twice and use the lower result when attempting to learn the gist of the message.</p>
67	4	Engineering Adept (Ex; Engineering)	3	<p>When you attempt an Engineering check to disable or repair a device, you can forgo rolling your expertise die to instead halve the time it takes to make the attempt.</p>
68	4	Expert Advice (Ex)	3	<p>When you are using the aid another action to help a creature succeed at a skill check with a skill in which you have expertise, you can forgo rolling your expertise die. If your aid another attempt succeeds, roll your expertise die and add the result of the roll as an insight bonus to the assisted creature&rsquo;s check in addition to the +2 bonus granted by a successful aid another attempt.</p>
69	4	Expert Distraction (Ex; Bluff)	3	<p>Whenever you attempt a Bluff check to create a distraction, you can forgo rolling your expertise die. If you do and your skill check succeeds, you can add your expertise die to whichever skill task you attempt as part of the diversion (either a Stealth check to hide or a Sleight of Hand check to palm an object). If you forgo adding your expertise die to a Bluff check to create a distraction that you attempted using the Diversion feat and succeed at your Bluff check, you add your expertise die to every Stealth check to hide that your allies attempt.</p>
70	4	Expert Forger (Ex; Computers)	3	<p>You have a database of electronic seals and predesigned templates that allow you forge an official document in a matter of moments. When you attempt a Computers check to create a forgery, as long as you have access to a computer, you can forgo your expertise die to attempt the check as a full action (rather than the normal required time of 1d4 minutes).</p>
71	4	Fast Hack (Ex; Computers)	3	<p>When you attempt a Computers check to hack into a computer system, you can forgo rolling your expertise die to instead halve the time it takes to make the attempt (to a minimum of 1 round). At 9th level, if you successfully hack the system, you can also negate a single countermeasure protecting that computer system. You cannot use this talent to negate a countermeasure from the same computer again for 24 hours.</p>
72	4	Gregarious Mien (Ex; Diplomacy)	3	<p>You can positively change a creature&rsquo;s attitude using the Diplomacy skill by one additional category (or two, for a maximum of four, if you spend the extra time) within a 24-hour period. When doing so, you must forgo your expertise die on the Diplomacy check to change the creature&rsquo;s attitude.</p>
73	4	Improvise Surgery (Ex; Medicine)	3	<p>You can improvise most basic medical instruments, allowing you to perform rudimentary surgeries without a medical kit. You can use the Medicine skill to treat deadly wounds without a basic medkit or to provide long-term care to a single patient without an advanced medkit. If you have a basic medkit, you gain a +1 insight bonus to Medicine checks to treat deadly wounds. If you have an advanced medkit, you gain a +2 insight bonus to Medicine checks to treat deadly wounds, and any temporary medical lab you establish using an advanced medkit acts in all ways as an actual medical lab. If you attempt a Medicine check that normally has its DC set by what equipment you use, you use the DC of a basic medkit, or an advanced medkit if you are 5th level or higher.</p>
74	4	Inspired Medic (Ex; Medicine)	3	<p>When you attempt a Medicine check, you can choose not to roll your expertise die until later. After you determine what the check&rsquo;s result would be, you can choose to either roll your expertise die and add it to the total or forgo the expertise die and reroll the check (see page 243). At 9th level, you can spend 1 Resolve Point to both reroll the check and add the result of your expertise die.</p>
75	4	Keen Observer (Ex; Sense Motive)	3	<p>Whenever you interact with a creature under a mental effect for at least 1 minute, the GM attempts an automatic secret Sense Motive check for you without your expertise die. On a success, you learn about the mental effect. If you specifically request a Sense Motive check to sense mental effects, you can attempt a Sense Motive check as normal, including your expertise die, in addition to this automatic check.</p>
76	4	Likely To Be Right Here (Ex; Sense Motive)	3	<p>You can use subtle cues to anticipate the location of a creature. While you are aware of a creature&rsquo;s presence (Core Rulebook 260), you can use your Sense Motive bonus to attempt Perception checks to search for that creature. Alternatively, you can forgo your expertise die to use your Sense Motive bonus to attempt Perception checks to search an area.</p>
77	4	Maneuver Expertise (Ex; Combat Expertise)	3	<p>You&rsquo;re exceptionally skilled at all manner of self-defense, allowing you to easily perform and defend against combat maneuvers. Choose one combat maneuver. When resisting this combat maneuver, you gain a bonus to KAC equal to the minimum result of your expertise die. Additionally, if you attempt an attack roll to resolve the chosen combat maneuver, you can spend 1 Resolve Point as part of the action to add your expertise die to the attack roll&rsquo;s result as an insight bonus. Once you have added this bonus to a combat maneuver attack roll, you can&rsquo;t do so again until you have regained Stamina Points following a 10-minute rest.<br />You must have the combat expertise alternate class feature to select this expertise talent. You can take this expertise talent multiple times. Its effects do not stack. Each time you take it, it applies to a different combat maneuver.</p>
78	4	Master of Disguise (Ex; Disguise)	3	<p>Whenever you attempt a Disguise check, you can forgo adding your expertise die to your skill check to reduce the total penalty you take for having altered your appearance by an amount equal to your envoy level, to a minimum penalty of 0. This penalty reduction applies only to disguises that change your appearance in the following ways: alter minor details, add major features, disguise yourself as a different race of the same creature type, or disguise yourself as a different creature type.</p>
79	4	Menacing Gaze (Ex; Intimidate)	3	<p>When you attempt an Intimidate check to demoralize foes, you can forgo your expertise die to attempt to briefly demoralize a small group as a full action. You attempt an Intimidate check against foes within 60 feet, no two of which can be more than 20 feet apart. The DC of this check is equal to the highest DC to demoralize any one of the foes. If you are successful, the targets gain the shaken condition (see page 277) for 1 round (even if your result exceeded the DC by 5 or more). Once you use this ability against a creature, it is immune to this talent for 24 hours.</p>
80	4	Miracle Worker (Ex; Medicine)	3	<p>Your high spirits and unrelenting resolve to save lives allows you to pull your patients from the brink of death, even in dire circumstances. If you succeed at a Medicine check to treat deadly wounds and exceed the DC by 5 or more, you add your Charisma modifier in addition to your Intelligence modifier to the amount of Hit Points restored. If you forgo your expertise die on a Medicine check to treat deadly wounds and exceed the DC by 5 or more, your target regains an additional 1d8 Hit Points. This increases to 3d8 at 4th level, 5d8 at 7th level, 12d8 at 10th level, 16d8 at 13th level, or 20d8 at 16th level.</p>
81	4	Rattling Presence (Ex; Intimidate)	3	<p>When you attempt an Intimidate check to demoralize an opponent, you can forgo rolling your expertise die to automatically increase the duration of the shaken condition by 1 round on a successful check. At 9th level, you instead increase the duration by 2 rounds on a success when using this talent.</p>
82	4	Reasonable Excuse (Ex; Bluff)	3	<p>You can speak with such conviction that you earn the benefit of the doubt even under outlandish circumstances. When caught in a compromising situation that clearly indicates your guilt or would initiate combat, you can attempt an immediate Bluff check before initiative is rolled to lie and absolve yourself, but you must forgo your expertise die on this check. A successful check will stop an outbreak of violence as long as you (and anyone with you) is cooperative with those you are lying to (for example, leaving a restricted area or handing over stolen property you happen to &ldquo;find&rdquo;). You cannot use this ability to escape consequences for violence and other overtly hostile actions.</p>
