id	name	effected_stat	modification	description
84	+1 attack with Sniper Weapons	null	0	null
85	+1 attack with Special Weapons	null	0	null
86	+1 damage with Advanced Melee	null	0	null
87	+1 damage with Basic Melee	null	0	null
88	+1 damage with Grenades	null	0	null
89	+1 damage with Heavy Weapons	null	0	null
90	+1 damage with Longarms	null	0	null
91	+1 damage with Small Arms	null	0	null
92	+1 damage with Sniper Weapons	null	0	null
93	+1 damage with Special Weapons	null	0	null
94	+1 dexterity	dexterity	1	null
95	+1 constitution	constitution	1	null
96	+1 charisma	charisma	1	null
97	+1 strength	strength	1	null
98	+1 wisdom	wisdom	1	null
99	+1 intelligence	intelligence	1	null
100	+1 any ability	null	0	null
101	athletics class skill	athletics	1	null
102	culture class skill	culture	1	null
103	life science class skill	life science	1	null
104	mysticism class skill	mysticism	1	null
105	physical science class skill	physical science	1	null
106	piloting class skill	piloting	1	null
107	sleight of hand class skill	sleight of hand	1	null
108	survival class skill	survival	1	null
109	+2 dexterity	dexterity	2	null
110	+2 constitution	constitution	2	null
111	+2 charisma	charisma	2	null
112	+2 strength	strength	2	null
113	+2 wisdom	wisdom	2	null
114	+2 intelligence	intelligence	2	null
115	+2 any ability	null	0	null
116	-2 dexterity	dexterity	-2	null
117	-2 constitution	constitution	-2	null
118	-2 charisma	charisma	-2	null
119	-2 strength	strength	-2	null
120	-2 wisdom	wisdom	-2	null
121	-2 intelligence	intelligence	-2	null
