name	description
Mind-Affecting	<p>A mind-affecting weapon affects only creatureswith minds; targets that are immune to mindaffectingeffects are immune to this weapon.The damage from mind-affecting weapons is normallyuntyped, in which case it is affected by the samethings that affect damage from the spell mind thrust.For example, if a creature was immune to mind thrust, itwould also be immune to untyped damage from a mindaffectingweapon.</p>
Mine	<p>A weapon with the mine special property is able to modify theammunition fired from it to delay the detonation of its ordnance.Ammunition fired from this weapon (typically a grenadeor mini-rocket) lands at the target grid intersection intact,detonating only when a creature moves into an adjacent square,or automatically detonating after 1d6+1 rounds have passed.</p>
Mire	<p>A mire weapon has a defined area (generally a radius) that ittemporarily turns into difficult terrain. Only a surface can beturned into difficult terrain (you can’t use a mire weapon tocreate difficult terrain in midair, for example), and the difficultterrain affects only the climb speed and land speed of creaturesin the area.</p>
Modal	<p>A modal weapon can be toggled to deal different types ofdamage, with the options listed in the weapon’s damageentry. The weapon can deal only one type of damage at atime; changing the weapon’s mode to deal another damagetype requires a move action. The weapon category of a modalweapon is based on the first damage type listed. If its seconddamage type causes it to be considered a different categoryof weapon when dealing that damage, that category is listedin parentheses. For example, a modal weapon in the flamecategory that deals 1d6 fire damage or 1d6 cold damage lists“modal (cryo)” to indicate that when it is used to deal colddamage, it is treated as a weapon in the cryo category.</p>
Necrotic	<p>A necrotic weapon deals cold damage infused with negative energy. Creatures immune to negative energy (such as the targets of a death ward spell) are immune to the cold damage of a necrotic weapon, and the cold damage of necrotic weapons affects only living creatures. Undead creatures targeted by a weapon with this property not only take no damage from the cold but also gain temporary Hit Points equal to the weapon’s item level. These temporary Hit Points last for 10 minutes, until expended, or until the undead gains a larger number of temporary Hit Points from a necrotic weapon. A creature can benefit from only one source of temporary Hit Points from a necrotic weapon at a time.</p>
Nonlethal	<p>This weapon deals nonlethal damage. See page 252 for more information on how nonlethal damage works.</p>
Operative	<p>An operative can use the trick attack class feature (see page 93) with a weapon that has this special property. Any character can add her Dexterity modifier rather than her Strength modifier on melee attack rolls with weapons with this special property.</p>
Penetrating	<p>A penetrating weapon is designed to punch through large objects’ outer layers, making it easier to damage them. A penetrating weapon ignores an amount of hardness equal to the weapon’s level.</p>
Polarize	<p>A weapon with the polarize special property briefly builds upa polarized charge in a target. When striking a target multipletimes with a weapon with the polarize special property in thesame round, damage from each such strike after the first isincreased by the listed amount. This resets at the beginning ofyour next turn.</p>
Polymorphic	<p>Melee weapons with thepolymorphic weapon special property are madeof a multitude of linked scales that can bereconfigured with a gesture. The wieldercan cause the scales to flatten, form severalcontiguous sharp edges, or stand uprightas a series of points. As a swift action oronce as part of a full action, a creaturewielding a polymorphic weapon can change its damagetype from bludgeoning, slashing, or piercing to another ofthose types.</p>
Powered	<p>A melee weapon with an internal battery that must be charged to function has the powered special property, which lists its capacity and usage. Unlike with a ranged weapon, the usage is for 1 minute of operation rather than per attack, though using a powered weapon for less than 1 full minute still expends 1 full usage. The number of charges expended is equal to the usage × the number of minutes the weapon is used, rounded up to the nearest minute. You can activate the power of the weapon as part of the action used to make an attack with it, and it automatically deactivates after 1 minute.<br/>As with ranged weapons, you can recharge the battery of a powered melee weapon using a generator or a recharging station, or you can purchase new batteries for it. If you try to attack with a powered weapon that’s out of charges, it functions as an improvised weapon (see page 169).</p>
Professional	<p>A professional weapon is a tool used in a specialized trade thatnevertheless has tremendous damaging potential. When usinga professional weapon, you gain a +2 insight bonus to checkswith the listed Profession skill (or to checks with similar skillsthat could reasonably use that weapon as part of the profession,subject to the GM’s discretion). If you have a number of ranksin the listed Profession skill equal to the item level, you areconsidered proficient with that weapon, even if you would notnormally be. This proficiency never counts toward prerequisitesof any kind.</p>
Punch Gun	<p>A punch gun weapon is a small ranged weapon outfitted with apressure-sensitive firing mechanism that is affixed to a glove or asimilar item. Unlike most ranged weapons, which discharge whena trigger is pulled, a punch gun fires when sufficient pressure isplaced upon its barrel. All punch gun projectile weapons have arange equal to their wielder’s natural reach. Although these areranged attacks, they do not provoke attacks of opportunity.</p>
Quick Reload	<p>You can reload this weapon as part of the same action as firing it, instead of taking a move action to reload.</p>
Radioactive	<p>A radioactive weapon contains unstable radioactivecomponents. When the wielder rolls a natural 1 on an attackroll, she is exposed to dangerous radiation and must succeedat a Fortitude save or be inflicted with radiation sickness(Core Rulebook 404). (For radioactive blast weapons, theuser must attempt a Fortitude save if any of the attacks are anatural 1). This is considered a low level of radiation. The DCsfor this save and the disease are each equal to the weapon’scritical hit DC.</p>
Reach	<p>Only melee weapons can have the reach special property. Wielding a weapon with reach gives you 10 feet of reach for attacks with that weapon. See Reach and Threatened Squares on page 255 for more information.</p>
Recall	<p>A recall weapon is keyed to a wristband or another smalldevice worn by the wearer (which does not count against themaximum of two worn magic or hybrid items). If you throw arecall weapon and your attack misses, the weapon returns toyou at the end of your turn.</p>
Reposition	<p>When you attempt a reposition combat maneuverwith this weapon, you gain a +2 bonus to your attack roll.</p>
Shape	<p>A weapon with the shape special property has a complextargeting array that allows it to target specified areas. If youmake a single attack as a full action with such a weapon, youcan exclude the listed number of squares from within thisweapon’s area of effect. This means you can avoid shooting anally in the area of a blast weapon’s effect, for example.</p>
Shells	<p>A few melee weapons can be loaded with scattergun shellsto create a powerful close-range, one-shot attack. A weaponwith the shell special property lists its capacity and usagevalue. Unlike charges for powered melee weapons, thisusage is per attack.</p>
Shield	<p>A shield weapon encapsulates the target in a short-term forcefield. This force field lasts until the start of your next turn oruntil it has absorbed the listed amount of damage, whicheveroccurs first. A force field originating from a shield weaponblocks only incoming damage; it does not interfere in any waywith the target’s weapons or attacks. You can’t use a shieldprojector to target yourself.</p>
Sniper	<p>Weapons with the sniper special property can be fired accurately at very long ranges if aimed properly. If you aim the weapon as a move action and then fire it on the same turn, use the value listed with the sniper special property as the weapon’s range increment. You can still fire a sniper weapon as normal, but it has only the range listed under its normal range entry when you do.</p>
Stun	<p>You can set a weapon with the stun special property to stun mode (or reset it to normal mode) as a move action. While in stun mode, all the weapon’s attacks are nonlethal. See page 252 for more about how nonlethal damage works.</p>
Subtle	<p>A subtle weapon fires either very small ordnance or otherwisegenerates a nearly imperceptible discharge that even thetarget may not be aware of. A target hit by a subtle weaponmust succeed at a Perception check with a DC equal to 15+ 1-1/2 the weapon’s item level or it doesn’t realize it hasbeen struck. The target notices other effects conveyed by asubtle weapon, such as an injected substance, as normal. Forexample, you might use a subtle weapon to inject a target witha poison with an onset delay; the target may not realize it hasbeen hit by the dart, but it would notice the effects of thepoison once it took effect.</p>
Sunder	<p>When you attempt a sunder combat maneuver while wielding aweapon with the sunder weapon special property, you gain a +2bonus to your attack roll.</p>
Swarm	<p>A weapon with this special property is virtually indistinguishable from Swarm technology and requires a special Swarm battery to use efficiently. The weapon can use other batteries, but usage doubles when doing so.<br/>In addition to the energy drawback, a Swarm weapon attracts the attention of nearby Swarm creatures. They can sense such a weapon as if using blindsense with a range of 30 feet. Swarm components have been observed fixating on wielders of this technology during battle, with little else to explain such a violent focus. If the Swarm wins the conflict, the surviving components destroy these weapons.</p>
Tail	<p>If you have a tail (or similar taillike appendage), you can weara weapon with the tail weapon special property on your tail,rather than wield it in your hand. Attaching or removing a tailweapon is a full action, and once it’s installed, you wield theweapon without using your hands.</p>
Teleportive	<p>This weapon’s fired ammunition teleports a shortdistance after being fired. You take only a –1 cumulative penaltywhen attacking outside the range of this weapon.</p>
Thought	<p>A thought weapon can be fully or partially controlled viatelepathy. If you have the telepathy or limited telepathyracial trait, are benefiting from a telepathy spell, are wearinga mindlink circlet, or have a similar ability, you ignore theweapon’s unwieldy weapon special property.</p>
Throttle	<p>A throttle weapon deals damage only when it is used tograpple a foe, automatically dealing damage with everysuccessful grapple combat maneuver. These are consideredattacks for abilities that can increase a weapon’s damage(such as trick attack). All throttle weapons are also grappleweapons. While a target is successfully being grappled witha throttle weapon, it cannot use its airways to speak or makevocalizations of any kind (though other forms of makingnoise work normally).</p>
Thrown	<p>Ranged weapons that must be thrown and melee weapons that can be thrown as a ranged attack have the thrown special property. You apply your Strength modifier to damage rolls for thrown attacks. After you throw a weapon, it lands near your target and you must recover it if you want to attack with it again.</p>
Trip	<p>When you attempt a trip combat maneuver while wielding a weapon with this property, you gain a +2 bonus to your attack roll.</p>
Underwater	<p>A weapon with this special property that is used underwater ignores the –2 penalty to attack rolls and deals full damage.</p>
Unwieldy	<p>Weapons with the unwieldy special property are large and awkward, can’t be fired without cooling down first, or are otherwise difficult to use with repeated attacks. You can’t use an unwieldy weapon as part of a full attack (or any other action in which you could make multiple attacks), you can’t attack with it more than once per round, and you can’t use it to make an attack of opportunity.</p>
Variant Boost	<p>A weapon with the variant boost special property acts as aweapon with the boost special property (Core Rulebook 181),except boosting the weapon does not expend additional chargesand the weapon can be boosted only the listed number of timesper day.</p>
Wide Line	<p>A wide line weapon functions as a weapon with the lineweapon special property (Core Rulebook 181), except the lineis 10 feet wide. When determining the squares that are in thepath of a line, note which squares that line would normallypass through (Core Rulebook 268), and extend the area to oneside of the line (your choice) so that the line is 2 squares wide.For an obstacle to block the path of a line, it must block theline’s full width; otherwise, the line continues (at full width)beyond the obstacle.</p>
