id	name	description	weapon_category_id	level	price	damage	damage_die_count	damage_die_type	damage_type	range	critical	capacity	usage	bulk	special	source	source_page
31	Dueling Sword, Buzzblade	<p>While dueling swords are crafted to be aesthetically pleasing and are often seen as a mark of rank or tradition, many warriors still train with them to deadly effect. The powered blades of both buzzblade and ripper dueling swords bring this danger into the modern era, while the molecular rift sword—though unpowered—uses a field of disrupted molecules along its blade to slice through nearly anything, and must be stored in a magnetic sheath that never actually touches the blade.</p>	1	8	9500	2d6 S	2	6	S	null	null	null	null	L	Powered (capacity 20, usage 1)	CRB	187
32	Spined Blade, Buzzblade	<p>Kasathas on their home world wielded spined blades to better  poison foes. Replicas of these ancient weapons can be found  in the Museum of Ancestral Technology on the Idari. Modern  warriors use refined versions of the weapon that are effective at  delivering poisons and similar substances through contemporary  armor. You apply such substances to the blade per rules found  on page 232 of the Core Rulebook. While the basic version of  the spined blade is generally analog, more advanced buzzblade,  ripper, gravity, and rivener models are powered weapons.</p>	1	8	9400	1d10 P	1	10	P	null	Injection DC +2	null	null	L	Powered (capacity 20, usage 1)	ARM	54
33	Switchblade, Ultrathin	<p>This blade looks much like a single-edged survival knife when  opened, but the blade can be folded or collapsed to fit within the  grip, making it easier to conceal. A switch on the knife means  the blade can be folded or extended as a swift action, or as part  of making an attack or full attack. Most weapon manufacturers  that offer daggers also produce switchblades, which are made in  the same models: tactical, ultrathin, zero-edge, and molecular rift.</p>	1	8	9100	2d4 S	2	4	S	null	null	null	null	L	Analog, conceal, operative	ARM	54
34	Handaxe, Sintered	<p>A balanced, wedge-shaped blade affixed to a lightweight haft,  a handaxe can be wielded in melee or thrown. The flexibility of  handaxes makes them a favorite of explorers of all types, and the  basic handaxe is a common tool that can be used as a weapon.  A tactical handaxe is made of a stronger, lightweight alloy, while  the sintered handaxe uses a denser ceramic material for added  heft and a much keener edge. An ultrathin handaxe has a blade so  thin it can’t be seen clearly, while the molecular rift handaxe has a  blade narrow enough to slice between molecules. Most handaxes  have blade covers to prevent accidental injury to the wielder.</p>	1	9	12500	2d6 S	2	6	S	null	null	null	null	L	Analog, thrown (30 ft.)	ARM	52
35	Incapacitator	<p>When this nonreflective, dark-gray baton connects with a target, it discharges an electrical pulse that can stagger its victim. </p>	1	9	14200	3d4 B	3	4	B	null	Staggered	null	null	L	Nonlethal, operative, powered (capacity 20, usage 2)	CRB	185
36	Syringe Stick, Hyper-Pointed	<p>This weapon is a lightweight, handheld  auto-injector device designed to  quickly inject drugs, poison, and  similar substance into a creature when  pressed against its body. A syringe stick’s  patented spring-loaded design features  a sturdy needle able to punch through the  toughest armor, chitin, and hide. Despite its  deadliness, it is difficult to discern a syringe stick from a  medicinal auto-injector.</p>	1	9	12000	2d4 P	2	4	P	null	Injection DC +2	null	null	L	Conceal, injection, operative	COM	124
37	Battleglove, Power	<p>Battlegloves are popular, economical choices for mercenaries and guards. These durable nylon-web or para-aramid gloves hold a weighted plate over the wearer’s knuckles. You can hold other objects or weapons in a hand wearing a glove, but you can’t use the glove to make attacks while doing so.</p>	1	10	16100	2d8 B	2	8	B	null	null	null	null	L	Powered (capacity 20, usage 1)	CRB	187
38	Dueling Sword, Officer	<p>The dueling swords of the Corpse Fleet are earned based on ascension through the ranks. The reanimated ranks of the converted earn their swords through tallied kill counts, while officers receive their blades as part of the transition to the rank of commander. The blades of Corpse Fleet admirals are some of the keenest weapons in the known galaxy, despite being mostly employed as holdout weapons.</p>	1	10	18795	3d4 S	3	4	S	null	null	null	null	L	Analog	DS03	48
39	Polyclub, Advanced	<p>Weaponized polyfluid applications are just  beginning to be explored. Polyfluid’s  plasticity has already been applied to  some melee weapons, resulting in the  polymorphic weapon special property.</p>	1	10	17400	2d6 B	2	6	B	null	null	null	null	L	Analog, operative, polymorphic	DF03	44
40	Retractable Spike, Advanced	<p>These keen-edged spikes are installed in an armor upgrade  slot rather than held, stored in a surface slot in armor or an  android’s body until extended. You can extend the spike as a  move action and retract the spike as a swift action. Such a spike  usually extends from the elbow, foot, knee, or wrist, but a spike  can be fitted into a helmet or an android’s head for use in headbutting  or goring foes. Retractable spikes are widely available  throughout the Pact Worlds, with the various models—tactical,  advanced, elite, and paragon—having individual rarity based on  the credit outlay to acquire a given model.</p>	1	10	18400	3d4 P	3	4	P	null	null	null	null	L	Conceal, integrated (1 slot), operative	ARM	53
41	Sword Cane, Zero-Edge	<p>This thin blade comes with a scabbard that makes it resemble a stylish cane. Sword canes are popular on Absalom Station, where similar nonweapon items have some popularity as fashionable affectations. A sword cane can incorporate one of the following at the standard price for that item: 20 feet of retractable cable line, a personal comm unit, or a spotlight. A successful Perception check (DC = 15 + the weapon’s item level) is required to identify a sword cane as a weapon when it is sheathed.</p>	1	10	18000	2d6 P	2	6	P	null	Bleed 1d6	null	null	L	Analog, operative	PWD	194
42	Dueling Sword, Ultrathin	<p>While dueling swords are crafted to be aesthetically pleasing and are often seen as a mark of rank or tradition, many warriors still train with them to deadly effect. The powered blades of both buzzblade and ripper dueling swords bring this danger into the modern era, while the molecular rift sword—though unpowered—uses a field of disrupted molecules along its blade to slice through nearly anything, and must be stored in a magnetic sheath that never actually touches the blade.</p>	1	11	26000	3d6 S	3	6	S	null	null	null	null	L	Analog	CRB	187
43	Sap, Heavy	<p>A weapon dating back to antiquity, a sap is shaped like a large,  flat spoon with a heavily weighted end. Archaeological digs have  verified that almost every society develops an analog to the sap.  Modern versions are constructed from high-tech fiber and dense  alloys. Although sap models are referred to as light, medium, and  heavy by users, it’s the rare materials used in various models, and  not their actual weight, that make them progressively better at  bludgeoning victims into unconsciousness.</p>	1	11	23100	2d8 B	2	8	B	null	null	null	null	L	Analog, nonlethal, operative	ARM	53
44	Spined Blade, Ripper	<p>Kasathas on their home world wielded spined blades to better  poison foes. Replicas of these ancient weapons can be found  in the Museum of Ancestral Technology on the Idari. Modern  warriors use refined versions of the weapon that are effective at  delivering poisons and similar substances through contemporary  armor. You apply such substances to the blade per rules found  on page 232 of the Core Rulebook. While the basic version of  the spined blade is generally analog, more advanced buzzblade,  ripper, gravity, and rivener models are powered weapons.</p>	1	11	24500	2d10 P	2	10	P	null	Injection DC +2	null	null	L	Powered (capacity 20, usage 1)	ARM	54
45	Bone Cestus, Imposing	<p>Centuries ago, some kasathas crafted simple weapons out of crest-eaters’ bony protrusions; these formidable gauntlets were badges of honor for the mightiest kasathan warriors, and modern artisans have recreated that aesthetic in the form of bone cestuses, though now they are usually formed of state-of-the-art resin instead of crest-eater bone. Due to the flecks of minerals embedded within, bone cestuses are often warm to the touch, especially after they have been exposed to natural sunlight. These basic one-handed melee weapons are capable of punching through a foe’s defenses, sometimes puncturing vital organs in the process.</p>	1	12	32000	3d6 P	3	6	P	null	Bleed 2d6	null	null	L	Analog	AA1	31
46	Dagger, Ultrathin	<p>The thinness and lightness of daggers make them easy to carry or conceal. Ultrathin daggers have sharp, double-edged blades. Zero-edge daggers have blades—crafted with quantum technology—that are so fine, their edges blur. The blade of a molecular rift dagger looks translucent, as if it’s made of glass, and its vibrating particles allow the dagger to slice through almost any substance. Most daggers are available with fixed, folding, or retractable blades.</p>	1	12	32800	4d4 S	4	4	S	null	null	null	null	L	Analog, operative	CRB	184
47	Shell Knuckles, Advanced	<p>This bulky glove fits over the user’s hand, with reinforced plates  covering the knuckles. When the weapon connects with a target,  the kinetic force fires scattergun shells into the target and  deal impressive bludgeoning damage. Mercenaries favor these  weapons for fighting at close quarters, and pirates sometimes use  them to make their punches all the more dramatic. Shell knuckles  are available in tactical, advanced, elite, and paragon models.</p>	1	12	32500	4d8 B	4	8	B	null	null	null	null	L	Analog, shells (2, usage 2)	ARM	53
48	Battleglove, Nova	<p>Battlegloves are popular, economical choices for mercenaries and guards. These durable nylon-web or para-aramid gloves hold a weighted plate over the wearer’s knuckles. You can hold other objects or weapons in a hand wearing a glove, but you can’t use the glove to make attacks while doing so.</p>	1	13	52500	3d10 B	3	10	B	null	null	null	null	L	Powered (capacity 20, usage 1)	CRB	187
49	Switchblade, Zero-Edge	<p>This blade looks much like a single-edged survival knife when  opened, but the blade can be folded or collapsed to fit within the  grip, making it easier to conceal. A switch on the knife means  the blade can be folded or extended as a swift action, or as part  of making an attack or full attack. Most weapon manufacturers  that offer daggers also produce switchblades, which are made in  the same models: tactical, ultrathin, zero-edge, and molecular rift.</p>	1	13	48600	5d4 S	5	4	S	null	null	null	null	L	Analog, conceal, operative	ARM	54
50	Sword Cane, Molecular Rift	<p>This thin blade comes with a scabbard that makes it resemble a stylish cane. Sword canes are popular on Absalom Station, where similar nonweapon items have some popularity as fashionable affectations. A sword cane can incorporate one of the following at the standard price for that item: 20 feet of retractable cable line, a personal comm unit, or a spotlight. A successful Perception check (DC = 15 + the weapon’s item level) is required to identify a sword cane as a weapon when it is sheathed.</p>	1	13	50900	3d8 P	3	8	P	null	Bleed 1d8	null	null	L	Analog, operative	PWD	194
51	Syringe Stick, Ultra-Pointed	<p>This weapon is a lightweight, handheld  auto-injector device designed to  quickly inject drugs, poison, and  similar substance into a creature when  pressed against its body. A syringe stick’s  patented spring-loaded design features  a sturdy needle able to punch through the  toughest armor, chitin, and hide. Despite its  deadliness, it is difficult to discern a syringe stick from a  medicinal auto-injector.</p>	1	13	46000	5d4 P	5	4	P	null	Injection DC +2	null	null	L	Conceal, injection, operative	COM	124
52	Dagger, Zero-Edge	<p>The thinness and lightness of daggers make them easy to carry or conceal. Ultrathin daggers have sharp, double-edged blades. Zero-edge daggers have blades—crafted with quantum technology—that are so fine, their edges blur. The blade of a molecular rift dagger looks translucent, as if it’s made of glass, and its vibrating particles allow the dagger to slice through almost any substance. Most daggers are available with fixed, folding, or retractable blades.</p>	1	14	64400	6d4 S	6	4	S	null	null	null	null	L	Analog, operative	CRB	184
53	Handaxe, Ultrathin	<p>A balanced, wedge-shaped blade affixed to a lightweight haft,  a handaxe can be wielded in melee or thrown. The flexibility of  handaxes makes them a favorite of explorers of all types, and the  basic handaxe is a common tool that can be used as a weapon.  A tactical handaxe is made of a stronger, lightweight alloy, while  the sintered handaxe uses a denser ceramic material for added  heft and a much keener edge. An ultrathin handaxe has a blade so  thin it can’t be seen clearly, while the molecular rift handaxe has a  blade narrow enough to slice between molecules. Most handaxes  have blade covers to prevent accidental injury to the wielder.</p>	1	14	66800	6d6 S	6	6	S	null	null	null	null	L	Analog, thrown (30 ft.)	ARM	52
54	Polyclub, Elite	<p>Weaponized polyfluid applications are just  beginning to be explored. Polyfluid’s  plasticity has already been applied to  some melee weapons, resulting in the  polymorphic weapon special property.</p>	1	14	65000	4d6 B	4	6	B	null	null	null	null	L	Analog, operative, polymorphic	DF03	44
55	Spined Blade, Gravity	<p>Kasathas on their home world wielded spined blades to better  poison foes. Replicas of these ancient weapons can be found  in the Museum of Ancestral Technology on the Idari. Modern  warriors use refined versions of the weapon that are effective at  delivering poisons and similar substances through contemporary  armor. You apply such substances to the blade per rules found  on page 232 of the Core Rulebook. While the basic version of  the spined blade is generally analog, more advanced buzzblade,  ripper, gravity, and rivener models are powered weapons.</p>	1	14	62400	4d10 P	4	10	P	null	Injection DC +2	null	null	L	Powered (capacity 40, usage 2)	ARM	54
56	Dueling Sword, Ripper	<p>While dueling swords are crafted to be aesthetically pleasing and are often seen as a mark of rank or tradition, many warriors still train with them to deadly effect. The powered blades of both buzzblade and ripper dueling swords bring this danger into the modern era, while the molecular rift sword—though unpowered—uses a field of disrupted molecules along its blade to slice through nearly anything, and must be stored in a magnetic sheath that never actually touches the blade.</p>	1	15	109250	7d6 S	7	6	S	null	null	null	null	L	Powered (capacity 20, usage 1)	CRB	187
57	Retractable Spike, Elite	<p>These keen-edged spikes are installed in an armor upgrade  slot rather than held, stored in a surface slot in armor or an  android’s body until extended. You can extend the spike as a  move action and retract the spike as a swift action. Such a spike  usually extends from the elbow, foot, knee, or wrist, but a spike  can be fitted into a helmet or an android’s head for use in headbutting  or goring foes. Retractable spikes are widely available  throughout the Pact Worlds, with the various models—tactical,  advanced, elite, and paragon—having individual rarity based on  the credit outlay to acquire a given model.</p>	1	15	119000	7d4 P	7	4	P	null	null	null	null	L	Conceal, integrated (1 slot), operative	ARM	53
58	Peacemaker	<p>This more advanced combat baton, known as a peacemaker, is a light metal rod that discharges a pulse that can be strong enough to knock a target to the ground.</p>	1	16	185300	6d6 B	6	6	B	null	Knockdown	null	null	L	Operative, powered (capacity 20, usage 2), stun	CRB	185
59	Shell Knuckles, Elite	<p>This bulky glove fits over the user’s hand, with reinforced plates  covering the knuckles. When the weapon connects with a target,  the kinetic force fires scattergun shells into the target and  deal impressive bludgeoning damage. Mercenaries favor these  weapons for fighting at close quarters, and pirates sometimes use  them to make their punches all the more dramatic. Shell knuckles  are available in tactical, advanced, elite, and paragon models.</p>	1	16	151000	10d8 B	10	8	B	null	null	null	null	L	Analog, shells (3, usage 3)	ARM	53
60	Sword Cane, Dimensional Slice	<p>This thin blade comes with a scabbard that makes it resemble a stylish cane. Sword canes are popular on Absalom Station, where similar nonweapon items have some popularity as fashionable affectations. A sword cane can incorporate one of the following at the standard price for that item: 20 feet of retractable cable line, a personal comm unit, or a spotlight. A successful Perception check (DC = 15 + the weapon’s item level) is required to identify a sword cane as a weapon when it is sheathed.</p>	1	16	160000	5d8 P	5	8	P	null	Bleed 2d6	null	null	L	Analog, operative	PWD	194
61	Battleglove, Gravity	<p>Battlegloves are popular, economical choices for mercenaries and guards. These durable nylon-web or para-aramid gloves hold a weighted plate over the wearer’s knuckles. You can hold other objects or weapons in a hand wearing a glove, but you can’t use the glove to make attacks while doing so.</p>	1	17	214850	5d10 B	5	10	B	null	null	null	null	L	Powered (capacity 20, usage 1)	CRB	187
62	Bone Cestus, Severe	<p>Centuries ago, some kasathas crafted simple weapons out of crest-eaters’ bony protrusions; these formidable gauntlets were badges of honor for the mightiest kasathan warriors, and modern artisans have recreated that aesthetic in the form of bone cestuses, though now they are usually formed of state-of-the-art resin instead of crest-eater bone. Due to the flecks of minerals embedded within, bone cestuses are often warm to the touch, especially after they have been exposed to natural sunlight. These basic one-handed melee weapons are capable of punching through a foe’s defenses, sometimes puncturing vital organs in the process.</p>	1	17	230000	8d6 P	8	6	P	null	Bleed 5d6	null	null	L	Analog	AA1	31
63	Dagger, Molecular Rift	<p>The thinness and lightness of daggers make them easy to carry or conceal. Ultrathin daggers have sharp, double-edged blades. Zero-edge daggers have blades—crafted with quantum technology—that are so fine, their edges blur. The blade of a molecular rift dagger looks translucent, as if it’s made of glass, and its vibrating particles allow the dagger to slice through almost any substance. Most daggers are available with fixed, folding, or retractable blades.</p>	1	17	275000	10d4 S	10	4	S	null	null	null	null	L	Analog, operative	CRB	184
