id	name	description	level	price	capacity	bulk	special	source	source_page
26	Explosive Rounds, Heavy	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	3	180	20	L	Fiery	ARM	55
27	Explosive Mini-Rockets	<p>Explosive ammo is used with projectile weapons and is available for most projectile weapons and other weapons that fire arrows and darts, as noted on Table 1&ndash;8. A weapon firing explosive ammo deals its normal amount of damage, but half of this damage is fire damage and grants the weapon the knockdown critical hit effect. If the weapon already has a critical hit effect, the knockdown critical hit effect is added and considered part of the weapon&rsquo;s normal critical hit effect. If the weapon normally already has the knockdown critical hit effect, it instead gains the push (5 feet) critical hit effect in addition to knockdown, and this considered part of the weapon&rsquo;s normal critical hit effect.</p>	5	450	10	L	Fiery	ARM	55
28	Grenade Arrow I	<p>The explosive tip of the arrow detonates on impact. A grenade arrow can be made using any handheld grenade. The miniaturized technology incorporated into the arrow increases its price substantially over an equivalent grenade.</p>	6	875	1	null	As any 1st-level grenade	CRB	190
29	Phasing I Longarm And Sniper Rounds	<p>This ammunition is tipped with quantum-variable molecules, allowing it to phase through many materials prior to impacting with its target. If you take a move action to aim and then fire on the same turn a weapon with phasing ammo (including doing so with a sniper weapon), the attack ignores any cover the target has with a hardness equal to given value or less (hardness 10 for 7th-level rounds, hardness 20 for 14th-level rounds). The rounds literally bypass the cover, doing no damage to it.</p>	7	820	25	L	null	ARM	55
30	Grenade Arrow II	<p>The explosive tip of the arrow detonates on impact. A grenade arrow can be made using any handheld grenade. The miniaturized technology incorporated into the arrow increases its price substantially over an equivalent grenade.</p>	10	5450	1	null	As any 5th- or lower-level grenade	CRB	190
31	Tactical Missile	<p>Explosives have the explode special property, which lists the amount of damage the explosion deals, the damage type, special effects (with a duration, if necessary), and the radius of the explosion. When you attack with this type of weapon or ammunition, aim at a grid intersection. Each creature within the blast radius takes the listed damage but can attempt a Reflex saving throw for half damage. If the explode special property has any special effects other than damage, they are negated with a successful saving throw. Some exploding weapons, such as smoke grenades, don&rsquo;t deal damage, so they don&rsquo;t include the damage and damage type entries.</p>	10	5700	1	1	Explode 6d8 B & P (30 ft.)	CRB	190
32	Plasma Missile, Ionized	<p>Compatible with any weapon that can use missiles as ammunition, plasma missiles deal additional damage beyond even their analog counterparts, and come with an increased price tag to match. Ionized plasma missiles are the most common, while stellar plasma missiles and HED (high energy density) plasma missiles deal increased amounts of damage.</p>	11	6700	1	1	8d8 E & F	ARM	55
33	Arrows, Diamond-Edge	<p>For those who want to deal greater damage with a bow but don&rsquo;t want the noise and collateral damage of grenade arrows, conventional arrows are available with technological improvements to deal additional damage, including diamond-edge and molecular rift arrows. When used as ammunition for weapons other than the 1st-level bow (such as crossbolters), these arrows don&rsquo;t increase damage, but diamond-edge arrows gain the wound critical hit effect and molecular rift arrows gain the severe wound critical hit effect. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the effect granted by the arrow.</p>	12	5200	20	L	4d6 P	ARM	55
34	Advanced Missile	<p>Missiles are heavy, snub-nosed munitions with devastating explosive power. A missile&rsquo;s damage when fired from a missile launcher (such as an IMDS missile launcher) is listed in its entry in Table.</p>	13	14600	1	1	13d8 B & F	CRB	190
35	Phasing II Longarm And Sniper Rounds	<p>This ammunition is tipped with quantum-variable molecules, allowing it to phase through many materials prior to impacting with its target. If you take a move action to aim and then fire on the same turn a weapon with phasing ammo (including doing so with a sniper weapon), the attack ignores any cover the target has with a hardness equal to given value or less (hardness 10 for 7th-level rounds, hardness 20 for 14th-level rounds). The rounds literally bypass the cover, doing no damage to it.</p>	14	9420	25	L	null	ARM	55
36	Grenade Arrow III	<p>The explosive tip of the arrow detonates on impact. A grenade arrow can be made using any handheld grenade. The miniaturized technology incorporated into the arrow increases its price substantially over an equivalent grenade.</p>	15	32050	1	null	As any 10th- or lower-level grenade	CRB	190
37	Plasma Missile, Stellar	<p>Compatible with any weapon that can use missiles as ammunition, plasma missiles deal additional damage beyond even their analog counterparts, and come with an increased price tag to match. Ionized plasma missiles are the most common, while stellar plasma missiles and HED (high energy density) plasma missiles deal increased amounts of damage.</p>	16	53200	1	1	12d10 E & F	ARM	55
38	Arrows, Molecular Rift	<p>For those who want to deal greater damage with a bow but don&rsquo;t want the noise and collateral damage of grenade arrows, conventional arrows are available with technological improvements to deal additional damage, including diamond-edge and molecular rift arrows. When used as ammunition for weapons other than the 1st-level bow (such as crossbolters), these arrows don&rsquo;t increase damage, but diamond-edge arrows gain the wound critical hit effect and molecular rift arrows gain the severe wound critical hit effect. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the effect granted by the arrow.</p>	18	53700	20	L	10d6 P	ARM	55
39	Plasma Missile, HED	<p>Compatible with any weapon that can use missiles as ammunition, plasma missiles deal additional damage beyond even their analog counterparts, and come with an increased price tag to match. Ionized plasma missiles are the most common, while stellar plasma missiles and HED (high energy density) plasma missiles deal increased amounts of damage.</p>	19	175000	1	1	17d12 E & F	ARM	55
40	Grenade Arrow IV	<p>The explosive tip of the arrow detonates on impact. A grenade arrow can be made using any handheld grenade. The miniaturized technology incorporated into the arrow increases its price substantially over an equivalent grenade.</p>	20	245000	1	null	As any 15th- or lower-level grenade	CRB	190
