id	name	type	description	level	price	system	source	source_page
11	Antimagic skin, mk 6	Magitech	<p><table> <tr><th>MODEL</th><th>SPELL RESISTANCE</th></tr> <tr><td>Mk 1</td><td>20</td></tr> <tr><td>Mk 2</td><td>22</td></tr> <tr><td>Mk 3</td><td>24</td></tr> <tr><td>Mk 4</td><td>26</td></tr> <tr><td>Mk 5</td><td>28</td></tr> <tr><td>Mk 6</td><td>30</td></tr> </table> Your skin is infused with alchemical components extracted from fey, hags, and other highly magic-resistant creatures. As a move action, you can gain spell resistance according to your model of antimagic skin for 1 minute. You can also gain this spell resistance as a reaction, but you then can’t take a move action on your next turn. Once you use your antimagic skin, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any time to recharge it immediately.</p>	20	891000	Skin	ARM	90
12	Antitoxin Membrane	Cybernetics	<p>An antitoxin membrane consists of a colony of nanobots that operate on the molecular level to counter certain toxins. An antitoxin membrane provides a +4 circumstance bonus to saving throws against contact and injury diseases and poisons.</p>	5	3000	Skin	AA1	11
13	Arcane lenses	Magitech	<p>Psychically active crystals replace the lenses of your eyes. You gain arcane sight, per the spell, as a continuous ability.</p>	11	25900	Eyes	ARM	90
14	Artificial Third Eye	Cybernetics	<p>This crystalline nanocarbon node is implanted into your occipital lobe and connected to your optic nerves with a series of microscopic fibers. You can activate and deactivate your artificial third eye with a move action. When activated, an artificial third eye collects X-ray data and relays the information gathered directly to your eyes. You gain sense through (vision) with a range of 30 feet, though your vision is limited to black-and-white. The amount of visual information you receive when your artificial third eye is active can be distracting, imposing a –4 penalty on initiative checks.</p>	10	18000	Brain and Eyes	SS2	45
15	Artificial Third Eye	Cybernetics	<p>This crystalline nanocarbon node is implanted into your occipital lobe and connected to your optic nerves with a series of microscopic fibers. You can activate and deactivate your artificial third eye with a move action. When activated, an artificial third eye collects X-ray data and relays the information gathered directly to your eyes. You gain sense through (vision) with a range of 30 feet, though your vision is limited to black-and-white. The amount of visual information you receive when your artificial third eye is active can be distracting, imposing a –4 penalty on initiative checks.</p>	10	18000	Brain and Eyes	SS2	45
16	Backup Lobe	Biotech	<p>You install a secondary lobe in your brain that can shore up your mental faculties when your mind is compromised. At the beginning of your turn, you can spend 1 Resolve Point (this doesn’t require an action) to ignore one of the following conditions until the beginning of your next turn: confused, frightened, or shaken. Alternatively, at the beginning of your turn, you can spend 2 Resolve Points (this doesn’t require an action) to ignore one of the following conditions until the beginning of your next turn: cowering, dazed, panicked, or stunned. If you spend any Resolve Points in this fashion, you are staggered until the beginning of your next turn. The condition still functions normally for the purposes of duration and removing it.</p>	11	23400	Brain	ARM	86
17	Bionic Knees	Cybernetics	<p>Complex actuators and servos are installed in your knees, giving you the power to make impressive leaps. You always count as having a running start when attempting Athletics checks to jump. In addition, you don’t fall prone if you fail an Athletics check to jump by 5 or more. Finally, the damage you take from the first 10 feet of a fall is converted into nonlethal damage, even if you aren’t falling onto a yielding surface.</p>	5	2750	All Legs	SS2	45
18	Biosynthetic nanites, mk 1	Cybernetics	<p><table> <tr><th>Model</th><th>Level</th><th>Price</th><th>Treat Wounds</th><th>Fast Healing</th></tr> <tr><td>Mk 1</td><td>6</td><td>4,450</td><td>2d8 Hit Points</td><td>2</td></tr> <tr><td>Mk 2</td><td>9</td><td>13,700</td><td>3d8 Hit Points</td><td>3</td></tr> <tr><td>Mk 3</td><td>13</td><td>50,900</td><td>6d8 Hit Points</td><td>6</td></tr> </table> Once injected into the body, these nanites congregate just under the epidermis and can quickly replicate to heal bodily injuries. This augmentation allows you to spend 1 Resolve Point as a swift action to activate the nanites’ treat wounds capability, instantly regaining a number of Hit Points depending on the model of biosynthetic nanites you have installed. In addition, once per day as a full action as long as you have Resolve Points remaining, you can overcharge the nanites to gain an amount of fast healing depending on the model of biosynthetic nanites you have installed for 1 minute. If you do so, you can’t activate the treat wounds capability of the augmentation until the next time you rest for 10 minutes to regain Stamina Points.</p>	6	4450	Skin	SS2	45
19	Biosynthetic nanites, mk 2	Cybernetics	<p><table> <tr><th>Model</th><th>Level</th><th>Price</th><th>Treat Wounds</th><th>Fast Healing</th></tr> <tr><td>Mk 1</td><td>6</td><td>4,450</td><td>2d8 Hit Points</td><td>2</td></tr> <tr><td>Mk 2</td><td>9</td><td>13,700</td><td>3d8 Hit Points</td><td>3</td></tr> <tr><td>Mk 3</td><td>13</td><td>50,900</td><td>6d8 Hit Points</td><td>6</td></tr> </table> Once injected into the body, these nanites congregate just under the epidermis and can quickly replicate to heal bodily injuries. This augmentation allows you to spend 1 Resolve Point as a swift action to activate the nanites’ treat wounds capability, instantly regaining a number of Hit Points depending on the model of biosynthetic nanites you have installed. In addition, once per day as a full action as long as you have Resolve Points remaining, you can overcharge the nanites to gain an amount of fast healing depending on the model of biosynthetic nanites you have installed for 1 minute. If you do so, you can’t activate the treat wounds capability of the augmentation until the next time you rest for 10 minutes to regain Stamina Points.</p>	9	13700	Skin	SS2	45
20	Biosynthetic nanites, mk 3	Cybernetics	<p><table> <tr><th>Model</th><th>Level</th><th>Price</th><th>Treat Wounds</th><th>Fast Healing</th></tr> <tr><td>Mk 1</td><td>6</td><td>4,450</td><td>2d8 Hit Points</td><td>2</td></tr> <tr><td>Mk 2</td><td>9</td><td>13,700</td><td>3d8 Hit Points</td><td>3</td></tr> <tr><td>Mk 3</td><td>13</td><td>50,900</td><td>6d8 Hit Points</td><td>6</td></tr> </table> Once injected into the body, these nanites congregate just under the epidermis and can quickly replicate to heal bodily injuries. This augmentation allows you to spend 1 Resolve Point as a swift action to activate the nanites’ treat wounds capability, instantly regaining a number of Hit Points depending on the model of biosynthetic nanites you have installed. In addition, once per day as a full action as long as you have Resolve Points remaining, you can overcharge the nanites to gain an amount of fast healing depending on the model of biosynthetic nanites you have installed for 1 minute. If you do so, you can’t activate the treat wounds capability of the augmentation until the next time you rest for 10 minutes to regain Stamina Points.</p>	13	50900	Skin	SS2	45
21	Black Heart, Mk 1	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	1	200	Heart or Lungs	DS03	42
22	Black Heart, Mk 1	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	1	200	Heart or Lungs	DS03	42
23	Black Heart, Mk 2	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	6	4000	Heart or Lungs	DS03	42
24	Black Heart, Mk 2	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	6	4000	Heart or Lungs	DS03	42
25	Black Heart, Mk 3	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	12	30000	Heart or Lungs	DS03	42
26	Black Heart, Mk 3	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	12	30000	Heart or Lungs	DS03	42
27	Black Heart, Mk 4	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	18	350000	Heart or Lungs	DS03	42
28	Black Heart, Mk 4	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	18	350000	Heart or Lungs	DS03	42
29	Black Heart, Mk 5	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	20	775000	Heart or Lungs	DS03	42
30	Black Heart, Mk 5	Necrograft	<p>Despite its name, a black heart can augment any major circulatory organ that helps sustain life in a living creature, though it most commonly augments a heart. A black heart is a strip of necromancy-infused undead flesh that turns whatever organ it is attached to a deep shade of ebony.<br/>A creature with a black heart gains the benefits of the environmental protections of armor (see page 196 of the Starfinder Core Rulebook), which last for a number of days equal to double the necrograft’s item level. A black heart automatically recharges 1 hour of this duration for each hour this ability is not in use (up to its normal maximum). Additionally, the recipient gains an enhancement bonus to saving throws against death effects, disease, mind-affecting effects, paralysis, poison, sleep effects, and stunning effects equal to the necrograft’s mark, unless the effect specifies it functions against undead.</p>	20	775000	Heart or Lungs	DS03	42
31	Bone Blade, Mk 1	Necrograft	<p><table> <tr><th colspan="4">DAMAGE</th></tr> <tr><th>MODEL</th><th>STANDARD</th><th>HEAVY</th><th>CRITICAL</th></tr> <tr><td>Mk 1</td><td>1d4 S</td><td>2d4 S</td><td>Staggered</td></tr> <tr><td>Mk 2</td><td>1d8 S</td><td>2d8 S</td><td>Staggered</td></tr> <tr><td>Mk 3</td><td>2d8 S</td><td>4d8 S</td><td>Stunned</td></tr> <tr><td>Mk 4</td><td>5d8 S</td><td>7d8 S</td><td>Stunned</td></tr> <tr><td>Mk 5</td><td>5d10 S</td><td>7d10 S</td><td>Stunned</td></tr> </table> Bone blades are weapons built into undead arms that are then grafted onto their recipients. The blade can be retracted into the limb (making it impossible to notice without a careful inspection, scan, spell, or similar ability) or extended from the wrist for combat. Extending or retracting a bone blade is a swift action, and the recipient can’t use the hand of the associated arm to hold anything or perform fine manipulation when the blade is extended. A bone blade cannot be disarmed, but it can be sundered. When a bone blade’s recipient regains Hit Points (whether through first aid, magic, or natural healing), the blade regains the same number of Hit Points. If destroyed, the bone blade regrows in 24 hours.<br/>Standard bone blades are one-handed simple melee weapons with the operative weapon special property. It is possible to have a more complex heavy bone blade installed, which changes the bone blade into a one-handed advanced melee weapon. These heavy bone blades are not operative weapons, but they deal more damage (see the table above). There is no difference in cost between standard and heavy bone blades, but the decision between them must be made when the bone blade is installed and cannot be changed.</p>	1	200	Arm	DS03	42
32	Bone Blade, Mk 2	Necrograft	<p><table> <tr><th colspan="4">DAMAGE</th></tr> <tr><th>MODEL</th><th>STANDARD</th><th>HEAVY</th><th>CRITICAL</th></tr> <tr><td>Mk 1</td><td>1d4 S</td><td>2d4 S</td><td>Staggered</td></tr> <tr><td>Mk 2</td><td>1d8 S</td><td>2d8 S</td><td>Staggered</td></tr> <tr><td>Mk 3</td><td>2d8 S</td><td>4d8 S</td><td>Stunned</td></tr> <tr><td>Mk 4</td><td>5d8 S</td><td>7d8 S</td><td>Stunned</td></tr> <tr><td>Mk 5</td><td>5d10 S</td><td>7d10 S</td><td>Stunned</td></tr> </table> Bone blades are weapons built into undead arms that are then grafted onto their recipients. The blade can be retracted into the limb (making it impossible to notice without a careful inspection, scan, spell, or similar ability) or extended from the wrist for combat. Extending or retracting a bone blade is a swift action, and the recipient can’t use the hand of the associated arm to hold anything or perform fine manipulation when the blade is extended. A bone blade cannot be disarmed, but it can be sundered. When a bone blade’s recipient regains Hit Points (whether through first aid, magic, or natural healing), the blade regains the same number of Hit Points. If destroyed, the bone blade regrows in 24 hours.<br/>Standard bone blades are one-handed simple melee weapons with the operative weapon special property. It is possible to have a more complex heavy bone blade installed, which changes the bone blade into a one-handed advanced melee weapon. These heavy bone blades are not operative weapons, but they deal more damage (see the table above). There is no difference in cost between standard and heavy bone blades, but the decision between them must be made when the bone blade is installed and cannot be changed.</p>	6	4000	Arm	DS03	42
33	Bone Blade, Mk 3	Necrograft	<p><table> <tr><th colspan="4">DAMAGE</th></tr> <tr><th>MODEL</th><th>STANDARD</th><th>HEAVY</th><th>CRITICAL</th></tr> <tr><td>Mk 1</td><td>1d4 S</td><td>2d4 S</td><td>Staggered</td></tr> <tr><td>Mk 2</td><td>1d8 S</td><td>2d8 S</td><td>Staggered</td></tr> <tr><td>Mk 3</td><td>2d8 S</td><td>4d8 S</td><td>Stunned</td></tr> <tr><td>Mk 4</td><td>5d8 S</td><td>7d8 S</td><td>Stunned</td></tr> <tr><td>Mk 5</td><td>5d10 S</td><td>7d10 S</td><td>Stunned</td></tr> </table> Bone blades are weapons built into undead arms that are then grafted onto their recipients. The blade can be retracted into the limb (making it impossible to notice without a careful inspection, scan, spell, or similar ability) or extended from the wrist for combat. Extending or retracting a bone blade is a swift action, and the recipient can’t use the hand of the associated arm to hold anything or perform fine manipulation when the blade is extended. A bone blade cannot be disarmed, but it can be sundered. When a bone blade’s recipient regains Hit Points (whether through first aid, magic, or natural healing), the blade regains the same number of Hit Points. If destroyed, the bone blade regrows in 24 hours.<br/>Standard bone blades are one-handed simple melee weapons with the operative weapon special property. It is possible to have a more complex heavy bone blade installed, which changes the bone blade into a one-handed advanced melee weapon. These heavy bone blades are not operative weapons, but they deal more damage (see the table above). There is no difference in cost between standard and heavy bone blades, but the decision between them must be made when the bone blade is installed and cannot be changed.</p>	12	30000	Arm	DS03	42
34	Bone Blade, Mk 4	Necrograft	<p><table> <tr><th colspan="4">DAMAGE</th></tr> <tr><th>MODEL</th><th>STANDARD</th><th>HEAVY</th><th>CRITICAL</th></tr> <tr><td>Mk 1</td><td>1d4 S</td><td>2d4 S</td><td>Staggered</td></tr> <tr><td>Mk 2</td><td>1d8 S</td><td>2d8 S</td><td>Staggered</td></tr> <tr><td>Mk 3</td><td>2d8 S</td><td>4d8 S</td><td>Stunned</td></tr> <tr><td>Mk 4</td><td>5d8 S</td><td>7d8 S</td><td>Stunned</td></tr> <tr><td>Mk 5</td><td>5d10 S</td><td>7d10 S</td><td>Stunned</td></tr> </table> Bone blades are weapons built into undead arms that are then grafted onto their recipients. The blade can be retracted into the limb (making it impossible to notice without a careful inspection, scan, spell, or similar ability) or extended from the wrist for combat. Extending or retracting a bone blade is a swift action, and the recipient can’t use the hand of the associated arm to hold anything or perform fine manipulation when the blade is extended. A bone blade cannot be disarmed, but it can be sundered. When a bone blade’s recipient regains Hit Points (whether through first aid, magic, or natural healing), the blade regains the same number of Hit Points. If destroyed, the bone blade regrows in 24 hours.<br/>Standard bone blades are one-handed simple melee weapons with the operative weapon special property. It is possible to have a more complex heavy bone blade installed, which changes the bone blade into a one-handed advanced melee weapon. These heavy bone blades are not operative weapons, but they deal more damage (see the table above). There is no difference in cost between standard and heavy bone blades, but the decision between them must be made when the bone blade is installed and cannot be changed.</p>	18	350000	Arm	DS03	42
35	Bone Blade, Mk 5	Necrograft	<p><table> <tr><th colspan="4">DAMAGE</th></tr> <tr><th>MODEL</th><th>STANDARD</th><th>HEAVY</th><th>CRITICAL</th></tr> <tr><td>Mk 1</td><td>1d4 S</td><td>2d4 S</td><td>Staggered</td></tr> <tr><td>Mk 2</td><td>1d8 S</td><td>2d8 S</td><td>Staggered</td></tr> <tr><td>Mk 3</td><td>2d8 S</td><td>4d8 S</td><td>Stunned</td></tr> <tr><td>Mk 4</td><td>5d8 S</td><td>7d8 S</td><td>Stunned</td></tr> <tr><td>Mk 5</td><td>5d10 S</td><td>7d10 S</td><td>Stunned</td></tr> </table> Bone blades are weapons built into undead arms that are then grafted onto their recipients. The blade can be retracted into the limb (making it impossible to notice without a careful inspection, scan, spell, or similar ability) or extended from the wrist for combat. Extending or retracting a bone blade is a swift action, and the recipient can’t use the hand of the associated arm to hold anything or perform fine manipulation when the blade is extended. A bone blade cannot be disarmed, but it can be sundered. When a bone blade’s recipient regains Hit Points (whether through first aid, magic, or natural healing), the blade regains the same number of Hit Points. If destroyed, the bone blade regrows in 24 hours.<br/>Standard bone blades are one-handed simple melee weapons with the operative weapon special property. It is possible to have a more complex heavy bone blade installed, which changes the bone blade into a one-handed advanced melee weapon. These heavy bone blades are not operative weapons, but they deal more damage (see the table above). There is no difference in cost between standard and heavy bone blades, but the decision between them must be made when the bone blade is installed and cannot be changed.</p>	20	775000	Arm	DS03	42
36	Cardiac Accelerator	Cybernetics	<p>This implant plugs directly into your heart and can be triggered to overclock the performance of your heart and circulatory system. When you run, charge, or take a move action to move, you can spend 1 Resolve Point to increase your speed (in the relevant mode of movement) by 20 feet for that action. This extra movement is treated as an enhancement bonus.<br/> Alternatively, you can spend 1 Resolve Point as a reaction when you attempt a Reflex saving throw to gain a +1 enhancement bonus to your roll.</p>	6	3850	Heart	CRB	208
37	Cerebral Countermeasures	Biotech	<p>A cerebral countermeasure is a tiny gland that constantly monitors your brainwaves, watching for unexpected spikes in activity that indicate mental assault. As a reaction before you attempt a saving throw against a mind-affecting effect, you can cause the gland to release proteins that deflect and confuse mental attacks by overloading the chemical receptors that would otherwise respond to the mental attack. This grants you a +2 circumstance bonus to your Will saving throws against mind-affecting effects until the end of your next turn. The disruption this defense causes makes it difficult to concentrate, giving you a –2 penalty to Intelligence-, Wisdom-, and Charisma-based skill checks until the end of your next turn.</p>	6	4200	Brain	AA2	19
38	Charged skin	Magitech	<p>Your skin slowly generates electricity that can be used to power devices that require power measured in charges from a battery to function, such as a powered weapon. You must be touching the item to use it. Your charged skin holds 10 such charges, which are replenished each day after a full night’s rest. You can’t charge a battery or item with your charged skin; you can spend charges directly from it only to power held devices.</p>	5	3075	Skin	ARM	90
39	Cleansing Breath	Biotech	<p>Organic sacs implanted within your lungs cause you to exhale airborne antibodies and antitoxins. You and creatures breathing the same air within 30 feet of you can roll twice on saving throws against diseases and poisons and take the higher result.</p>	18	342000	Lungs	ARM	86
