name	description	type	price	source	source_page
Djezet	<p>Djezet is a rust-red liquid and is among the most common of starmetals. Scientists have found no temperature at which this starmetal becomes solid in its pure form. It reacts strongly to magic, guiding eldritch energy much as copper guides electric currents. Crafters use djezet frequently in hybrid items and magic items. Items incorporating djezet are usually made with an alloy using djezet and steel.<br/> Any weapon with metal components, even those that deal only energy damage, can be made of djezet alloy. Such a weapon is considered to be 2 item levels lower when determining which fusion seals can be applied to the weapon, but it is considered to be 2 item levels higher when determining the total level of fusions that can be applied to the weapon.<br/> If djezet is properly incorporated into a hybrid or magic item, the saving throw DC for magical effects that item creates increases by 2. This increase also applies to magical effects created by weapons. Djezet can also be worked into armor composites. If you wear djezet-enhanced armor, you act as if your caster level were 1 higher for determining the range and duration of your spells, and for caster level checks. If you can’t cast spells, djezet-laced armor provides no benefit to you.</p>	Armor	2000	ARM	66
Djezet	<p>Djezet is a rust-red liquid and is among the most common of starmetals. Scientists have found no temperature at which this starmetal becomes solid in its pure form. It reacts strongly to magic, guiding eldritch energy much as copper guides electric currents. Crafters use djezet frequently in hybrid items and magic items. Items incorporating djezet are usually made with an alloy using djezet and steel.<br/> Any weapon with metal components, even those that deal only energy damage, can be made of djezet alloy. Such a weapon is considered to be 2 item levels lower when determining which fusion seals can be applied to the weapon, but it is considered to be 2 item levels higher when determining the total level of fusions that can be applied to the weapon.<br/> If djezet is properly incorporated into a hybrid or magic item, the saving throw DC for magical effects that item creates increases by 2. This increase also applies to magical effects created by weapons. Djezet can also be worked into armor composites. If you wear djezet-enhanced armor, you act as if your caster level were 1 higher for determining the range and duration of your spells, and for caster level checks. If you can’t cast spells, djezet-laced armor provides no benefit to you.</p>	Item	2000	ARM	66
Djezet	<p>Djezet is a rust-red liquid and is among the most common of starmetals. Scientists have found no temperature at which this starmetal becomes solid in its pure form. It reacts strongly to magic, guiding eldritch energy much as copper guides electric currents. Crafters use djezet frequently in hybrid items and magic items. Items incorporating djezet are usually made with an alloy using djezet and steel.<br/> Any weapon with metal components, even those that deal only energy damage, can be made of djezet alloy. Such a weapon is considered to be 2 item levels lower when determining which fusion seals can be applied to the weapon, but it is considered to be 2 item levels higher when determining the total level of fusions that can be applied to the weapon.<br/> If djezet is properly incorporated into a hybrid or magic item, the saving throw DC for magical effects that item creates increases by 2. This increase also applies to magical effects created by weapons. Djezet can also be worked into armor composites. If you wear djezet-enhanced armor, you act as if your caster level were 1 higher for determining the range and duration of your spells, and for caster level checks. If you can’t cast spells, djezet-laced armor provides no benefit to you.</p>	Raw material (1 bulk)	500	ARM	66
Djezet	<p>Djezet is a rust-red liquid and is among the most common of starmetals. Scientists have found no temperature at which this starmetal becomes solid in its pure form. It reacts strongly to magic, guiding eldritch energy much as copper guides electric currents. Crafters use djezet frequently in hybrid items and magic items. Items incorporating djezet are usually made with an alloy using djezet and steel.<br/> Any weapon with metal components, even those that deal only energy damage, can be made of djezet alloy. Such a weapon is considered to be 2 item levels lower when determining which fusion seals can be applied to the weapon, but it is considered to be 2 item levels higher when determining the total level of fusions that can be applied to the weapon.<br/> If djezet is properly incorporated into a hybrid or magic item, the saving throw DC for magical effects that item creates increases by 2. This increase also applies to magical effects created by weapons. Djezet can also be worked into armor composites. If you wear djezet-enhanced armor, you act as if your caster level were 1 higher for determining the range and duration of your spells, and for caster level checks. If you can’t cast spells, djezet-laced armor provides no benefit to you.</p>	Weapon	2000	ARM	66
Horacalcum	<p>Horacalcum, the rarest starmetal, has a dull copper color and warps space-time around itself on a quantum level. For this reason, horacalcum is a component for stasis chambers and other items that halt, reverse, or rewind the aging process. Some technomancers theorize that horacalcum might hold the key to using magic to unlock and command the flow of time.<br/> Weapons or ammunition fashioned from horacalcum temporarily distort time’s flow for enemies struck, causing the staggered critical hit effect. A melee weapon made of horacalcum that already has the staggered critical hit effect increases its save DC by 2, as does a weapon firing ammunition made of the metal. If the weapon already has a critical hit effect, choose each time whether to apply the weapon’s normal critical hit effect or the staggered effect.<br/> Horacalcum can also be spun into metallic fiber and interwoven with armor. Armor modified with horacalcum grants you a +1 enhancement bonus to initiative checks and a +2 enhancement bonus to saving throws against effects that would inflict the staggered condition.</p>	Ammunition (1 piece)	70	ARM	66
Horacalcum	<p>Horacalcum, the rarest starmetal, has a dull copper color and warps space-time around itself on a quantum level. For this reason, horacalcum is a component for stasis chambers and other items that halt, reverse, or rewind the aging process. Some technomancers theorize that horacalcum might hold the key to using magic to unlock and command the flow of time.<br/> Weapons or ammunition fashioned from horacalcum temporarily distort time’s flow for enemies struck, causing the staggered critical hit effect. A melee weapon made of horacalcum that already has the staggered critical hit effect increases its save DC by 2, as does a weapon firing ammunition made of the metal. If the weapon already has a critical hit effect, choose each time whether to apply the weapon’s normal critical hit effect or the staggered effect.<br/> Horacalcum can also be spun into metallic fiber and interwoven with armor. Armor modified with horacalcum grants you a +1 enhancement bonus to initiative checks and a +2 enhancement bonus to saving throws against effects that would inflict the staggered condition.</p>	Armor	3500	ARM	66
Horacalcum	<p>Horacalcum, the rarest starmetal, has a dull copper color and warps space-time around itself on a quantum level. For this reason, horacalcum is a component for stasis chambers and other items that halt, reverse, or rewind the aging process. Some technomancers theorize that horacalcum might hold the key to using magic to unlock and command the flow of time.<br/> Weapons or ammunition fashioned from horacalcum temporarily distort time’s flow for enemies struck, causing the staggered critical hit effect. A melee weapon made of horacalcum that already has the staggered critical hit effect increases its save DC by 2, as does a weapon firing ammunition made of the metal. If the weapon already has a critical hit effect, choose each time whether to apply the weapon’s normal critical hit effect or the staggered effect.<br/> Horacalcum can also be spun into metallic fiber and interwoven with armor. Armor modified with horacalcum grants you a +1 enhancement bonus to initiative checks and a +2 enhancement bonus to saving throws against effects that would inflict the staggered condition.</p>	Raw material (1 bulk)	875	ARM	66
Horacalcum	<p>Horacalcum, the rarest starmetal, has a dull copper color and warps space-time around itself on a quantum level. For this reason, horacalcum is a component for stasis chambers and other items that halt, reverse, or rewind the aging process. Some technomancers theorize that horacalcum might hold the key to using magic to unlock and command the flow of time.<br/> Weapons or ammunition fashioned from horacalcum temporarily distort time’s flow for enemies struck, causing the staggered critical hit effect. A melee weapon made of horacalcum that already has the staggered critical hit effect increases its save DC by 2, as does a weapon firing ammunition made of the metal. If the weapon already has a critical hit effect, choose each time whether to apply the weapon’s normal critical hit effect or the staggered effect.<br/> Horacalcum can also be spun into metallic fiber and interwoven with armor. Armor modified with horacalcum grants you a +1 enhancement bonus to initiative checks and a +2 enhancement bonus to saving throws against effects that would inflict the staggered condition.</p>	Weapon	3500	ARM	66
Inubrix	<p>Nicknamed “ghost iron”, inubrix is the softest of the starmetals. Due to the metal’s unique structure, inubrix molecules can realign to pass through submolecular spaces in denser materials. Inubrix sees use in complex machinery, especially in collapsible or miniaturized technologies. In its pure form, inubrix is too soft to function as a building material. Items using inubrix are made of an alloy of inubrix and another metal, often platinum, the dense molecular structure of the latter serving to anchor the former in place.<br/> Inubrix alloy weapons and ammunition ignore hardness of 10 or less. If a critical hit effect from an inubrix weapon requires a saving throw, the save DC increases by 2. This increase also applies to the injection DC +2 critical hit effect, provided the weapon doing the injecting, such as the dart of a needler pistol, is made of inubrix. A melee weapon made of inubrix alloy can also pass slightly into other solid objects, giving the wielder extra leverage for disarm attempts; this advantage grants a melee weapon made of inubrix alloy the disarm special property.</p>	Ammunition (1 piece)	50	ARM	67
Inubrix	<p>Nicknamed “ghost iron”, inubrix is the softest of the starmetals. Due to the metal’s unique structure, inubrix molecules can realign to pass through submolecular spaces in denser materials. Inubrix sees use in complex machinery, especially in collapsible or miniaturized technologies. In its pure form, inubrix is too soft to function as a building material. Items using inubrix are made of an alloy of inubrix and another metal, often platinum, the dense molecular structure of the latter serving to anchor the former in place.<br/> Inubrix alloy weapons and ammunition ignore hardness of 10 or less. If a critical hit effect from an inubrix weapon requires a saving throw, the save DC increases by 2. This increase also applies to the injection DC +2 critical hit effect, provided the weapon doing the injecting, such as the dart of a needler pistol, is made of inubrix. A melee weapon made of inubrix alloy can also pass slightly into other solid objects, giving the wielder extra leverage for disarm attempts; this advantage grants a melee weapon made of inubrix alloy the disarm special property.</p>	Armor	2500	ARM	67
Inubrix	<p>Nicknamed “ghost iron”, inubrix is the softest of the starmetals. Due to the metal’s unique structure, inubrix molecules can realign to pass through submolecular spaces in denser materials. Inubrix sees use in complex machinery, especially in collapsible or miniaturized technologies. In its pure form, inubrix is too soft to function as a building material. Items using inubrix are made of an alloy of inubrix and another metal, often platinum, the dense molecular structure of the latter serving to anchor the former in place.<br/> Inubrix alloy weapons and ammunition ignore hardness of 10 or less. If a critical hit effect from an inubrix weapon requires a saving throw, the save DC increases by 2. This increase also applies to the injection DC +2 critical hit effect, provided the weapon doing the injecting, such as the dart of a needler pistol, is made of inubrix. A melee weapon made of inubrix alloy can also pass slightly into other solid objects, giving the wielder extra leverage for disarm attempts; this advantage grants a melee weapon made of inubrix alloy the disarm special property.</p>	Raw material (1 bulk)	625	ARM	67
Inubrix	<p>Nicknamed “ghost iron”, inubrix is the softest of the starmetals. Due to the metal’s unique structure, inubrix molecules can realign to pass through submolecular spaces in denser materials. Inubrix sees use in complex machinery, especially in collapsible or miniaturized technologies. In its pure form, inubrix is too soft to function as a building material. Items using inubrix are made of an alloy of inubrix and another metal, often platinum, the dense molecular structure of the latter serving to anchor the former in place.<br/> Inubrix alloy weapons and ammunition ignore hardness of 10 or less. If a critical hit effect from an inubrix weapon requires a saving throw, the save DC increases by 2. This increase also applies to the injection DC +2 critical hit effect, provided the weapon doing the injecting, such as the dart of a needler pistol, is made of inubrix. A melee weapon made of inubrix alloy can also pass slightly into other solid objects, giving the wielder extra leverage for disarm attempts; this advantage grants a melee weapon made of inubrix alloy the disarm special property.</p>	Weapon	2500	ARM	67
Noqual	<p>Resembling pale-green crystal more than metal, noqual can be worked as easily as iron. Noqual’s crystalline structure gives a strength that belies its surprisingly low weight. This starmetal is strangely resistant to magic, and is commonly used in binders and manacles intended to confine spellcasting prisoners and in gear intended for use in magic-laden environments. Objects fashioned from noqual gain a +4 bonus to saving throws against magical effects.<br/> Weapons and ammunition made of noqual sap magic from the target, dealing additional damage to creatures largely derived from magical effects. Noqual weapons and ammunition gain a +1 enhancement bonus to damage rolls against magical constructs, magically created undead, and creatures summoned by magic. For melee weapons, this enhancement bonus increases by 1 for every 6 item levels the weapon has, up to +4 at 18th level; this enhancement bonus increase does not apply to ammunition.<br/> Noqual can be woven into armor composite. Wearing armor with noqual in it grants you a +1 enhancement bonus to saving throws against magical effects. However, if you cast spells while wearing noqual armor, you treat your caster level as 1 lower when determining the range and duration of your spells and for caster level checks.</p>	Ammunition (1 piece)	40	DS01	26
Noqual	<p>Resembling pale-green crystal more than metal, noqual can be worked as easily as iron. Noqual’s crystalline structure gives a strength that belies its surprisingly low weight. This starmetal is strangely resistant to magic, and is commonly used in binders and manacles intended to confine spellcasting prisoners and in gear intended for use in magic-laden environments. Objects fashioned from noqual gain a +4 bonus to saving throws against magical effects.<br/> Weapons and ammunition made of noqual sap magic from the target, dealing additional damage to creatures largely derived from magical effects. Noqual weapons and ammunition gain a +1 enhancement bonus to damage rolls against magical constructs, magically created undead, and creatures summoned by magic. For melee weapons, this enhancement bonus increases by 1 for every 6 item levels the weapon has, up to +4 at 18th level; this enhancement bonus increase does not apply to ammunition.<br/> Noqual can be woven into armor composite. Wearing armor with noqual in it grants you a +1 enhancement bonus to saving throws against magical effects. However, if you cast spells while wearing noqual armor, you treat your caster level as 1 lower when determining the range and duration of your spells and for caster level checks.</p>	Armor	2000	ARM	67
Noqual	<p>Resembling pale-green crystal more than metal, noqual can be worked as easily as iron. Noqual’s crystalline structure gives a strength that belies its surprisingly low weight. This starmetal is strangely resistant to magic, and is commonly used in binders and manacles intended to confine spellcasting prisoners and in gear intended for use in magic-laden environments. Objects fashioned from noqual gain a +4 bonus to saving throws against magical effects.<br/> Weapons and ammunition made of noqual sap magic from the target, dealing additional damage to creatures largely derived from magical effects. Noqual weapons and ammunition gain a +1 enhancement bonus to damage rolls against magical constructs, magically created undead, and creatures summoned by magic. For melee weapons, this enhancement bonus increases by 1 for every 6 item levels the weapon has, up to +4 at 18th level; this enhancement bonus increase does not apply to ammunition.<br/> Noqual can be woven into armor composite. Wearing armor with noqual in it grants you a +1 enhancement bonus to saving throws against magical effects. However, if you cast spells while wearing noqual armor, you treat your caster level as 1 lower when determining the range and duration of your spells and for caster level checks.</p>	Raw material (1 bulk)	500	DS01	26
Noqual	<p>Resembling pale-green crystal more than metal, noqual can be worked as easily as iron. Noqual’s crystalline structure gives a strength that belies its surprisingly low weight. This starmetal is strangely resistant to magic, and is commonly used in binders and manacles intended to confine spellcasting prisoners and in gear intended for use in magic-laden environments. Objects fashioned from noqual gain a +4 bonus to saving throws against magical effects.<br/> Weapons and ammunition made of noqual sap magic from the target, dealing additional damage to creatures largely derived from magical effects. Noqual weapons and ammunition gain a +1 enhancement bonus to damage rolls against magical constructs, magically created undead, and creatures summoned by magic. For melee weapons, this enhancement bonus increases by 1 for every 6 item levels the weapon has, up to +4 at 18th level; this enhancement bonus increase does not apply to ammunition.<br/> Noqual can be woven into armor composite. Wearing armor with noqual in it grants you a +1 enhancement bonus to saving throws against magical effects. However, if you cast spells while wearing noqual armor, you treat your caster level as 1 lower when determining the range and duration of your spells and for caster level checks.</p>	Weapon	2000	DS01	26
Siccatite	<p>Siccatite is a shining silver metal that is extremely resilient to thermal energy. When found naturally, it is incredibly cold until exposed to extreme heat, at which point it becomes incredibly hot. The process for switching siccatite between these two states is difficult; hot siccatite must be quenched in temperatures of –250º F or colder for at least 24 hours, while cold siccatite must be heated in temperatures of 5,000º F or hotter for at least 24 hours. Objects formed completely of siccatite are immune to cold damage and fire damage, making them crucial components in items that are in constant contact with severe heat or cold.<br/> A weapon made of cold siccatite that deals cold damage, whether inherently or from a weapon fusion, deals 1 extra cold damage plus 1 extra cold damage per 6 item levels, up to +4 at 18th level. A weapon made of hot siccatite that deals fire damage gains the same amount of extra fire damage.<br/> When a siccatite weapon is used in combat, the siccatite molecules become excited and radiate the starmetal’s associated energy type. If you wield a hot siccatite weapon, you take 1 fire damage when you hit a target with the weapon. Similarly, a cold siccatite weapon you wield deals you 1 cold damage when you hit with it. You take this damage only once per round.<br/> Ammunition isn’t made of siccatite, as it tends to damage a weapon made of other materials and doesn’t provide additional benefits if used with a weapon already made of siccatite.<br/> The temperature of pure siccatite makes it unsuitable as the sole material for wearable items for most species. However, armor can have siccatite as part of its composite material. Wearing armor that is integrated with siccatite provides you cold and fire resistance 3.</p>	Armor	2500	ARM	67
Siccatite	<p>Siccatite is a shining silver metal that is extremely resilient to thermal energy. When found naturally, it is incredibly cold until exposed to extreme heat, at which point it becomes incredibly hot. The process for switching siccatite between these two states is difficult; hot siccatite must be quenched in temperatures of –250º F or colder for at least 24 hours, while cold siccatite must be heated in temperatures of 5,000º F or hotter for at least 24 hours. Objects formed completely of siccatite are immune to cold damage and fire damage, making them crucial components in items that are in constant contact with severe heat or cold.<br/> A weapon made of cold siccatite that deals cold damage, whether inherently or from a weapon fusion, deals 1 extra cold damage plus 1 extra cold damage per 6 item levels, up to +4 at 18th level. A weapon made of hot siccatite that deals fire damage gains the same amount of extra fire damage.<br/> When a siccatite weapon is used in combat, the siccatite molecules become excited and radiate the starmetal’s associated energy type. If you wield a hot siccatite weapon, you take 1 fire damage when you hit a target with the weapon. Similarly, a cold siccatite weapon you wield deals you 1 cold damage when you hit with it. You take this damage only once per round.<br/> Ammunition isn’t made of siccatite, as it tends to damage a weapon made of other materials and doesn’t provide additional benefits if used with a weapon already made of siccatite.<br/> The temperature of pure siccatite makes it unsuitable as the sole material for wearable items for most species. However, armor can have siccatite as part of its composite material. Wearing armor that is integrated with siccatite provides you cold and fire resistance 3.</p>	Raw material (1 bulk)	625	ARM	67
Siccatite	<p>Siccatite is a shining silver metal that is extremely resilient to thermal energy. When found naturally, it is incredibly cold until exposed to extreme heat, at which point it becomes incredibly hot. The process for switching siccatite between these two states is difficult; hot siccatite must be quenched in temperatures of –250º F or colder for at least 24 hours, while cold siccatite must be heated in temperatures of 5,000º F or hotter for at least 24 hours. Objects formed completely of siccatite are immune to cold damage and fire damage, making them crucial components in items that are in constant contact with severe heat or cold.<br/> A weapon made of cold siccatite that deals cold damage, whether inherently or from a weapon fusion, deals 1 extra cold damage plus 1 extra cold damage per 6 item levels, up to +4 at 18th level. A weapon made of hot siccatite that deals fire damage gains the same amount of extra fire damage.<br/> When a siccatite weapon is used in combat, the siccatite molecules become excited and radiate the starmetal’s associated energy type. If you wield a hot siccatite weapon, you take 1 fire damage when you hit a target with the weapon. Similarly, a cold siccatite weapon you wield deals you 1 cold damage when you hit with it. You take this damage only once per round.<br/> Ammunition isn’t made of siccatite, as it tends to damage a weapon made of other materials and doesn’t provide additional benefits if used with a weapon already made of siccatite.<br/> The temperature of pure siccatite makes it unsuitable as the sole material for wearable items for most species. However, armor can have siccatite as part of its composite material. Wearing armor that is integrated with siccatite provides you cold and fire resistance 3.</p>	Weapon	2500	ARM	67
Silver	<p>A complex process involving alchemy, magic, and metallurgy can bond silver to weapons or ammunition so that they overcome the damage reduction of creatures with DR/silver, such as lycanthropes. The silvering process can’t be applied to nonmetal items, and it doesn’t work on rare metals such as adamantine, cold iron, or starmetals.</p>	Ammunition (1 piece)	6	CRB	191
Silver	<p>A complex process involving alchemy, magic, and metallurgy can bond silver to weapons or ammunition so that they overcome the damage reduction of creatures with DR/silver, such as lycanthropes. The silvering process can’t be applied to nonmetal items, and it doesn’t work on rare metals such as adamantine, cold iron, or starmetals.</p>	Raw material (1 bulk)	75	ARM	67
Silver	<p>A complex process involving alchemy, magic, and metallurgy can bond silver to weapons or ammunition so that they overcome the damage reduction of creatures with DR/silver, such as lycanthropes. The silvering process can’t be applied to nonmetal items, and it doesn’t work on rare metals such as adamantine, cold iron, or starmetals.</p>	Weapon	300	CRB	191
