id	name	level	description	price	type	speed	land_speed	hover_speed	fly_speed	swim_speed	climb_speed	burrow_speed	complement	passengers	source	source_page
24	Patrol Dirigible	7	<p>Most often found drifting through the endless skies of gas giants, a patrol dirigible provides protection for nonflying creatures.</p>	21000	Colossal air vehicle	50 mph (fly and hover)	null	50	50	null	null	null	2	12	A!06	53
25	Sunskimmer	7	<p>Sunskimmers are rounded on the top with a pair of fins that hang down and force propulsion engines on one end.</p>	16500	Huge air vehicle	60 mph (fly)	null	null	60	null	null	null	null	7	DF02	48
26	Tactical Walker	7	<p>Used by planetary military forces, this two-legged walker has advanced digital stabilizers that ensure balance.</p>	20900	Huge land vehicle	48 mph	48	null	null	null	null	null	null	3	ARM	139
27	Aquatic Crawler	8	<p>Similar in design to other crawlers, this walker traverses ocean floors, the underside of sea ice, and other terrain too tight for submarines to maneuver around.</p>	32000	Huge land and water vehicle	40 mph (climb and land), 30 mph (swim)	40	null	null	30	40	null	null	5	A!06	50
28	Armored Transport	8	<p>This tough truck is used for both private security and military deployment.</p>	22400	Huge land vehicle	50 mph	50	null	null	null	null	null	null	1	ARM	137
29	Asteroid Borer	8	<p>High-powered mining lasers and spinning drills allow this vehicle to move through solid stone, such as that found on asteroids, but it can just as easily move through water.</p>	32700	Huge land, tunneling, and water vehicle	60 mph (hover and swim), 10 mph (burrow through stone)	null	60	null	60	null	10	null	3	ARM	137
30	Kishalee Hoverbike	8	<p>Kishalee hoverbikes are sleek, skinny vehicles that float on cushions of antigrav energy. The driver sits on the front one of two seats and uses a triangular yoke to steer, while the passenger holds on to his own safety bar.<br/> Kishalee hoverbikes move by warping the space around themselves, shortening the space directly in front of them and stretching out the space behind them. As a result, they deal very little damage if they ram a target, and jumping off one causes no damage beyond falling damage, because the hoverbike has no effective momentum.</p>	20000	Large land and air vehicle	65 mph (hover and fly)	null	65	65	null	null	null	null	1	DS05	41
31	Security Train	8	<p>Some vehicles have autocontrol, which enables you to spend your actions on tasks other than piloting, but is far less capable than an autopilot. You can engage autocontrol as a swift action after taking a drive or race action, and it lasts until it is disengaged (also a swift action) or until the vehicle is no longer capable of moving. When you’re using autocontrol, the vehicle becomes uncontrolled, but each round it moves in a straight line for the same distance and at the same heading and speed as the last pilot action (moving as if taking two drive actions if drive was the last action the pilot took, or as a race action if that was the last action the pilot took). The autocontrol uses the result of the pilot’s most recent Piloting check as the result of its Piloting checks.</p>	20000	Huge land vehicle	140 mph	140	null	null	null	null	null	null	null	DS06	24
32	Heavy Assault Buggy	9	<p>This squat, armored vehicle has six powerful hover jets and is a mainstay in ground combat.</p>	38200	Large land vehicle	60 mph (hover)	null	60	null	null	null	null	null	3	A!06	52
33	Recon Enercopter	9	<p>One side of this light aircraft is open to the elements, providing quick entry and exit. Enercopters are favored by law enforcement agencies and military groups because of their quiet antigrav rotors.</p>	43000	Huge air vehicle	85 mph (fly)	null	null	85	null	null	null	null	7	ARM	138
34	Transport Walker	9	<p>This boxy, six-legged walker has surprisingly agile gripping claws.</p>	28200	Huge land vehicle	75 mph (climb and land)	75	null	null	null	75	null	null	7	ARM	139
35	Armored Null-Space Transport	10	<p>Resembling a smaller hover truck, this vehicle often carries dangerous or valuable goods.</p>	48800	Large land and water vehicle	85 mph (hover)	null	85	null	null	null	null	null	3	ARM	137
36	Grav-Train	10	<p>Some vehicles have autocontrol, which enables you to spend your actions on tasks other than piloting, but is far less capable than an autopilot. You can engage autocontrol as a swift action after taking a drive or race action, and it lasts until it is disengaged (also a swift action) or until the vehicle is no longer capable of moving. When you’re using autocontrol, the vehicle becomes uncontrolled, but each round it moves in a straight line for the same distance and at the same heading and speed as the last pilot action (moving as if taking two drive actions if drive was the last action the pilot took, or as a race action if that was the last action the pilot took). The autocontrol uses the result of the pilot’s most recent Piloting check as the result of its Piloting checks.</p>	38000	Colossal land vehicle	130 mph	130	null	null	null	null	null	null	48	DS06	24
37	Linecrawler	10	<p>Linecrawlers are massive ferries with basic seating for their many passengers and multiple entrances and exits.</p>	62000	Colossal air vehicle	50 mph (fly)	null	null	50	null	null	null	null	150	DF02	48
38	Stealth Sub	10	<p>Used by many planetary military forces for undersea engagements, a stealth sub features a small promenade along its dorsal surface for use when it surfaces.</p>	57500	Gargantuan water vehicle	65 mph (swim)	null	null	null	65	null	null	5	4	ARM	138
39	Light Hover Tank	11	<p>A light hover tank’s compact chassis and its moderate maneuverability are ideal for patrolling urban centers. Its sonic weaponry fills narrow streets with suppressive blasts while minimizing risk to infrastructure.</p>	80000	Huge land and water vehicle	70 mph (hover)	null	70	null	null	null	null	1	null	A!06	52
40	Tactical Dropship	11	<p>As this dropship reaches high-altitude flight, its anhedral wings and antigrav rotors fold away to reduce drag while a single booster propels it to orbit.</p>	84000	Huge air vehicle	85 mph (fly and hover)	null	85	85	null	null	null	2	12	A!06	53
41	Tactical Underminer	11	<p>This massive drill can punch through stone at high speeds and is often used to aid in the construction of large, underground complexes.</p>	79500	Huge land, tunneling, and water vehicle	65 mph (hover), 13 mph (burrow through stone)	null	65	null	null	null	13	2	3	ARM	139
42	Threnody-Class Assault Fighter	11	<p>Some vehicles have autocontrol, which enables you to spend your actions on tasks other than piloting, but is far less capable than an autopilot. You can engage autocontrol as a swift action after taking a drive or race action, and it lasts until it is disengaged (also a swift action) or until the vehicle is no longer capable of moving. When you’re using autocontrol, the vehicle becomes uncontrolled, but each round it moves in a straight line for the same distance and at the same heading and speed as the last pilot action (moving as if taking two drive actions if drive was the last action the pilot took, or as a race action if that was the last action the pilot took). The autocontrol uses the result of the pilot’s most recent Piloting check as the result of its Piloting checks.</p>	62000	Large air vehicle	130 mph (hover)	null	130	null	null	null	null	null	null	DS06	11
43	Airspace Defender	12	<p>This tank-like vehicle deters incursions into the local airspace with its deadly antiaircraft missiles.</p>	12500	Gargantuan land and water vehicle	55 mph (hover)	null	55	null	null	null	null	2	null	A!06	50
44	Assault Enercopter	12	<p>This partially open aircraft has an antigrav rotor and two turrets.</p>	114500	Gargantuan air vehicle	90 mph (fly)	null	null	90	null	null	null	null	11	ARM	137
45	Attack Sub	12	<p>The forward section of this submarine holds two rows of missile bays designed to intercept aircraft.</p>	130000	Gargantuan water vehicle	50 mph (swim)	null	null	null	50	null	null	11	8	A!06	51
46	Protector Chariot	12	<p>A Protector chariot is a hybrid vehicle with a virtual intelligence. In its neutral form, the vehicle is a dense, 10-foot-diameter sphere of mercury-like metal. This malleable form can reshape to replicate almost any vehicle of similar size. However, only someone who has the Protector of Kahlannal feat can pilot one of these chariots. When chariots are adjacent to one another, the pilots can command the vehicles to combine and form a larger vehicle. Four chariots in proximity can combine to form a vessel of starship scale, called an Accord (see the inside covers).<br> When a pilot wishes to enter a chariot, they touch the surface and telepathically command the vehicle to allow them inside. The chariot surface envelops the pilot, pulling them within. When the vehicle reconfigures, it moves the pilot into a new position suited to piloting the chariot’s new form.<br> Once the anassanois integrate with Pact Worlds societies, vehicles similar to chariots might appear on the open market. However, such knockoffs don’t come from the anassanois, who would see such replicas as bordering on sacrilegious.</br></br></p>	120000	Large land, air, and water vehicle	65 mph (hover and fly)	null	65	65	null	null	null	null	3	DF05	44
47	Breacher	13	<p>These vehicles are most often used to punch holes in barricades, defensive walls, or ship hulls before depositing shock troops within.</p>	200000	Gargantuan land and water vehicle	65 mph (hover)	null	65	null	null	null	null	null	15	A!06	51
48	Hover Tank	14	<p>A hover tank is mostly armor, digital controls, and machinery, leaving room for only a few passengers in its center. It has small hatches above and below.</p>	227000	Gargantuan land and water vehicle	65 mph (hover)	null	65	null	null	null	null	1	3	ARM	138
49	Heavy Walker	15	<p>Striding over battlefields and hostile terrain like a titanic spider, this eight-legged walker can serve as a mobile base of operations for platoons on long-term or remote assignments. Its four articulated crane arms allow it to retrieve or offload supplies and personnel without the risk of lowering its armored body to ground level.</p>	310000	Gargantuan land vehicle	65 mph (land), 40 mph (climb)	65	null	null	null	40	null	4	20	A!06	52
50	Spy Cruiser	15	<p>This streamlined vehicle resembles an expensive sky cruiser but is built to fly unseen.</p>	316000	Huge air, land, and water vehicle	90 mph (fly and hover)	null	90	90	null	null	null	null	5	ARM	138
51	Stealth Enercopter	16	<p>This streamlined aircraft has near-silent antigrav rotors on its top and at the end of its tail.</p>	535000	Huge air vehicle	95 mph (fly)	null	null	95	null	null	null	null	9	ARM	138
52	Hover Artillery	17	<p>A hover artillery is similar to a hover tank but sports a heavier gun and can carry more passengers.</p>	780000	Gargantuan land and water vehicle	55 mph (hover)	null	55	null	null	null	null	2	6	ARM	137
53	Aerial Mining Rig	18	<p>An aerial mining rig has two upper levels that are partially open to the elements and two lower levels that hold much of its ore-collecting and processing machinery, as well as the controls for its mining grav laser.</p>	1080000	Colossal air, land, and water vehicle	50 mph (fly and hover)	null	50	50	null	null	null	39	200	ARM	137
54	Heavy Dropship	18	<p>A heavy dropship can carry an entire platoon as well as the platoon’s support vehicles from an orbiting capital ship to a planet’s surface (and back) in a matter of minutes.</p>	1210000	Colossal air vehicle	95 mph (fly and hover)	null	95	95	null	null	null	5	50	A!06	52
55	Quantum Pod	19	<p>Windows and apertures open on this smooth, gray sphere at a touch and a thought. The vehicle’s pilot wears a control helmet that accepts mental commands.</p>	1630000	Huge air, land, tunneling, and water vehicle	80 ft., full 900 ft., 105 mph (fly, hover, and swim); 60 ft., full 300 ft., 34 mph (burrow through steel and softer)		105	105	105	null	34	null	8	ARM	138
56	Ultimatum Hover Carrier	20	<p>An ultimatum hover carrier is a pinnacle of military technology, requiring at least 60 crew onboard its four, 40-foot-wide crewed decks to function.</p>	3750000	Colossal air, land, and water vehicle	40 mph (fly and hover)	null	40	40	null	null	null	59	1000	ARM	139
