id	name	description	long_description	mystic_level	technomancer_level	witchwarper_level	school	casting_time	effect	area	effect_ranges_id	targets	duration	saving_throw	spell_resistance	source	source_page
11	Arcing Surge	<p>Deal 10d6 electricity damage in a 120-foot line.</p>	<p>You cause an electrical device in your possession to surge in power and unleash a line of electricity from the massive oversurge. This deals 10d6 electricity damage to all creatures and objects in the area.</p>	null	3	null	evocation (electricity)	1 standard action	null	line-shaped burst	19	null	instantaneous	Reflex half	yes	CRB	340
12	Augury	<p>Learn whether an action will be good or bad.</p>	<p>Casting&nbsp;<em>augury&nbsp;</em>can tell you whether a particular action will bring good or bad results for you in the immediate future. Casting this spell takes intense personal focus and requires you to spend 1 Resolve Point.<br /><br />The chance for successfully receiving a meaningful reply is 75%; this roll is made secretly by the GM. A question may be so straightforward that a successful result is automatic, or it may be so vague as to have no chance of success. If the augury succeeds, you get one of four results.</p><ul><li>Weal (if the action will probably bring good results).</li><li>Woe (for bad results).</li><li>Weal and woe (for both).</li><li>Nothing (for actions that have neither especially good nor especially bad results).</li></ul><p>If the augury isn&rsquo;t successful, you get the &ldquo;nothing&rdquo; result. A spellcaster who gets the &ldquo;nothing&rdquo; result has no way to tell whether it was the consequence of a failed or successful augury.<br /><br />The augury can see only about 30 minutes into the future, so anything that might happen beyond that time frame does not affect the result. Thus, the result might not take into account the long-term consequences of a contemplated action. Multiple castings of&nbsp;<em>augury</em>&nbsp;by the same creature about the same topic use the same die result as the first casting.</p>	2	null	2	divination	1 minute	null	null	1	null	instantaneous	null	null	CRB	340
13	Awaken Computer	<p>Turn a computer into a friendly AI that you and up to four other creatures are authorized to use.</p>	<p>You infuse a computer with a spark of advanced technology, granting it an artificial personality. For this spell to take effect, you must have access to the computer, through either hacking it and bypassing any countermeasures it has or having unsecured access, but you don&rsquo;t need root access. Further, if the target computer&rsquo;s tier is equal to half your caster level or higher, you must expend credits equal to 5% of its base price while you cast this spell or the spell has no effect. This spell has no effect on computers that already have an artificial personality upgrade.</p><p>You decide the details of the computer&rsquo;s personality when you cast this spell, including its name, mannerisms, and sense of humor. The artificial personality recognizes you as its creator unless you remove that detail from its memory while casting. You can designate yourself and up to four other creatures as authorized users of the personality. This spell configures the personality with cunning and charm, granting it a bonus to Bluff, Diplomacy, Intimidate, and Sense Motive checks equal to 3 &times; its tier.</p>	null	4	null	transmutation	10 minutes	null	null	2	one computer	instantaneous	no (object)	no (object)	COM	133
14	Baleful Polymorph	<p>Change the target's shape to that of a smaller, weaker creature</p>	<p>You change a target&rsquo;s shape to that of a smaller, weaker creature.<br /><strong>1st:</strong>&nbsp;The target shrinks slightly (though it retains its size category) and gains a few cosmetic bestial features of an animal you choose. The target takes a &ndash;1 penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength-and Dexterity-based ability checks and skill checks. Lesser remove condition and similar spells can end this effect.<br /><strong>2nd:</strong>&nbsp;As per the 1st-level version, but the target takes a &ndash;2 penalty and must attempt an additional saving throw each round until it fails or the spell&rsquo;s duration ends. If the target fails this second saving throw, its appearance becomes more bestial and the penalty increases to &ndash;3. Break enchantment, remove affliction, or remove condition can end the spell&rsquo;s effect.<br /><strong>3rd:</strong>&nbsp;As per the 2nd-level version, but you can make the target one size category smaller (its equipment resizes to remain functional, though it may lose reach with its new size; see Size on page 143). The target must attempt a saving throw every round, with the penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength- and Dexterity-based ability checks and skill checks worsening by 1 each time the target fails one of these saving throws, to a maximum penalty of &ndash;4. If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>4th:</strong>&nbsp;As per the 3rd-level version, but the penalty begins at &ndash;3, and the target must attempt a saving throw every round, with the penalty worsening by 1 each time the target fails one of these saving throws (to a maximum penalty of &ndash;5). If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>5th:</strong>&nbsp;As per the 4th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, instead of making the duration permanent (D), for the remainder of the duration you can turn the target into a Small animal or similar beast that has EAC 10 and KAC 12, can&rsquo;t make attacks or cast spells or spell-like abilities, and can&rsquo;t use extraordinary or supernatural abilities. The target retains its Intelligence, Wisdom, and Charisma scores in animal form, but it can&rsquo;t speak or use any abilities of its normal form. Equipment the target is wearing is absorbed into this form, and the target still benefits from any environmental protections on its armor, but the target drops gear it&rsquo;s holding or carrying but not wearing.<br /><strong>6th:</strong>&nbsp;As per the 5th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, you can both make the duration permanent (D) and turn the target into a Small animal or similar beast.</p>	1	1	1	transmutation (polymorph)	1 round	null	null	3	one creature	1 minute/level (D)	Will negates	yes	AA2	147
15	Baleful Polymorph	<p>Change the target's shape to that of a smaller, weaker creature</p>	<p>You change a target&rsquo;s shape to that of a smaller, weaker creature.<br /><strong>1st:</strong>&nbsp;The target shrinks slightly (though it retains its size category) and gains a few cosmetic bestial features of an animal you choose. The target takes a &ndash;1 penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength-and Dexterity-based ability checks and skill checks. Lesser remove condition and similar spells can end this effect.<br /><strong>2nd:</strong>&nbsp;As per the 1st-level version, but the target takes a &ndash;2 penalty and must attempt an additional saving throw each round until it fails or the spell&rsquo;s duration ends. If the target fails this second saving throw, its appearance becomes more bestial and the penalty increases to &ndash;3. Break enchantment, remove affliction, or remove condition can end the spell&rsquo;s effect.<br /><strong>3rd:</strong>&nbsp;As per the 2nd-level version, but you can make the target one size category smaller (its equipment resizes to remain functional, though it may lose reach with its new size; see Size on page 143). The target must attempt a saving throw every round, with the penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength- and Dexterity-based ability checks and skill checks worsening by 1 each time the target fails one of these saving throws, to a maximum penalty of &ndash;4. If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>4th:</strong>&nbsp;As per the 3rd-level version, but the penalty begins at &ndash;3, and the target must attempt a saving throw every round, with the penalty worsening by 1 each time the target fails one of these saving throws (to a maximum penalty of &ndash;5). If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>5th:</strong>&nbsp;As per the 4th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, instead of making the duration permanent (D), for the remainder of the duration you can turn the target into a Small animal or similar beast that has EAC 10 and KAC 12, can&rsquo;t make attacks or cast spells or spell-like abilities, and can&rsquo;t use extraordinary or supernatural abilities. The target retains its Intelligence, Wisdom, and Charisma scores in animal form, but it can&rsquo;t speak or use any abilities of its normal form. Equipment the target is wearing is absorbed into this form, and the target still benefits from any environmental protections on its armor, but the target drops gear it&rsquo;s holding or carrying but not wearing.<br /><strong>6th:</strong>&nbsp;As per the 5th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, you can both make the duration permanent (D) and turn the target into a Small animal or similar beast.</p>	2	2	2	transmutation (polymorph)	1 round	null	null	3	one creature	1 minute/level (D)	Will negates	yes	AA2	147
16	Baleful Polymorph	<p>Change the target's shape to that of a smaller, weaker creature</p>	<p>You change a target&rsquo;s shape to that of a smaller, weaker creature.<br /><strong>1st:</strong>&nbsp;The target shrinks slightly (though it retains its size category) and gains a few cosmetic bestial features of an animal you choose. The target takes a &ndash;1 penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength-and Dexterity-based ability checks and skill checks. Lesser remove condition and similar spells can end this effect.<br /><strong>2nd:</strong>&nbsp;As per the 1st-level version, but the target takes a &ndash;2 penalty and must attempt an additional saving throw each round until it fails or the spell&rsquo;s duration ends. If the target fails this second saving throw, its appearance becomes more bestial and the penalty increases to &ndash;3. Break enchantment, remove affliction, or remove condition can end the spell&rsquo;s effect.<br /><strong>3rd:</strong>&nbsp;As per the 2nd-level version, but you can make the target one size category smaller (its equipment resizes to remain functional, though it may lose reach with its new size; see Size on page 143). The target must attempt a saving throw every round, with the penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength- and Dexterity-based ability checks and skill checks worsening by 1 each time the target fails one of these saving throws, to a maximum penalty of &ndash;4. If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>4th:</strong>&nbsp;As per the 3rd-level version, but the penalty begins at &ndash;3, and the target must attempt a saving throw every round, with the penalty worsening by 1 each time the target fails one of these saving throws (to a maximum penalty of &ndash;5). If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>5th:</strong>&nbsp;As per the 4th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, instead of making the duration permanent (D), for the remainder of the duration you can turn the target into a Small animal or similar beast that has EAC 10 and KAC 12, can&rsquo;t make attacks or cast spells or spell-like abilities, and can&rsquo;t use extraordinary or supernatural abilities. The target retains its Intelligence, Wisdom, and Charisma scores in animal form, but it can&rsquo;t speak or use any abilities of its normal form. Equipment the target is wearing is absorbed into this form, and the target still benefits from any environmental protections on its armor, but the target drops gear it&rsquo;s holding or carrying but not wearing.<br /><strong>6th:</strong>&nbsp;As per the 5th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, you can both make the duration permanent (D) and turn the target into a Small animal or similar beast.</p>	3	3	3	transmutation (polymorph)	1 round	null	null	3	one creature	1 minute/level (D)	Will negates	yes	AA2	147
17	Baleful Polymorph	<p>Change the target's shape to that of a smaller, weaker creature</p>	<p>You change a target&rsquo;s shape to that of a smaller, weaker creature.<br /><strong>1st:</strong>&nbsp;The target shrinks slightly (though it retains its size category) and gains a few cosmetic bestial features of an animal you choose. The target takes a &ndash;1 penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength-and Dexterity-based ability checks and skill checks. Lesser remove condition and similar spells can end this effect.<br /><strong>2nd:</strong>&nbsp;As per the 1st-level version, but the target takes a &ndash;2 penalty and must attempt an additional saving throw each round until it fails or the spell&rsquo;s duration ends. If the target fails this second saving throw, its appearance becomes more bestial and the penalty increases to &ndash;3. Break enchantment, remove affliction, or remove condition can end the spell&rsquo;s effect.<br /><strong>3rd:</strong>&nbsp;As per the 2nd-level version, but you can make the target one size category smaller (its equipment resizes to remain functional, though it may lose reach with its new size; see Size on page 143). The target must attempt a saving throw every round, with the penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength- and Dexterity-based ability checks and skill checks worsening by 1 each time the target fails one of these saving throws, to a maximum penalty of &ndash;4. If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>4th:</strong>&nbsp;As per the 3rd-level version, but the penalty begins at &ndash;3, and the target must attempt a saving throw every round, with the penalty worsening by 1 each time the target fails one of these saving throws (to a maximum penalty of &ndash;5). If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>5th:</strong>&nbsp;As per the 4th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, instead of making the duration permanent (D), for the remainder of the duration you can turn the target into a Small animal or similar beast that has EAC 10 and KAC 12, can&rsquo;t make attacks or cast spells or spell-like abilities, and can&rsquo;t use extraordinary or supernatural abilities. The target retains its Intelligence, Wisdom, and Charisma scores in animal form, but it can&rsquo;t speak or use any abilities of its normal form. Equipment the target is wearing is absorbed into this form, and the target still benefits from any environmental protections on its armor, but the target drops gear it&rsquo;s holding or carrying but not wearing.<br /><strong>6th:</strong>&nbsp;As per the 5th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, you can both make the duration permanent (D) and turn the target into a Small animal or similar beast.</p>	4	4	4	transmutation (polymorph)	1 round	null	null	3	one creature	1 minute/level (D)	Will negates	yes	AA2	147
18	Baleful Polymorph	<p>Change the target's shape to that of a smaller, weaker creature</p>	<p>You change a target&rsquo;s shape to that of a smaller, weaker creature.<br /><strong>1st:</strong>&nbsp;The target shrinks slightly (though it retains its size category) and gains a few cosmetic bestial features of an animal you choose. The target takes a &ndash;1 penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength-and Dexterity-based ability checks and skill checks. Lesser remove condition and similar spells can end this effect.<br /><strong>2nd:</strong>&nbsp;As per the 1st-level version, but the target takes a &ndash;2 penalty and must attempt an additional saving throw each round until it fails or the spell&rsquo;s duration ends. If the target fails this second saving throw, its appearance becomes more bestial and the penalty increases to &ndash;3. Break enchantment, remove affliction, or remove condition can end the spell&rsquo;s effect.<br /><strong>3rd:</strong>&nbsp;As per the 2nd-level version, but you can make the target one size category smaller (its equipment resizes to remain functional, though it may lose reach with its new size; see Size on page 143). The target must attempt a saving throw every round, with the penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength- and Dexterity-based ability checks and skill checks worsening by 1 each time the target fails one of these saving throws, to a maximum penalty of &ndash;4. If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>4th:</strong>&nbsp;As per the 3rd-level version, but the penalty begins at &ndash;3, and the target must attempt a saving throw every round, with the penalty worsening by 1 each time the target fails one of these saving throws (to a maximum penalty of &ndash;5). If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>5th:</strong>&nbsp;As per the 4th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, instead of making the duration permanent (D), for the remainder of the duration you can turn the target into a Small animal or similar beast that has EAC 10 and KAC 12, can&rsquo;t make attacks or cast spells or spell-like abilities, and can&rsquo;t use extraordinary or supernatural abilities. The target retains its Intelligence, Wisdom, and Charisma scores in animal form, but it can&rsquo;t speak or use any abilities of its normal form. Equipment the target is wearing is absorbed into this form, and the target still benefits from any environmental protections on its armor, but the target drops gear it&rsquo;s holding or carrying but not wearing.<br /><strong>6th:</strong>&nbsp;As per the 5th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, you can both make the duration permanent (D) and turn the target into a Small animal or similar beast.</p>	5	5	5	transmutation (polymorph)	1 round	null	null	3	one creature	1 minute/level (D)	Will negates	yes	AA2	147
19	Baleful Polymorph	<p>Change the target's shape to that of a smaller, weaker creature</p>	<p>You change a target&rsquo;s shape to that of a smaller, weaker creature.<br /><strong>1st:</strong>&nbsp;The target shrinks slightly (though it retains its size category) and gains a few cosmetic bestial features of an animal you choose. The target takes a &ndash;1 penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength-and Dexterity-based ability checks and skill checks. Lesser remove condition and similar spells can end this effect.<br /><strong>2nd:</strong>&nbsp;As per the 1st-level version, but the target takes a &ndash;2 penalty and must attempt an additional saving throw each round until it fails or the spell&rsquo;s duration ends. If the target fails this second saving throw, its appearance becomes more bestial and the penalty increases to &ndash;3. Break enchantment, remove affliction, or remove condition can end the spell&rsquo;s effect.<br /><strong>3rd:</strong>&nbsp;As per the 2nd-level version, but you can make the target one size category smaller (its equipment resizes to remain functional, though it may lose reach with its new size; see Size on page 143). The target must attempt a saving throw every round, with the penalty to AC, attack rolls, melee damage rolls, Reflex saving throws, and Strength- and Dexterity-based ability checks and skill checks worsening by 1 each time the target fails one of these saving throws, to a maximum penalty of &ndash;4. If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>4th:</strong>&nbsp;As per the 3rd-level version, but the penalty begins at &ndash;3, and the target must attempt a saving throw every round, with the penalty worsening by 1 each time the target fails one of these saving throws (to a maximum penalty of &ndash;5). If the target succeeds at this saving throw after the penalty has reached its maximum, it is no longer required to attempt saving throws. If the target fails this saving throw after the penalty has reached its maximum, you can change the duration to permanent (D). If an object leaves the creature&rsquo;s possession for 1 round or more, it reverts to normal.<br /><strong>5th:</strong>&nbsp;As per the 4th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, instead of making the duration permanent (D), for the remainder of the duration you can turn the target into a Small animal or similar beast that has EAC 10 and KAC 12, can&rsquo;t make attacks or cast spells or spell-like abilities, and can&rsquo;t use extraordinary or supernatural abilities. The target retains its Intelligence, Wisdom, and Charisma scores in animal form, but it can&rsquo;t speak or use any abilities of its normal form. Equipment the target is wearing is absorbed into this form, and the target still benefits from any environmental protections on its armor, but the target drops gear it&rsquo;s holding or carrying but not wearing.<br /><strong>6th:</strong>&nbsp;As per the 5th-level version, except if the target fails its saving throw after the penalty has reached &ndash;5, you can both make the duration permanent (D) and turn the target into a Small animal or similar beast.</p>	6	6	6	transmutation (polymorph)	1 round	null	null	3	one creature	1 minute/level (D)	Will negates	yes	AA2	147
20	Baleful Polymorph, Mass	<p>Change multiple targets' shapes to that of a smaller, weaker creature</p>	<p>This spell functions as baleful polymorph, except as noted in this description. Each target must take the same form.</p>	4	4	4	transmutation (polymorph)	1 round	null	null	3	up to four creatures, no two of which can be more than 30 ft. apart	1 minute/level (D)	Will negates	yes	AA2	148
21	Baleful Polymorph, Mass	<p>Change multiple targets' shapes to that of a smaller, weaker creature</p>	<p>This spell causes all targets to suffer the effects of the 1st-level version of baleful polymorph.</p>	5	5	5	transmutation (polymorph)	1 round	null	null	3	up to four creatures, no two of which can be more than 30 ft. apart	1 minute/level (D)	Will negates	yes	AA2	148
22	Baleful Polymorph, Mass	<p>Change multiple targets' shapes to that of a smaller, weaker creature</p>	<p>This spell causes all targets to suffer the effects of the 2nd-level version of baleful polymorph.</p>	6	6	6	transmutation (polymorph)	1 round	null	null	3	up to four creatures, no two of which can be more than 30 ft. apart	1 minute/level (D)	Will negates	yes	AA2	148
