id	name	description	level	source	source_page
11	Returning	<p>You can add this fusion only to a weapon that has the thrown weapon special property. A returning weapon flies through the air back to you after you make a thrown ranged attack with it. It returns to you just before your next turn (and is therefore ready to use again in that turn). Catching the weapon when it comes back takes no action. If you can&rsquo;t catch it, or if you have moved since throwing it, the weapon drops to the ground in the square from which you threw it.</p>	1	CRB	195
12	Secured	<p>The secured fusion ties the weapon to a single owner. When you use your weapon, it functions normally, but when wielded by any other, it remains inert and useless. Any analog, nonmagical properties of the weapon that do not require ammunition or charges still function, so a club would still be a club, but a pistol becomes merely an improvised weapon. Only the person who places a secured fusion seal on a weapon can remove it from that weapon. Once removed, the fusion seal can be affixed to a new weapon by a new owner. Even if not the owner, a character trained in Mysticism can remove an installed secured fusion or fusion seal using a process similar to transferring a fusion (Core Rulebook 191). For a fusion, this costs half as much as purchasing the fusion for the weapon on which it is currently installed; for a seal, this is half the cost of the seal itself. The process takes 8 hours. Afterward, a fusion can be installed on a new weapon and assigned a new owner for the installation cost, and a fusion seal can be used normally.</p>	1	ARM	65
13	Soulfire	<p>The soulfire fusion (and soulfire fusion seals) can only be applied to solarian weapon crystals. When you hit a target with a solar weapon augmented by a solarian weapon crystal with the soulfire fusion, you add your Charisma bonus to the damage done, in addition to your Strength bonus.</p>	1	ARM	65
14	Stabilizing	<p>The stabilizing fusion helps you keep your orientation in zero gravity. While wielding such a weapon, you can steady yourself even if you don&rsquo;t have a surface to grab onto or a means of propulsion. If you do have such means, you can steady yourself as either a move action or a swift action. You gain a +4 bonus to checks to avoid gaining the off-kilter condition. Only melee weapons, small arms, and long arms can benefit from the stabilizing fusion.</p>	1	ARM	65
15	Trailblazer	<p>A weapon with the trailblazer fusion manages to alter the nature of its attacks to overcome the penalties of some natural environmental effects. Its attacks ignore the cover provided by bogs and the cover creatures submerged at least chest deep in water receive from attacks made from the surface. Fire damage dealt by the weapon to underwater targets does half normal damage (rather than the normal one-quarter), and other attacks made underwater deal full damage (rather than the normal half damage).<br />Additionally, ranged attack rolls with the weapon don&rsquo;t take a penalty due to the effects of storms, strong and severe winds, or windstorms. It can even be used to make ranged attacks in severe storms as if they were typical storms and in hurricane-force winds as if they were strong winds.<br />See Biomes on page 396 for more information on environments that impose attack penalties, and see Underwater Combat on page 405 for rules on attacking submerged targets.</p>	1	CRB	195
16	Anarchic	<p>The anarchic fusion imbues a weapon with divine energy from a chaotic deity. Any attacks with the weapon are chaotic-aligned. Damage from the weapon bypasses DR/chaotic and ignores the energy resistance of lawful dragons and lawful outsiders. The anarchic fusion can&rsquo;t be added to weapons that have the axiomatic fusion.</p>	2	CRB	192
17	Axiomatic	<p>The axiomatic fusion imbues a weapon with divine energy from a lawful deity. Any attacks with the weapon are lawful-aligned. Damage from the weapon bypasses DR/lawful and ignores the energy resistance of chaotic dragons and chaotic outsiders. The axiomatic fusion can&rsquo;t be added to weapons that have the anarchic fusion.</p>	2	CRB	192
18	Blasting	<p>The blasting fusion allows a weapon to make a single attack as a blast (see the blast weapon special property on page 180) once per day as a full action. This attack has a maximum range of 30 feet and deals half the weapon&rsquo;s normal damage. Only ranged weapons that don&rsquo;t have the automatic, explode, line, or thrown weapon special property can benefit from the blasting fusion. Weapons that don&rsquo;t require attack rolls to affect their targets also can&rsquo;t benefit from the blasting fusion.</p>	2	CRB	192
19	Burst	<p>With the burst fusion, a weapon&rsquo;s energy damage can form a small explosion that spills onto a second target. The weapon gains the arc critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the arc effect. The amount of damage dealt to the secondary target is equal to one-third the level of the weapon with the burst fusion (minimum 1). Only weapons that deal acid, cold, electricity, fire, or sonic damage can benefit from a burst fusion. If your weapon deals more than one type of energy damage, you select one of those types for the arc critical hit effect to apply to secondary targets when the fusion is added.</p>	2	CRB	193
20	Entangling	<p>A weapon with the entangling fusion gains the entangle weapon special property (see page 181). Only a single attack each day may benefit from this property, and you must announce before making an attack that it is an entangle attack. Regardless of how many targets you can hit with a single attack from your weapon, only a single target of your choice is affected by the entangle condition. The entangle effect ends after 1d4 rounds if the target has not already escaped it. Only weapons that do bludgeoning, piercing, slashing, or cold damage can benefit from this fusion.</p>	2	CRB	194
21	Holy	<p>A weapon with the holy fusion becomes blessed with divine energy from a good deity. Any attacks with the fused weapon are good-aligned. Damage from the weapon bypasses DR/good and ignores the energy resistance of evil dragons, evil outsiders, and evil undead. The holy fusion cannot be added to weapons that have the unholy fusion.</p>	2	CRB	194
22	Inspiring	<p>The inspiring fusion imbues a weapon with hope. When you score a critical hit using a weapon with the inspiring fusion, you and all allies within 60 feet gain a +2 morale bonus to saving throws against attacks, effects, and spells from the target of your attack for 1 minute. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the inspiring effect.</p>	2	ARM	63
23	Merciful	<p>A weapon with the merciful fusion often hums pleasantly when at rest and makes soft, airy musical noises when it is used to make an attack. The magic of this fusion subdues the damaging effect of the weapon it is added to. While this fusion is active, the weapon&rsquo;s regular damage becomes nonlethal damage. If the weapon deals two types of damage, both of the damage types become nonlethal. You can activate or deactivate the merciful fusion as a swift action.</p>	2	CRB	194
24	Opportunistic	<p>The opportunistic fusion guides your accuracy when making attacks of opportunity and leaves your foes vulnerable to your attack. You gain a +2 bonus to attacks of opportunity made with this weapon. If your attack of opportunity hits, you gain a +2 bonus to the damage roll for that attack of opportunity. This damage increases by 1 if the weapon is item level 5, and by an additional 1 for every 5 item levels thereafter. Only melee weapons can benefit from this fusion.</p>	2	ARM	64
25	Spellthrower	<p>A weapon with the spellthrower fusion is able to have a single spell gem loaded into it at a time. It takes 1 minute to load a spell gem, and only gems containing a spell with a casting time of one standard action or less and a spell level no greater than one-quarter the weapon&rsquo;s item level can be loaded into the weapon.<br />If you are proficient with and wielding the weapon, as a full action you can cast the spell contained within the spell gem rather than make a normal attack. This allows you to use the spell gem as if you were a spellcaster with the spell on your class&rsquo;s spell list.<br />Unlike the normal rules for using a spell gem, it does not matter if the gem&rsquo;s item level is higher than your caster level (even if your caster level is 0). However, if the spell gem&rsquo;s item level is higher than your base attack bonus, once you&rsquo;ve spent the full action to cast the spell, you must succeed at an attack roll with the weapon against an AC equal to the spell gem&rsquo;s level + 1 or you fail to cast the spell. This roll represents your expertise with the weapon, and no actual attack or ammunition is used. If you fail to cast a spell from a spell gem, the spell is expended harmlessly and the spell gem is destroyed.</p>	2	CRB	195
26	Throwing	<p>A weapon with the spellthrower fusion is able to have a single spell gem loaded into it at a time. It takes 1 minute to load a spell gem, and only gems containing a spell with a casting time of one standard action or less and a spell level no greater than one-quarter the weapon&rsquo;s item level can be loaded into the weapon.<br />If you are proficient with and wielding the weapon, as a full action you can cast the spell contained within the spell gem rather than make a normal attack. This allows you to use the spell gem as if you were a spellcaster with the spell on your class&rsquo;s spell list.<br />Unlike the normal rules for using a spell gem, it does not matter if the gem&rsquo;s item level is higher than your caster level (even if your caster level is 0). However, if the spell gem&rsquo;s item level is higher than your base attack bonus, once you&rsquo;ve spent the full action to cast the spell, you must succeed at an attack roll with the weapon against an AC equal to the spell gem&rsquo;s level + 1 or you fail to cast the spell. This roll represents your expertise with the weapon, and no actual attack or ammunition is used. If you fail to cast a spell from a spell gem, the spell is expended harmlessly and the spell gem is destroyed.</p>	2	ARM	65
27	Ulrikka duster	<p>Dwarven asteroid miners favor the Ulrikka duster fusion, which causes any weapon with it to take on an armored, stocky appearance. Attacks made with weapons with this fusion ignore half of a target item&rsquo;s hardness. Use of such weapons has helped more than one short-supplied dwarven mining crew remove the last bits of useful material from an asteroid while still remaining armed enough to fight off space pirates.</p>	2	PWD	195
28	Unholy	<p>The unholy fusion imbues a weapon with divine energy from an evil deity. Any attacks with the fused weapon are evil-aligned. Damage from the weapon overcomes DR/evil and ignores the energy resistance of good dragons and good outsiders. The unholy fusion can&rsquo;t be added to weapons that have the holy fusion.</p>	2	CRB	195
29	Venomous	<p>A weapon with the venomous fusion gains the injection weapon special property (see page 181). Only a single attack each day may benefit from this property, and you must announce before making an attack that it is an injection attack. Regardless of how many targets you can hit with a single attack from your weapon, only a single target of your choice is exposed to the drug, medicinal, or poison when you use the injection property in an attack. Only weapons that deal piercing or slashing damage can benefit from this fusion.</p>	2	CRB	195
30	Astute	<p>The fusion causes a weapon to become etched with glowing circuitry and ringed with faint blue-black flames. Stewards often use astute weapons as they hunt down criminals within the Pact Worlds. The DC of Bluff checks to feint against you and to use the operative&rsquo;s trick attack ability against you increases by 2 while you wield such a weapon.</p>	3	PWD	194
31	Binding	<p>Weapons with the binding fusion often feature decorative images of bars, gates, and manacles. A binding weapon gains the bind critical hit effect. When you score a critical hit on a target, you gain a +2 bonus to grapple checks you make against that target until the end of your next turn. If the weapon already has a critical hit effect, you can apply either the weapon&rsquo;s normal critical hit effect or the binding critical hit effect when you score a critical hit. You can add this fusion only to melee weapons.</p>	3	DS01	52
32	Conserving	<p>Weapons with the conserving fusion preserve their ammunition and charges after a miss. When you miss with a ranged attack roll, your charge or ammunition is not consumed, as though the weapon had never been fired. This fusion does not prevent your weapon from malfunctioning or breaking as a consequence of your attack. Only weapons that use arrows, batteries, darts, flares, grenade arrows, mini-rockets, rounds, or scattergun shells as ammunition can benefit from a conserving fusion.</p>	3	ARM	62
33	Deafening	<p>With the deafening fusion, a weapon releases a blast of low-frequency sonic energy on impact. The weapon gains the deafen critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the deafen effect. Only weapons that deal bludgeoning, piercing, slashing, or sonic damage can benefit from a deafening fusion.</p>	3	CRB	193
34	Defending	<p>Weapons with the defending fusion aid their wielder when blocking or fighting defensively. When you fight defensively while attacking with a weapon with this fusion, you gain a +1 bonus to attack rolls with the weapon (effectively reducing the penalty from fighting defensively to &ndash;3) and an additional +1 bonus to AC until the start of your next turn. Additionally, if your weapon has the block weapon special property, increase the enhancement bonus to your AC against melee attacks from that target to +2. Only melee weapons can benefit from this fusion.</p>	3	ARM	63
35	Dispelling	<p>A weapon with the dispelling fusion gathers spare wisps of latent magic during combat, which it can then unleash in a focused effort to dispel magic. The weapon gains dispelling as a critical hit effect in combat. This ability manifests only in high-stakes situations, so you must be in combat and facing a significant enemy (see page 242) for it to gain this critical hit effect. If there&rsquo;s any doubt about whether you&rsquo;re in combat or able to access the critical hit effect, the GM decides. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the dispelling effect. A target affected by the dispelling critical hit effect is the subject of a targeted dispel magic, as the spell, using the weapon&rsquo;s item level as the dispel check&rsquo;s caster level.</p>	3	CRB	193
36	Disruptive	<p>The disruptive fusion imbues a weapon with powerful positive energy designed to disrupt the magical forces that allow undead to exist. The weapon ignores any DR and energy resistance of undead creatures. Only weapons that deal bludgeoning damage can benefit from this fusion.</p>	3	CRB	193
37	Potent	<p>The potent fusion boosts the DC of saving throws associated with the weapon. When you attack using a weapon with this fusion, increase the DC for saving throws against the weapon&rsquo;s critical hit effects, other weapon fusions, weapon special properties, and any effect delivered by the weapon (such as an injected poison) by 1.</p>	3	ARM	64
38	Seeking	<p>The seeking fusion causes an attack from a weapon to veer toward its target. This negates any miss chance caused by the target having concealment, though it has no effect on miss chances from other sources (and does not offset the miss chance from a target having total concealment).</p>	3	CRB	195
39	Sentinel	<p>Like most weapon fusions designed for use on AbadarCorp weapons, the sentinel fusion makes a weapon richly ornamented, sometimes even gold-plated, and often adds icons of vault doors. Favored by colonists and corporate guards, once per day a sentinel weapon allows you to declare an area of up to 1,000 cubic feet as being under guard for up to 8 continuous hours. While wielding the sentinel weapon within an area under guard in this manner, you gain a +2 bonus to initiative checks and Perception checks.</p>	3	PWD	195
40	Valorous	<p>Your weapon whispers bolstering words into your mind, allowing you to withstand even mighty terrors such as the colossi of Daimalko. The DC to demoralize you increases by 1 while you wield the weapon, and you gain a +1 morale bonus to your saving throws against fear effects.</p>	3	NSP	150
41	Bonding	<p>A creation of the Brethedan biotech firm Life Innovations, a bonding weapon melds into your limb when you draw it (its coloration changes to match your skin tone). You gain a +2 circumstance bonus to your KAC against disarm and sunder combat maneuvers targeting the weapon.</p>	4	PWD	194
42	Burning	<p>Weapons with the burning fusion often take on an appearance that includes numerous flame-like elements. However, if applied to a weapon that already has visual details representing crows or ravens, the fusion adds further raven-like flourishes to the weapon instead. A weapon with the burning fusion gains the burn critical hit effect. The burn damage for the critical hit effect is 1d6 when the fusion is applied to a 4th- or 5th-level weapon, 2d6 when applied to 6th- to 10th-level weapons, 3d6 when applied to 11th- to 15th-level weapons, and 4d6 when applied 16th- to 20th-level weapons. If the weapon already has a critical hit effect, you can apply either the weapon&rsquo;s normal critical hit effect or the burn critical hit effect when you score a critical hit.</p>	4	DS01	51
43	Manufacturing	<p>Followers of the Prophecies of Kalistrade use manufacturing weapon fusions to ensure they are never without ammunition (or gouged by isolated traders for ammunition), even on long trade missions. This fusion often makes the weapon pearly white with gold accents. You can add up to 400 credits of UPBs to a manufacturing weapon as a swift action. When you do, the fusion&rsquo;s magic instantly manufactures ammunition inside the weapon worth an equal amount (which might mean recharging a battery) up to the maximum the weapon can carry. This ammunition is nonmagical and can be removed normally.</p>	4	PWD	195
44	Tactical	<p>You can add the tactical fusion only to a ranged weapon. Tactical weapons are traditionally associated with the mercenaries of the Skyfire Legion and the close bonds they often form with one another. Such weapons typically take on decorations of crossed blades, bundles of arrows, or similar sets of weaponry. When you use a tactical weapon to provide covering fire or harrying fire, the bonus granted increases by 1. This ability of this fusion doesn&rsquo;t stack with other abilities that increase the bonuses provided by covering fire or harrying fire.</p>	4	PWD	195
45	Vanishing	<p>The vanishing fusion can hide its wielder from the sight of one foe. Once per day after making an attack with your weapon, regardless of whether you hit your target, you can become invisible to that target per invisibility for a number of rounds equal to the weapon&rsquo;s item level. Any attacks you make (even against other targets) end your invisibility as normal. All creatures other than the target continue to be able to see you normally. Only small arms and weapons with the operative special property can benefit from this fusion.</p>	4	ARM	65
46	Accurate	<p>The accurate fusion bestows exceptional balance and handling on a weapon. When you take a move action to aim a weapon with this fusion at a specific target, you gain a +1 bonus to your next attack roll with that weapon provided neither you nor your target has moved since you aimed. You also gain this bonus if you take a move action to aim for other purposes, such as aiming a weapon with the sniper special property. Only ranged weapons can benefit from this fusion.</p>	5	ARM	62
47	Apprehending	<p>The apprehending fusion causes the weapon to grow spikes and overwrought iron fixtures, as befits its use by the Hellknights. When an apprehending weapon hits an enemy, you can activate the fusion as a reaction to perform a trip combat maneuver against that target with the same attack bonus as for the weapon attack. Additionally, the target must succeed at a Fortitude saving throw (DC = 10 + half the weapon&rsquo;s item level + the ability score modifier you apply to attack rolls with the weapon) or be unable to cast spells or spell-like abilities for 1 round. Once the weapon has used this ability, it cannot use it again until you take a 10-minute rest to regain Stamina Points.</p>	5	PWD	194
48	Bane	<p>The bane fusion enhances the power of critical hits against certain foes. Against a designated foe, the bane weapon gains the stunned critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit against an appropriate foe, you can apply either the weapon&rsquo;s normal critical hit effect or the stunned effect. When you add this fusion to a weapon (or create it as a fusion seal), you must select a single creature type (aberration, animal, construct, dragon, fey, humanoid, magical beast, ooze, outsider, plant, undead, or vermin) against which it will apply. If you select humanoid or outsider, you must also select one subtype. The stunned critical hit effect applies only against creatures of the selected type (and subtype, if selected). Once selected, the creature type and subtype can&rsquo;t be changed.</p>	5	CRB	192
49	Bleeding	<p>The bleeding fusion weaves entropic energy into the weapon&rsquo;s form. The weapon gains the bleed critical hit effect (see page 182). The amount of damage taken each round from this effect is equal to 1d6 per 5 levels of the weapon, rounded down. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the bleed effect. Only weapons that deal piercing or slashing damage can have this fusion.</p>	5	CRB	193
50	Bombarding	<p>The bombarding fusion allows a weapon to duplicate the effect of a single grenade that is loaded into an extradimensional space within the weapon. Loading a grenade into a weapon with the bombarding fusion takes a full round, as does removing a previously loaded grenade. A grenade loaded into a weapon with the bombarding fusion cannot have an item level greater than the weapon&rsquo;s item level. The grenade cannot be detonated, sundered, or otherwise affected while it is within this extradimensional space, and if the weapon is destroyed or gains the broken condition, the grenade is permanently destroyed.<br />Once per day, a weapon with the bombarding fusion can launch a mystic version of the loaded grenade. This acts as throwing the grenade, and uses the same proficiency and range increment as throwing a grenade, but does not require a free hand. As long as you are wielding a weapon with the bombarding fusion and it has not yet used this ability, you can launch the grenade as a ranged attack. Once this ability has been used, the loaded grenade can be removed from the extradimensional space, but a new grenade cannot be loaded into it until 24 hours have passed.</p>	5	ARM	62
51	Devastating	<p>You can apply the devastating fusion only to a weapon with two or more critical hit effects. When you score a critical hit with a weapon that has the devastating fusion, you can select two of the critical hit effects to apply to the target (even if you are normally required to select just one critical hit effect).</p>	5	CRB	193
52	Energetic	<p>A projectile weapon with the energetic fusion relies on energy rather than physical ammunition to generate kinetic attacks. Instead of being loaded with darts, rounds, or scattergun shells, the weapon is loaded with a battery. The type of battery the projectile weapon uses depends on its original capacity as follows: 1&ndash;20 use batteries, 21&ndash;40 use high-capacity batteries, 41&ndash;80 use super-capacity batteries, and 81 or more use ultracapacity batteries. The weapon&rsquo;s usage does not change, but it takes charges from the installed battery, rather than expending physical ammunition. The fusion converts the energy into physical bullets which target KAC and deal damage normally for the weapon. Only weapons in the projectile category that would normally use darts, rounds, or scattergun shells can benefit from the energetic fusion.</p>	5	ARM	63
53	Flaming	<p>The flaming fusion imbues a weapon with the fiery power of a star. Half the weapon&rsquo;s damage type is replaced with fire damage. You can activate or deactivate the flaming fusion as a swift action. If the weapon already deals two types of damage, replace one of them with fire (you decide which damage type to replace each time you activate the flaming fusion). You can add this fusion only to a weapon that does not already deal fire damage. This fusion never causes a weapon that normally targets KAC to target EAC.</p>	5	CRB	194
54	Frost	<p>The frost fusion imbues a weapon with the icy cold of a dead world far from its system&rsquo;s sun. Half the weapon&rsquo;s damage type is replaced with cold damage. You can activate or deactivate the frost fusion as a swift action. If the weapon already deals two types of damage, replace one of them with cold (you decide which damage type to replace each time you activate the frost fusion). You can add this fusion only to a weapon that does not already deal cold damage. This fusion never causes a weapon that normally targets KAC to target EAC.</p>	5	CRB	194
55	Ghost killer	<p>Attacks from a weapon with this fusion deal full damage to incorporeal creatures. They also pass into the Ethereal Plane, allowing such attacks to affect ethereal creatures normally. Weapons with the ghost killer fusion can also score critical hits against incorporeal creatures. In addition, an incorporeal creature (though not an ethereal one) can pick up, move, or wield a ghost killer weapon.</p>	5	CRB	194
56	Interposing	<p>You can add the interposing fusion only to a melee weapon. Developed and popularized by the Knights of Golarion, this fusion generally adds shining sword icons to the weapon. Whenever you hit an enemy with an interposing weapon, you and all adjacent allies gain a +1 enhancement bonus to AC against that enemy&rsquo;s melee attacks until the beginning of your next turn.</p>	5	PWD	195
57	Limning	<p>Successful attacks with a weapon with the limning fusion surround the target with a glowing aura. For 1 round after you successfully attack a single creature with your weapon, it is surrounded by a pale glow that reveals its location. While so illuminated, the creature takes a &ndash;20 penalty to Stealth checks and does not benefit from concealment provided by darkness, invisibility, smoke, and similar effects. However, displacement and other effects that shift location entirely are not negated. The light is too dim to harm creatures vulnerable to light and does not serve to illuminate anything but the creature affected by limning. Limning weapons create glows in a variety of hues, and some even bestow a variety of colors. The limning fusion has no effect on attacks that affect multiple foes.</p>	5	ARM	64
58	Numbing	<p>Incorporating polar ice from particularly cold planets such as Vesk-7, this fusion causes the attached weapon to deliver a creeping numbness. Once per day, when a numbing weapon deals cold damage to an enemy, you can activate the fusion as a reaction to make a disarm attempt against that target with the same attack bonus as the weapon attack. The target must also succeed at a Fortitude saving throw (DC = 10 + half the weapon&rsquo;s item level + the ability score modifier you apply to attack rolls with the weapon) or feel a lack of sensation in its limbs, taking a &ndash;4 penalty to attack rolls, melee damage rolls, and Reflex saving throws for 1 round. The numbing weapon can be applied only to weapons that deal cold damage.</p>	5	NSP	150
59	Obscuring	<p>A weapon with the obscuring fusion emits mist, smoke, or a similar obscuring vapor when wielded. After attacking with the weapon, as a move action you can cause the weapon to emit enough vapor to conceal you until the start of your next turn. This effect ends immediately if you move for any reason from where you made your attack. This concealment does not interfere with your attacks or benefit others, even if they move into the space you attacked from, and you can&rsquo;t use it to hide. Conditions such as strong wind or vacuum that quickly disperse vapors negate this concealment. Only projectile weapons or those that deal cold or fire damage can benefit from this fusion.</p>	5	ARM	64
60	Punishing	<p>Subsequent wounds from a weapon with the punishing fusion have greater effect. When you damage a creature with the weapon, you receive a +1 bonus to damage against that target with this weapon until the end of your turn. If you successfully damage the same creature with this weapon multiple times in the same round, the bonus increases by 1 on each additional attack. If you damage a creature with this weapon when it isn&rsquo;t your turn, such as with an attack of opportunity, the bonus lasts until the end of your next turn after the attack.</p>	5	ARM	65
61	Selective	<p>With the selective weapon fusion, you can exclude a single target from a weapon&rsquo;s area of effect. When using a selective weapon to make an automatic, blast, explode, line, or other form of area attack that affects multiple targets, you can choose a single target to leave out of the area of effect.</p>	5	ARM	65
62	Shock	<p>The shock fusion weaves the electrical energy of the universe into the weapon&rsquo;s form. Half the weapon&rsquo;s damage type is replaced with electricity damage. You can activate or deactivate the shock fusion as a swift action. If the weapon already deals two types of damage, replace one of them with electricity (you decide which damage type to replace each time you activate the shock fusion). You can add this fusion only to a weapon that does not already deal electricity damage. This fusion never causes a weapon that normally target KAC to target EAC.</p>	5	CRB	195
63	Vicious	<p>Vicious weapons have sinister appearances. A vicious weapon gains the boost special weapon property, but when you make an attack with the boosted damage, you take damage equal to the additional boost damage. This damage applies even if your attack misses, and it is not reduced by DR, resistance, or any other ability. The boost is 1d4, plus an additional 1d4 for every 6 item levels the weapon has. If the weapon does not use charges or ammunition, boosting it takes a standard action and does not expend any additional charges or ammunition. You cannot boost an attack made with the automatic, blast, explode, or line weapon special property. Weapons that have the boost special weapon property cannot be vicious.</p>	5	DS02	53
64	Adaptive	<p>An weapon fitted with an adaptive fusion adjusts to any target it hits repeatedly. The fusion&rsquo;s benefits can be granted against only one target at a time. Once the weapon hits a new target, it resets and starts building up momentum against that target, losing the benefits it might have had for any previous target. An adaptive weapon gains the following benefits depending on how many hits it has scored against a given target. The effects are cumulative.<br />3+ Hits: The weapon ignores an amount of the target&rsquo;s energy resistance or damage resistance equal to half the weapon&rsquo;s item level.<br />5+ Hits: The weapon gains an enhancement bonus to damage equal to half the item level.<br />7+ Hits: The target is flat-footed against attacks made with this weapon.</p>	6	A!01	52
65	Advancing	<p>When you defeat a foe, a weapon with the advancing fusion draws you further into the fray. The first time each round that you make a successful melee attack with an advancing weapon that drops a foe (by killing it or rendering it unconscious), you can take a guarded step as a reaction. This movement must move you closer to at least one foe.</p>	6	ARM	62
66	Agonizing	<p>Once per day when you successfully attack a foe with a weapon with the agonizing fusion, you can cast inflict pain on the target as a spell-like ability (using the weapon's item level as the caster level). This doesn't provoke an attack of opportunity. If the weapon with this fusion has an item level of 11 or higher, you can use this ability twice per day, and if it has an item level of 16 or higher, you can use this ability three times per day.</p>	6	SS2	53
67	Chained	<p>Weapons with the chained fusion gain a short chain that dangles from the haft or handle. The chain magically extends to enable the weapon to attack foes beyond the wielder&rsquo;s immediate reach. A chained weapon gains the reach weapon special property for the first attack made with it each round. After it has been used for an attack, the weapon loses the reach weapon special property until the beginning of your next turn. You can add this fusion only to melee weapons.</p>	6	DS01	52
68	Cruel	<p>The cruel fusion feeds on fear and despair. When you strike a target that is frightened, panicked, or shaken with a weapon with this fusion, the target is sickened for 1 round. When you make a successful attack that drops a foe (either by killing it or knocking it unconscious), you gain 5 temporary Hit Points that last for 10 minutes. Weapons with the nonlethal special property cannot benefit from the cruel fusion.</p>	6	ARM	63
69	Dampening	<p>On a critical hit, a weapon with the dampening fusion can suppress any vibration-based blindsense the target has for 1d4 rounds. The target can negate this effect with a successful Fortitude save. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon&rsquo;s normal critical hit effect or the dampening effect.</p>	6	A!02	44
