id	name	prerequisities	description	long_description	combat	source	source_page
11	Blood in Their Eyes	null	Your critical hits with slashing attacks make foes dazzled	<p>When you score a critical hit with a weapon that deals slashing damage, in addition to any other critical hit effect you would normally apply, you also impose the dazzled condition on the target. The condition lasts until ended by any action or effect that would end the bleeding condition.</p>|	yes	COM	113
12	Bodyguard	null	Add a +2 bonus to an adjacent ally’s AC as a reaction	<p>As a reaction when an adjacent ally is attacked, you can grant that ally a +2 circumstance bonus to its AC against that attack. If you do so, you take a –2 penalty to your own Armor Class until the beginning of your next turn.</p>|	yes	CRB	155
13	Cleave	Str 13, base attack bonus +1	Make an additional melee attack if the first one hits	<p>As a standard action, you can make a single melee attack against a foe within reach. If you hit, you deal damage normally and can make an additional melee attack (using your full base attack bonus) against a foe that is adjacent to the first and also within reach. You can make only one additional attack per round with this feat. When you use this feat, you take a –2 penalty to your Armor Class until your next turn.</p>|	yes	CRB	155
14	Close Combat	Base attack bonus +1	#ERROR!	<p>When you hit an adjacent foe with a melee attack, as long as you are adjacent to that target, you gain a +2 circumstance bonus to your AC against attacks from other creatures that are not adjacent to you until the beginning of your next turn.</p>|	yes	PWD	190
15	Combat Casting	Ability to cast 2nd-level spells	#ERROR!	<p>You gain a +2 bonus to your Armor Class and saving throws against attacks of opportunity you provoked by casting a spell and against readied actions triggered by your spellcasting.</p>|	yes	CRB	156
16	Constant Alert	Wis 11, character level 5th	Reroll your initiative check and automatically win ties	<p>Once per day, you can reroll an initiative check. You also win tied initiative checks as though you had the higher initiative bonus. If multiple characters have this feat, ties are resolved normally.</p>|	yes	COM	113
17	Cook Grenade	Dex 11, proficiency with grenades	Time your release of a grenade to increase its effectiveness	<p>As a full action, you can draw a grenade and make a ranged attack with it. If you do so, the grenade’s Reflex save DC is increased by 2. If your attack roll is a natural 1 (the d20 comes up 1), the grenade instead detonates at a randomly determined grid intersection of your space.</p>|	yes	COM	113
18	Coordinated Shot	Base attack bonus +1	Allies gain a +1 bonus to ranged attacks against foes you threaten	<p>When you are threatening a foe with a melee weapon, any ally that has line of sight to that foe without you granting that foe cover gains a +1 bonus to ranged attack rolls against that foe.</p>|	yes	CRB	156
19	Craven Ploy	Cha 13	Willing ally takes -2 to AC to increase your AC by 2	<p>As a reaction when you are attacked while adjacent to an ally, if that ally is willing to take a -2 penalty to her Armor Class until the beginning of her next turn, you gain a +2 circumstance bonus to your AC against that attack.</p>|	yes	SS1	52
20	Deadly Aim	Base attack bonus +1	Take a −2 penalty to weapon attacks to deal extra damage	<p>When you take the attack or full attack action with weapons (including a solarian’s solar manifestation, but not spells or other special abilities of any kind), you can take a –2 penalty to your attack rolls. If you do, those attacks deal additional damage equal to half your base attack bonus (minimum 1).</p>|	yes	CRB	156
21	Defensive Roll	Dex 19, Acrobatics 10 ranks	Attempt an Acrobatics check in place of a Reflex save or to dodge an attack	<p>As a reaction when you are attacked or when you must attempt a Reflex saving throw, you can attempt an Acrobatics check. If you use this ability as a reaction to an attack and your Acrobatics check result exceeds your opponent’s attack roll result, the attack misses you. If you use this ability as a reaction when you must attempt a Reflex saving throw, you can use your Acrobatics check result as your Reflex save result. Once you use this ability, you cannot do so again until you regain Stamina Points after a 10-minute rest. After you use this ability, you are staggered on your next turn.</p>|	yes	COM	113
22	Defensive Striker	Dex 13, base attack bonus +1, armor training trait	You were born to fight your enemies, and nobody does it better.	<p>While wearing light or heavy armor, you don’t take a –2 penalty to AC when you use the Cleave feat or the Lunge feat or when you charge.</p>|	yes	NSP	130
23	Deflect Projectiles	Base attack bonus +8	Spend 1 Resolve Point to attempt to avoid a ranged attack	<p>When you would be hit by a ranged attack from a weapon or spell that deals energy or kinetic damage, you can spend 1 Resolve Point as a reaction to make an attack roll with a nonarchaic melee weapon that deals the same general category of damage (energy or kinetic) with a +5 bonus. If your attack roll is higher than the attack roll that hit you, you deflect the attack with your weapon, and it misses. This doesn’t work against area attacks, even against area attacks that have attack rolls like blast weapons, and you can’t use this reaction if you aren’t capable of making an attack with an appropriate weapon.</p>|	yes	CRB	156
24	Dire Straits	Con 15	Stabilize when you have no Hit Points or Resolve Points left	<p>Once per day, when you are reduced to 0 Hit Points and have no Resolve Points remaining, you immediately stabilize.</p>|	yes	COM	113
25	Dive for Cover	Base Reflex save bonus +2	Fall prone in an adjacent square to roll a Reflex save twice	<p>When you attempt a Reflex save against an area attack or area effect, you can fall prone in an adjacent square and roll that Reflex save twice (taking the better result of the two). If you were in a threatened space, this movement provokes attacks of opportunity normally.</p>|	yes	CRB	156
26	Double Draw	Four or more arms	Your limbs allow you to manipulate multiple weapons.	<p>You can draw, reload, or sheathe two weapons with the same action normally required to do so with one weapon.</p>|	yes	COM	21
27	Double Tap	Weapon Focus (small arms), proficiency with small arms	Expend double the normal ammunition to gain bonuses to attack and damage with a small arm	<p>As a standard action, you can take a single attack action to make a double-tap attack with a small arm. This attack gains a +1 bonus to the attack roll, and your bonus to damage from Weapon Specialization is equal to your character level (rather than half your character level). The small arm used cannot have the blast, explode, flexible line, line, unwieldy, or wide line weapon special properties, or any other property that allows it to attack multiple targets or an area in a single attack. This attack cannot benefit from the boost, guided, or variant boost weapon special properties, or any other ability or effect that is a move action and alters the effect of your attack or damage. This expends ammunition equal to two attack rolls, and if you cannot expend that ammunition, you cannot use this ability.</p>|	yes	COM	114
28	Drag Down	null	When you are tripped, you can attempt to trip an adjacent foe	<p>Whenever an opponent successfully uses the trip combat maneuver against you, you can attempt to trip an adjacent opponent as a reaction.</p>|	yes	CRB	157
29	Far Shot	Base attack bonus +1	Reduce penalty due to range increments	<p>You take only a –1 penalty per full range increment between you and your target when using a ranged weapon.</p>|	yes	CRB	157
30	Fleet	null	Increase your base speed	<p>While you are wearing light or no armor, your land speed increases by 10 feet. When you are encumbered, your land speed instead increases by only 5 feet. When you are overburdened, your speed is reduced to 10 feet.</p>|	yes	CRB	157
31	Focused Spellcaster	Combat Casting, ability to cast 4th-level spells	Spend a resolve point to stop a spell from failing from taking damage	<p>If your spell would fail as a result of you taking damage either from a successful attack or from an effect that you failed a saving throw against during the casting of the spell, as a reaction you can spend a Resolve Point to prevent the spell from failing. You suffer the effects of the attack as normal, but as long as you remain able to complete the spellcasting after the attack, you successfully cast the spell.</p>|	yes	PWD	191
32	Fouling Reposition	Improved Combat Maneuver (reposition)	Reposition a foe to throw it and another creature off balance	<p>When you succeed at a reposition combat maneuver against a creature and move your target so it ends its movement adjacent to a second creature, both creatures become off-target until the beginning of your next turn.</p>|	yes	COM	115
33	Fusillade	Base attack bonus +1, four or more arms	Make an automatic-mode attack with multiple small arms	<p>As a full attack when you are wielding four or more identical small arms, you can fire them all simultaneously to duplicate the effects of an automatic weapon. You use all of the ammunition in all the small arms used, and you treat this as an attack in automatic mode. Add all the ammunition expended from all of your small arms when determining the maximum number of creatures you can hit.</p>|	yes	CRB	157
34	Grab Attention	Intimidate 5 ranks	Make a foe you hit in melee off-target when attacking anyone other than you	<p>When you hit a target with a melee attack, you can attempt an Intimidate check, using the same DC as you would to demoralize that foe. If you succeed, the creature is off-target while attacking anyone other than you until the beginning of your next turn. A creature can be affected by this ability only once per day</p>|	yes	COM	115
35	Grappler Pull	Str 11	Use a grappler to draw your foes closer to you	<p>When you grapple a creature with a grappler (Core Rulebook 219), you can attempt a reposition combat maneuver against that creature on your next turn as though it were within your reach. If you succeed, you can move the target only directly toward you.</p>|	yes	COM	115
36	Great Cleave	Str 13, Cleave, base attack bonus +4	Make an additional melee attack after each melee attack that hits	<p>If you strike a second target with the Cleave feat, you can spend 1 Resolve Point to make a melee attack against each subsequent foe that is both adjacent to the last target and within your reach, as long as you hit the previous foe. You can’t attack an individual foe more than once during this attack action.</p>|	yes	CRB	157
37	Greater Feint	Improved Feint, base attack bonus +6	Foes you feint against are flat-footed for 1 round	<p>Whenever you successfully feint in combat, the foe gains the flat-footed condition until the end of your next turn.</p>|	yes	CRB	157
38	Grenade Mastery	Proficiency with grenades	Increase the saving throw DCs of grenades you use	<p>The save DC of any grenade you use is increased by 1. If the grenade has an item level 5 or more lower than your base attack bonus, you instead increase the DC by 2.</p>|	yes	COM	115
39	Grenade Proficiency	null	No penalty to attacks made with grenades	<p>You gain proficiency in grenades.</p>|	yes	CRB	157
40	Ground Fighting	Str 11	Ignore penalties to unarmed attacks when grappled, pinned, or prone	<p>The normal penalties to attack rolls from being grappled, pinned, and prone don’t apply to your unarmed attacks. The penalties from the pinned condition don’t apply to your attempts to grapple your opponent or free yourself.</p>|	yes	COM	115
41	Heavy Armor Proficiency	Str 13, proficiency in light armor	No penalty to attack rolls while wearing heavy armor	<p>You gain proficiency in heavy armor.</p>|	yes	CRB	158
42	Heavy Weapon Proficiency	Str 13, proficiency in small arms and longarms	No penalty to attacks with heavy weapons	<p>You gain proficiency in heavy weapons.</p>|	yes	CRB	158
43	Improved Combat Maneuver	Base attack bonus +1	#ERROR!	<p>Choose one combat maneuver (bull rush, dirty trick, disarm, grapple, reposition, sunder, or trip). You gain a +4 bonus to your attack roll to resolve that combat maneuver.</p>|	yes	CRB	158
44	Improved Critical	Base attack bonus +8	The DC to resist the critical effects of your critical hits increases by 2	<p>When you score a critical hit with a weapon, increase the DC to resist that weapon’s critical effect by 2.</p>|	yes	CRB	158
45	Improved Feint	null	Use Bluff to feint as a move action	<p>You can use Bluff to feint in combat as a move action.</p>|	yes	CRB	158
46	Improved Initiative	null	#ERROR!	<p>You gain a +4 bonus to initiative checks</p>|	yes	CRB	158
47	Improved Sidestep	Dex 17, Mobility or trick attack class feature, Sidestep	Reduce penalties from Sidestep	<p>After sidestepping an opponent’s missed attack using the Sidestep feat, you can still take a guarded step during your next turn, or you can move up to your full speed if you take an action to move during your next turn.</p>|	yes	CRB	158
48	Improved Stand Still	Stand Still	#ERROR!	<p>You gain a +4 bonus to your melee attack roll for Stand Still.</p>|	yes	CRB	158
49	Improved Unarmed Strike	null	Deal more damage and threaten squares with unarmed strikes	<p>You don’t threaten any squares with unarmed attacks, and you must have a hand free to make an unarmed attack.</p>|	yes	CRB	158
50	In Harm’s Way	Bodyguard	Take the damage of a successful attack against an adjacent ally	<p>When an attack hits an ally whose Armor Class you have increased with the Bodyguard feat, you can intercept the attack. You take all damage and associated effects from that attack, and once you intercept the attack, no other ability can redirect it. This ability takes no action, but you can intercept only one attack in this way each round.</p>|	yes	CRB	158
51	Indirect Retreat	Dex 13, Mobility	Allows you to turn during full action run	<p>When you run as a full action, you don't have to move in a straight line, you can run across difficult terrain, and you don't gain the flat-footed condition.</p>|	yes	SS1	52
52	Instant Crater	Base attack bonus +5	Weapons with the explode special property create difficult terrain	<p>As a standard action, you can make a ranged attack using a weapon that has the explode weapon special property, targeting an intersection as normal and choosing one square adjacent to that intersection. If you hit the targeted intersection and your damage roll exceeds the hardness of the material of the chosen square, that square becomes difficult terrain. This is in addition to the normal effects of the weapon.</p>|	yes	COM	116
53	Jet Charge	Piloting 3 ranks	Boost your charge attacks with jets to move farther	<p>You can activate a jetpack or jump jets armor upgrade (or similar equipment) as part of a charge action. If you do, you can move up to three times the fly speed normally granted by that equipment.</p>|	yes	COM	116
54	Kasathan Battle Dance	Dex 13, Mobility or trick attack	Withdrawing with two hands free does not provoke attacks of opportunity	<p>When you take the withdraw action and have at least two hands free, none of the squares you move through are considered threatened by any opponent whose location you are aware of (see The Four States of Awareness on page 261 of the Starfinder Core Rulebook).</p>|	yes	PWD	191
55	Kip Up	Acrobatics 1 rank	Stand from prone as a swift action	<p>You can stand from prone as a swift action, rather than a move action.</p>|	yes	CRB	158
56	Laugh at Danger	Con 13	Grant an ally a +2 morale bonus to AC as a reaction when you take Hit Point damage	<p>As a reaction when you take Hit Point damage from a significant enemy (Core Rulebook 242) that doesn’t reduce you to 0 Hit Points, you can grant allies within 30 feet a +2 morale bonus to AC until the end of your next turn. This is a sense-dependent effect. Once you’ve used this ability, you can’t use it again until you take a 10-minute rest to regain Stamina.</p>|	yes	COM	116
57	Light Armor Proficiency	null	No penalty to attack rolls while wearing light armor	<p>You gain proficiency in light armor.</p>|	yes	CRB	159
58	Living Ladder	Str 17	Hit an adjacent foe with an unarmed attack to stand and possibly knock them prone	<p>When you’re prone and hit a target with an unarmed attack, you can stand without using an action. If the target of your unarmed attack is your size or smaller and your attack roll result exceeds their AC by 5 or more, that target falls prone.</p>|	yes	COM	116
59	Longarm Proficiency	Proficiency in small arms	No penalty to attacks with longarms	<p>You gain proficiency in longarms.</p>|	yes	CRB	159
60	Lung Puncture	null	Your critical hits with piercing weapons cause foes to be fatigued	<p>When you score a critical hit with a weapon that deals piercing damage, in addition to any other critical hit effect you would apply, you also impose the fatigued condition on the target for 1d4 rounds.</p>|	yes	COM	116
61	Lunge	Base attack bonus +6	Increase reach of melee attacks by 5 feet until the end of your turn	<p>You can increase the reach of your melee attacks by 5 feet until the end of your turn by taking a –2 penalty to your Armor Class until the beginning of your next turn. You must decide to use this ability before making any attacks in the round.</p>|	yes	CRB	159
62	Many-Handed Master	Four or more arms	You use your many limbs to counter combat maneuvers.	<p>As long as you are not flat-footed, paralyzed, staggered, stunned, or unconscious, you gain a +2 bonus to your KAC against combat maneuvers.</p>|	yes	COM	21
63	Melt Defenses	Base attack bonus +11	On a critical hit, cause further attacks against a foe to target EAC	<p>When you score a critical hit with an attack that deals acid damage, instead of applying the normal critical hit effect, you can disrupt the target’s defenses for 1d4 rounds. Attacks against a creature whose defenses have been disrupted in this manner target EAC, regardless of the attacks’ damage type.</p>|	yes	COM	116
64	Mobility	Dex 13	#ERROR!	<p>You gain a +4 bonus to your Armor Class against attacks of opportunity that you provoke by leaving a threatened square.</p>|	yes	CRB	160
65	Momentous Attack	Str 11, Athletics 5 ranks	On a melee critical hit, move 5 feet	<p>When you score a critical hit with a melee weapon against an adjacent enemy, you can immediately move 5 feet to any square adjacent to both you and your target. This movement does not provoke attacks of opportunity. This effect is in addition to any other critical hit effects.</p>|	yes	COM	117
66	Multi-Weapon Fighting	null	Reduce the penalty for full attacks when using multiple small arms or operative melee weapons	<p>When you make a full attack with two or more small arms or with two or more operative melee weapons, reduce the penalty for making a full attack by 1.</p>|	yes	CRB	160
67	Mystic Strike	Ability to cast spells	Melee and ranged attacks count as magic	<p>Your melee and ranged attacks count as magic for the purposes of bypassing damage reduction and other situations, such as attacking incorporeal creatures.</p>|	yes	CRB	160
68	Nimble Moves	Dex 15	Ignore 20 feet of difficult terrain when you move	<p>You can move through up to 20 feet of difficult terrain each round as if it were normal terrain. This feat allows you to take a guarded step into difficult terrain.</p>|	yes	CRB	160
69	Opening Volley	null	#ERROR!	<p>Whenever you deal damage to an opponent with a ranged attack on your first turn in a combat, you gain a +2 circumstance bonus to your next melee attack roll against that opponent. This melee attack must occur before the end of your next turn.</p>|	yes	CRB	160
70	Parting Shot	Dex 15, Mobility, Shot on the Run, base attack bonus +6	Make a single ranged attack when withdrawing	<p>When using the withdraw action, you can make a single ranged attack at any point during your movement. If you have the trick attack class feature and are using an appropriate weapon, you can add your trick attack damage to the attack you make while withdrawing. Once you use this ability, you can’t use it again until the next time you regain Stamina Points with a 10-minute rest.</p>|	yes	CRB	160
71	Penetrating Attack	Base attack bonus +12	Reduce enemy's DR and energy resistance against your weapons by 5	<p>Reduce your target's energy resistances and damage reduction by 5 against your weapon attacks.</p>|	yes	CRB	160
72	Pinpoint Hurler	Str 15	Reduce the distance your thrown weapons travel when they miss	<p>If you miss on a ranged attack with a thrown weapon (Core Rulebook 245), you can reduce the result of the d4 roll to determine how many squares away the weapon lands by 1.</p>|	yes	COM	117
73	Powered Armored Proficiency	Str 13, base attack bonus +5, proficiency in light and heavy armor	No penalty to attack rolls while wearing powered armor	<p>You gain proficiency in powered armor.</p>|	yes	CRB	160
74	Pull the Pin	Improved Combat Maneuver (disarm)	Perform a disarm to activate a foe’s grenade	<p>When you make a successful disarm combat maneuver against a foe that you know has grenades, rather than disarming the foe of a weapon, you can activate one grenade in the foe’s possession. You can activate only a grenade that is ready to be drawn and thrown (not, for example, a grenade stowed away within an equipment pack). The grenade explodes at the end of your current turn, unless it has a delayed fuse that causes it to go off 1 round or more after it is activated.<br/> The foe takes a –2 penalty to the saving throw against this grenade, and the grenade’s explosion has half its normal area.</p>|	yes	CRB	160
75	Quick Draw	Base attack bonus +1	Draw a weapon as a swift action	<p>You can draw a weapon as a swift action. Additionally, when making an attack using a thrown weapon as an attack or full attack action, you can draw a weapon as part of the action of making a thrown attack with it. You can draw a hidden weapon as a move action.</p>|	yes	CRB	160
76	Reflect Projectiles	Deflect Projectiles, base attack bonus +16	Spend 1 Resolve Point to attempt to redirect a ranged attack	<p>When you successfully deflect an attack with the Deflect Projectiles feat, you can spend 1 additional Resolve Point to redirect the attack at a target within 60 feet to which you have line of effect. Make a ranged attack at a –4 penalty against the appropriate Armor Class of the new target. If your attack succeeds, the target is damaged as if it had been the target of the original attack.</p>|	yes	CRB	161
77	Ricochet Grenade	Proficiency with grenades, base attack bonus +7	Bounce a grenade off a wall to reach difficult spots	<p>As a standard action, you can make a ranged attack with a grenade, targeting an intersection that’s adjacent to a wall or large object. If you hit, you can pick a direction for the grenade to travel and then roll 1d4 to determine how far from the targeted intersection the grenade lands. The direction must be away from the wall or object, and not parallel to or through it. If you miss, use the normal rules for missing with a thrown weapon (Core Rulebook 245).</p>|	yes	COM	117
78	Sacred Strike	Worship a deity of an alignment within one step of your own	Treat your attacks as having your deity’s alignment	<p>When you make an attack as a standard action against a creature, your attack is treated as having the same alignment as the deity you worship for the purposes of overcoming damage reduction.</p>|	yes	COM	118
79	Shelter Ally	Bodyguard, natural reach of 10 feet or more	Use Bodyguard to protect allies within reach and increase the bonus and penalty by 1 when protecting a smaller creature	<p>You can use Bodyguard to protect an ally within your natural reach, rather than just an adjacent ally. The bonus and penalty to AC from the Bodyguard feat are each increased by 1 when you use the ability on a smaller ally.</p>|	yes	COM	118
80	Shield Block	Proficiency with shields	Spent 1 Resolve Point as a reaction to reduce damage from area effects	<p>As a reaction when you would take damage from an effect that allows a Reflex save, you can spend a Resolve Point to reduce the damage you take from that effect by an amount equal to your shield’s item level.</p>|	yes	COM	118
81	Shield Proficiency	null	Gain proficiency with shields	<p>Mechanics with an exocortex, solarians, soldiers, and vanguards gain proficiency with shields automatically at 1st level.</p>|	yes	COM	118
82	Shot on the Run	Dex 15, Mobility, base attack bonus +4	Make a ranged attack at any point during movement	<p>As a full action, you can move up to your speed and make a single ranged attack at any point during your movement. If you have the trick attack class feature, you can take your movement from trick attack at any time during a trick attack with a ranged weapon (instead of only before).</p>|	yes	CRB	161
83	Sidestep	Dex 15, Mobility or trick attack class feature	Take guarded step as a reaction when a foe misses you with melee attack	<p>Whenever an opponent misses you with a melee attack, you can take a guarded step as a reaction, as long as you remain within that opponent’s threatened area. If you take this step, you can’t take a guarded step during your next turn. If you take an action to move during your next turn, subtract 5 feet from your total movement.</p>|	yes	CRB	161
84	Slam Down	null	Your critical hits with bludgeoning weapons knock down your foes	<p>When you score a critical hit with a weapon that deals bludgeoning damage, in addition to any other critical hit effect you would apply, you also apply the knockdown critical hit effect. If the attack would already apply a knockdown critical hit effect, you can choose to also move the target 1d4×5 feet directly away from you.</p>|	yes	COM	118
85	Slippery Shooter	Dex 15, base attack bonus +6	#ERROR!	<p>You gain a +3 bonus to your Armor Class against attacks of opportunity you provoke by making a ranged attack.</p>|	yes	CRB	161
86	Small Arm Proficiency	null	No penalty to attacks with small arms	<p>You gain proficiency in small arms.</p>|	yes	CRB	162
87	Sniper Weapon Proficiency	null	No penalty to attacks with sniper weapons	<p>You gain proficiency in sniper weapons.</p>|	yes	CRB	162
88	Solid Stance	Con 15	Become harder to move, and use a reaction to avoid being knocked prone	<p>Once per combat when an attack or effect would knock you prone, you can ignore that effect as a reaction. In addition, the distance that any nonmagical effect that would move you against your will is reduced by 5 feet.</p>|	yes	COM	118
89	Special Weapon Proficiency	Proficiency in basic melee weapons or small arms	No penalty to attacks with one special weapon	<p>You gain proficiency in a single special weapon of your choice. If the special weapon you choose is a melee special weapon, you must have proficiency in basic melee weapons. If the special weapon you choose is a ranged weapon, you must have proficiency in small arms. If a set of special weapons are all different models of the same weapon, proficiency in one such weapon grants proficiency with all weapons in the set.</p>|	yes	CRB	162
90	Spring Attack	Dex 15, Mobility, base attack bonus +4	Move before and after a melee attack	<p>As a full action, you can move up to your speed and make a single melee attack or combat maneuver without provoking any attacks of opportunity from the target of your attack. You can move both before and after the attack, but you must move at least 10 feet before the attack, and the total distance that you move cannot be greater than your speed. You cannot use this ability to attack a foe that is adjacent to you at the start of your turn. If you have the trick attack class feature, you can take your movement from trick attack at any time during a trick attack with a melee weapon (instead of only before), without provoking any attacks of opportunity from the target of your attack.</p>|	yes	CRB	162
91	Spry Cover	Base attack bonus +1	Covering fire grants a +4 bonus to an ally’s Acrobatics check to tumble	<p>Instead of the usual benefits of covering fire, you can use covering fire to grant an ally a +4 bonus to her next Acrobatics check to tumble before the end of your next turn.</p>|	yes	CRB	162
92	Stand Still	null	Make an attack of opportunity to stop a foe’s movement	<p>When a foe provokes an attack of opportunity by leaving a square you threaten, you can attempt a melee attack as a reaction against that foe’s Kinetic Armor Class + 8. If you’re successful, the enemy cannot take any further movement for the rest of its turn. The enemy can still take the rest of its actions, but cannot leave that square.</p>|	yes	CRB	162
93	Step Up	Base attack bonus +1	Take a guarded step as a reaction to an adjacent foe moving	<p>Whenever an adjacent foe attempts to take a guarded step away from you, you can also take a guarded step as a reaction as long as you end up adjacent to the foe that triggered this ability.</p>|	yes	CRB	162
94	Step Up and Strike	Dex 13, Step Up, base attack bonus +6	Make an attack of opportunity as part of Step Up	<p>When using the Step Up feat to follow an adjacent foe, you can move up to 10 feet. You can also either make an attack of opportunity against the foe, or wait to see if the foe provokes another attack of opportunity at any point before the end of its turn. Either way, this attack of opportunity does not count toward the number of actions you can usually take each round; it is part of the Step Up reaction.</p>|	yes	CRB	162
95	Strike Back	Base attack bonus +1	Ready an action to make a melee attack against a foe with reach	<p>You can ready an action to make a melee attack against a foe that attacks you with a melee weapon, even if that foe isn’t within your reach.</p>|	yes	CRB	163
96	Suppressive Fire	Base attack bonus +1, proficiency with heavy weapons	Provide covering fire or harrying fire in an area	<p>As a full action, you can use a ranged weapon with the automatic weapon property to provide covering fire or harrying fire in a cone with a range equal to half the weapon’s range increment. You must expend 10 charges or rounds of ammunition to use this ability. Decide if you are providing covering fire or harrying fire. Make a single ranged attack roll with a +4 bonus, and compare it to the AC of all creatures in the area. Any creature with an AC equal to or less than your attack roll is affected by the selected effect. If you select covering fire, choose a single ally that gains the benefit of the covering fire bonus to its AC.</p>|	yes	CRB	162
97	Terrifying Presence	Intimidating racial trait	Your fearsome displays instill fear longer.	<p>When you succeed at an Intimidate check to demoralize, the duration is 1d4 rounds longer than normal.</p>|	yes	COM	34
98	Through the Lines	Dex 13	You can charge through one ally’s space	<p>When taking the charge action, you can move through one ally’s space. All other restrictions on movement during a charge still apply, and you can’t end your charge in a space occupied by an ally.</p>|	yes	COM	119
99	Tripping Rush	Improved Combat Maneuver (trip), base attack bonus +5	Knock a target prone when you bull rush them into an obstacle	<p>When you succeed at a bull rush combat maneuver and the target’s movement is stopped by an obstacle, the target falls prone (or becomes off-kilter in zero gravity).</p>|	yes	COM	119
100	Unfriendly Fire	Bluff 5 ranks	Trick an attacker into shooting at another enemy adjacent to you	<p>As a reaction when an attacker makes a ranged attack against you and misses, you can attempt a Bluff check to redirect the attack toward a different target. The new target must be adjacent to you and within line of sight and line of effect of the original attacker. The DC for this check is equal to either 10 + the attacker’s total Sense Motive skill bonus, or 15 + 1-1/2 × the attacker’s CR, whichever is greater. You can’t take 10 on this check. If you succeed, the original attacker rerolls the attack roll with the same bonuses against the appropriate Armor Class of the new target.<br/> Once a creature has observed you use this feat, even if that creature is neither the attacker nor the new target, you can’t use this feat to attempt to redirect attacks from that creature for 24 hours.</p>|	yes	CRB	163
