name	description	level	price	bulk	capacity	usage	weapon_type	source	source_page
Stock, collapsing	<p>A stock is a part of a two-handed ranged weapon that rests against the shoulder during firing. A stock cannot be attached; it must be integrated with a weapon. The benefits of a stock depend on its type.</p>	2	850	null	0	null	Railed weapon	ARM	61
Collapsing weapon	<p>Some melee weapons can be made to collapse for easy and inconspicuous storage. A weapon must be purchased or crafted with this accessory integrated. As a move action, you can fold or close a collapsing weapon into a much smaller size, allowing you to use the Sleight of Hand skill to hide a collapsed weapon of 1 or 2 bulk as if it were a light weapon, or granting a collapsed weapon of light bulk the conceal special property (see page 27). As a move action, you can re-extend a collapsed weapon.</p>	3	1250	null	0	null	Melee weapon	ARM	59
Flash suppressor	<p>Modern projectile weapons have built-in flash and muzzle-blast suppression to protect a weapon’s user from flash blinding during firefights in low-light conditions, as well as to protect other high-tech devices from fouling due to residue from projectile accelerants. A hybrid flash suppressor can be added to any small arm, longarm, heavy weapon, or sniper weapon in the projectile category. It eliminates virtually all light and heat that your projectile weapon produces while firing, making you harder to spot in low-light conditions. This benefit reduces the penalty you take to Stealth checks for sniping in low-light conditions by 5.<br/> You can combine a flash suppressor and silencer (see page 61) together by paying the combined price of both accessories. Their benefits stack.</p>	3	1200	null	0	null	Projectile	ARM	59
Gunner harness, light	<p>A gunner harness is a wearable support mesh for an articulated arm that can serve as a mount for a heavy weapon. A gunner harness reduces the minimum Strength score required to fire a heavy weapon without penalty, as determined by the harness’s type. In addition, when you fire the mounted weapon, reduce the total penalty you take for making a full attack and due to range by a value determined by the harness’s type. Donning or removing a gunner harness is a full action, and attaching a weapon to a gunner harness or removing it is a full action.</p>	3	1400	1	0	null	Heavy weapon	ARM	60
Scope, sniper	<p>A scope is a telescopic sighting device with an incorporated reticle that attaches to a small arm or railed weapon’s top rail. A scope can’t be added to a weapon with a sight (see page 61). As a move action, you can aim through a scope. This can be done as part of the same move action required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a scope reduces penalties to attack rolls due to range as well as bonuses to AC from cover.<br/> In addition, a scope increases a weapon’s range increment for determining penalties to attack rolls due to range. For small arms, a scope increases the weapon’s normal range increment to 1-1/2 times its listed range for this purpose. For longarms and heavy weapons, the increase is 4 times the normal range increment. For sniper weapons, the increase is twice the range increment of the sniper special property. The reduction in penalties due to aiming with a scope applies only to the next attack roll you make with the weapon before the end of your next turn. Scopes also confer other benefits depending on their type.<br/> You can also view distant objects through a scope as a move action, which grants you a +1 circumstance bonus to vision-based Perception checks against objects 30 feet or farther from you. You can use a scope for this purpose when it is not attached to or integrated with a weapon. A detached scope does not provide improved accuracy.</p>	3	1350	L	0	null	Railed weapon, small arm	ARM	60
Scope, nightvision	<p>A scope is a telescopic sighting device with an incorporated reticle that attaches to a small arm or railed weapon’s top rail. A scope can’t be added to a weapon with a sight (see page 61). As a move action, you can aim through a scope. This can be done as part of the same move action required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a scope reduces penalties to attack rolls due to range as well as bonuses to AC from cover.<br/> In addition, a scope increases a weapon’s range increment for determining penalties to attack rolls due to range. For small arms, a scope increases the weapon’s normal range increment to 1-1/2 times its listed range for this purpose. For longarms and heavy weapons, the increase is 4 times the normal range increment. For sniper weapons, the increase is twice the range increment of the sniper special property. The reduction in penalties due to aiming with a scope applies only to the next attack roll you make with the weapon before the end of your next turn. Scopes also confer other benefits depending on their type.<br/> You can also view distant objects through a scope as a move action, which grants you a +1 circumstance bonus to vision-based Perception checks against objects 30 feet or farther from you. You can use a scope for this purpose when it is not attached to or integrated with a weapon. A detached scope does not provide improved accuracy.</p>	4	2350	L	20	1/hour	Railed weapon, small arm	ARM	60
Silencer	<p>Similar to flash suppression, modern weapons have sound-suppression hardware built in to protect users and bystanders from high-decibel reports, but this doesn’t make a weapon silent. A hybrid silencer uses magitech to truly silence a weapon. When you fire a weapon equipped with a silencer, the weapon creates no sound, and its ammunition flies silently for the first range increment (this includes the range increment of a weapon with the sniper special property). This benefit reduces the penalty you take to Stealth checks for sniping by 5.<br/> You can combine a silencer and flash suppressor (see page 59) together by paying the combined price of both accessories. Their benefits stack.</p>	4	1850	null	0	null	Railed weapon	ARM	61
Sight, laser	<p>A sight is an improved version of the common targeting sights used by most ranged weapons. It may be a loop with an incorporated reticle, or a series of guidelines with high-visibility pigment on them, or some other simple design aid to aiming your weapon. A sight attaches to a small arm or railed weapon’s top rail. A sight can’t be added to a weapon with a scope (see page 60). As a move action, you can aim through a sight. This can be done as part of the same move action as is required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a sight reduces penalties to attack rolls due to range or bonuses to AC from cover, depending on the sight’s type. The reduction in penalties due to aiming with a sight applies only to the next attack roll you make with the weapon before the end of your next turn.</p>	5	3000	null	20	1/hour	Railed weapon, small arm	ARM	61
Grip, null-space	<p>Weapons can be fitted with special grips that provide various advantages. You can combine grips by paying the combined price of the grips, but only if all grips are integrated into a weapon. Their benefits stack. The benefits of a grip depend on its type.</p>	6	4250	null	0	null	Melee weapon, small arm	ARM	60
Inertial dampener	<p>For those who want to use lethal weapons in nonlethal ways, an inertial dampener is the tool of choice. You can activate or deactivate an inertial dampener as a swift action. While the dampener is active, it creates a field around the weapon or its ammunition that causes the weapon to deal nonlethal damage in place of its regular damage.</p>	6	4000	null	20	1/minute	Any	ARM	60
Scope, laser	<p>A scope is a telescopic sighting device with an incorporated reticle that attaches to a small arm or railed weapon’s top rail. A scope can’t be added to a weapon with a sight (see page 61). As a move action, you can aim through a scope. This can be done as part of the same move action required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a scope reduces penalties to attack rolls due to range as well as bonuses to AC from cover.<br/> In addition, a scope increases a weapon’s range increment for determining penalties to attack rolls due to range. For small arms, a scope increases the weapon’s normal range increment to 1-1/2 times its listed range for this purpose. For longarms and heavy weapons, the increase is 4 times the normal range increment. For sniper weapons, the increase is twice the range increment of the sniper special property. The reduction in penalties due to aiming with a scope applies only to the next attack roll you make with the weapon before the end of your next turn. Scopes also confer other benefits depending on their type.<br/> You can also view distant objects through a scope as a move action, which grants you a +1 circumstance bonus to vision-based Perception checks against objects 30 feet or farther from you. You can use a scope for this purpose when it is not attached to or integrated with a weapon. A detached scope does not provide improved accuracy.</p>	6	4300	L	20	1/hour	Railed weapon, small arm	ARM	60
Grip, blur	<p>Weapons can be fitted with special grips that provide various advantages. You can combine grips by paying the combined price of the grips, but only if all grips are integrated into a weapon. Their benefits stack. The benefits of a grip depend on its type.</p>	7	5400	null	0	null	Melee weapon	ARM	60
Gunner harness, heavy	<p>A gunner harness is a wearable support mesh for an articulated arm that can serve as a mount for a heavy weapon. A gunner harness reduces the minimum Strength score required to fire a heavy weapon without penalty, as determined by the harness’s type. In addition, when you fire the mounted weapon, reduce the total penalty you take for making a full attack and due to range by a value determined by the harness’s type. Donning or removing a gunner harness is a full action, and attaching a weapon to a gunner harness or removing it is a full action.</p>	7	5600	2	0	null	Heavy weapon	ARM	60
Stock, null-space	<p>A stock is a part of a two-handed ranged weapon that rests against the shoulder during firing. A stock cannot be attached; it must be integrated with a weapon. The benefits of a stock depend on its type.</p>	7	5950	null	0	null	Railed weapon	ARM	61
Gunner harness, null-space	<p>A gunner harness is a wearable support mesh for an articulated arm that can serve as a mount for a heavy weapon. A gunner harness reduces the minimum Strength score required to fire a heavy weapon without penalty, as determined by the harness’s type. In addition, when you fire the mounted weapon, reduce the total penalty you take for making a full attack and due to range by a value determined by the harness’s type. Donning or removing a gunner harness is a full action, and attaching a weapon to a gunner harness or removing it is a full action.</p>	9	15000	2	0	null	Heavy weapon	ARM	60
Scope, revealing	<p>A scope is a telescopic sighting device with an incorporated reticle that attaches to a small arm or railed weapon’s top rail. A scope can’t be added to a weapon with a sight (see page 61). As a move action, you can aim through a scope. This can be done as part of the same move action required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a scope reduces penalties to attack rolls due to range as well as bonuses to AC from cover.<br/> In addition, a scope increases a weapon’s range increment for determining penalties to attack rolls due to range. For small arms, a scope increases the weapon’s normal range increment to 1-1/2 times its listed range for this purpose. For longarms and heavy weapons, the increase is 4 times the normal range increment. For sniper weapons, the increase is twice the range increment of the sniper special property. The reduction in penalties due to aiming with a scope applies only to the next attack roll you make with the weapon before the end of your next turn. Scopes also confer other benefits depending on their type.<br/> You can also view distant objects through a scope as a move action, which grants you a +1 circumstance bonus to vision-based Perception checks against objects 30 feet or farther from you. You can use a scope for this purpose when it is not attached to or integrated with a weapon. A detached scope does not provide improved accuracy.</p>	9	12500	L	20	1/hour	Railed weapon, small arm	ARM	60
Scope, clarity	<p>A scope is a telescopic sighting device with an incorporated reticle that attaches to a small arm or railed weapon’s top rail. A scope can’t be added to a weapon with a sight (see page 61). As a move action, you can aim through a scope. This can be done as part of the same move action required to aim a weapon with the sniper weapon special quality, or as part of a sneak attack where you do not take any movement even if you also aim a sniper weapon as part of that action. Aiming through a scope reduces penalties to attack rolls due to range as well as bonuses to AC from cover.<br/> In addition, a scope increases a weapon’s range increment for determining penalties to attack rolls due to range. For small arms, a scope increases the weapon’s normal range increment to 1-1/2 times its listed range for this purpose. For longarms and heavy weapons, the increase is 4 times the normal range increment. For sniper weapons, the increase is twice the range increment of the sniper special property. The reduction in penalties due to aiming with a scope applies only to the next attack roll you make with the weapon before the end of your next turn. Scopes also confer other benefits depending on their type.<br/> You can also view distant objects through a scope as a move action, which grants you a +1 circumstance bonus to vision-based Perception checks against objects 30 feet or farther from you. You can use a scope for this purpose when it is not attached to or integrated with a weapon. A detached scope does not provide improved accuracy.</p>	12	37500	L	20	1/hour	Railed weapon, small arm	ARM	60
